tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt2301451,Ozymandias,Breaking Bad,5,14,10.0,198590,1
tt4283088,Battle of the Bastards,Game of Thrones,6,9,9.9,217211,2
tt4283094,The Winds of Winter,Game of Thrones,6,10,9.9,154361,3
tt2301455,Felina,Breaking Bad,5,16,9.9,129991,4
tt2178784,The Rains of Castamere,Game of Thrones,3,9,9.9,111923,5
tt9906260,Hero,Attack on Titan,3,17,9.9,102973,6
tt13857684,Assault,Attack on Titan,4,7,9.9,81494,7
tt1683088,Face Off,Breaking Bad,4,13,9.9,68774,8
tt9898836,Perfect Game,Attack on Titan,3,16,9.9,57632,9
tt17505964,Memories of the Future,Attack on Titan,4,20,9.9,56466,10
tt17594170,From You， 2000 Years Ago,Attack on Titan,4,21,9.9,55093,11
tt12187040,Plan and Execution,Better Call Saul,6,7,9.9,51331,12
tt10023374,Midnight Sun,Attack on Titan,3,18,9.9,47689,13
tt8084176,407 Proxy Authentication Required,Mr. Robot,4,7,9.9,31649,14
tt21151974,Connor's Wedding,Succession,4,3,9.9,30732,15
tt3866850,Hardhome,Game of Thrones,5,8,9.8,104532,16
tt13605714,Declaration of War,Attack on Titan,4,5,9.8,62587,17
tt17277218,Two Brothers,Attack on Titan,4,19,9.8,62172,18
tt9166696,Vichnaya Pamyat,Chernobyl,1,5,9.8,61348,19
tt13819632,The War Hammer Titan,Attack on Titan,4,6,9.8,61096,20
tt13052880,Chapter 16: The Rescue,The Mandalorian,2,8,9.8,60421,21
tt11630828,Saul Gone,Better Call Saul,6,13,9.8,51894,22
tt2301449,To'hajiilee,Breaking Bad,5,13,9.8,50380,23
tt10034602,That Day,Attack on Titan,3,20,9.8,40319,24
tt11028174,The View from Halfway Down,BoJack Horseman,6,15,9.9,18733,25
tt6723680,Warrior,Attack on Titan,2,6,9.8,37208,26
tt5218332,The Ricklantis Mixup,Rick and Morty,3,7,9.8,33718,27
tt9313978,Victory and Death,Star Wars: The Clone Wars,7,12,9.9,16155,28
tt9313966,The Phantom Apprentice,Star Wars: The Clone Wars,7,10,9.9,15329,29
tt5775846,The Spoils of War,Game of Thrones,7,4,9.7,91419,30
tt4283028,The Door,Game of Thrones,6,5,9.7,74907,31
tt27715317,The Three-Sword Style of the Supreme King! Zoro vs. King,One Piece,1,1062,9.8,23849,32
tt19811660,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,One Piece,1,1015,9.8,23166,33
tt1204265,Sozin's Comet， Part 4: Avatar Aang,Avatar: The Last Airbender,3,21,9.9,13488,34
tt1000252,Blink,Doctor Who,3,10,9.8,21938,35
tt2832378,The Lion and the Rose,Game of Thrones,4,2,9.7,57599,36
tt3060782,The Mountain and the Viper,Game of Thrones,4,8,9.7,57413,37
tt3060910,The Laws of Gods and Men,Game of Thrones,4,6,9.7,55519,38
tt2084342,Blackwater,Game of Thrones,2,9,9.7,51514,39
tt3230908,Mizumono,Hannibal,2,13,9.8,20447,40
tt2301453,Granite State,Breaking Bad,5,15,9.7,49468,41
tt2669746,Finale,The Office,9,23,9.8,20004,42
