tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt4283088,Battle of the Bastards,Game of Thrones,6,9,9.9,217190,1
tt4283094,The Winds of Winter,Game of Thrones,6,10,9.9,154342,2
tt2178784,The Rains of Castamere,Game of Thrones,3,9,9.9,111900,3
tt9906260,Hero,Attack on Titan,3,17,9.9,102949,4
tt13857684,Assault,Attack on Titan,4,7,9.9,81466,5
tt9898836,Perfect Game,Attack on Titan,3,16,9.9,57615,6
tt17505964,Memories of the Future,Attack on Titan,4,20,9.9,56444,7
tt17594170,From You， 2000 Years Ago,Attack on Titan,4,21,9.9,55074,8
tt10023374,Midnight Sun,Attack on Titan,3,18,9.9,47669,9
tt3866850,Hardhome,Game of Thrones,5,8,9.8,104522,10
tt13605714,Declaration of War,Attack on Titan,4,5,9.8,62573,11
tt17277218,Two Brothers,Attack on Titan,4,19,9.8,62159,12
tt13819632,The War Hammer Titan,Attack on Titan,4,6,9.8,61081,13
tt13052880,Chapter 16: The Rescue,The Mandalorian,2,8,9.8,60418,14
tt10034602,That Day,Attack on Titan,3,20,9.8,40308,15
tt5775846,The Spoils of War,Game of Thrones,7,4,9.7,91411,16
tt6723680,Warrior,Attack on Titan,2,6,9.8,37198,17
tt4283028,The Door,Game of Thrones,6,5,9.7,74902,18
tt2832378,The Lion and the Rose,Game of Thrones,4,2,9.7,57589,19
tt3060782,The Mountain and the Viper,Game of Thrones,4,8,9.7,57405,20
tt3060910,The Laws of Gods and Men,Game of Thrones,4,6,9.7,55507,21
tt2084342,Blackwater,Game of Thrones,2,9,9.7,51502,22
tt27715317,The Three-Sword Style of the Supreme King! Zoro vs. King,One Piece,1,1062,9.8,23800,23
tt21357640,The Final Chapters: Special 1,Attack on Titan,4,29,9.7,34460,24
tt9313978,Victory and Death,Star Wars: The Clone Wars,7,12,9.9,16150,25
tt9313966,The Phantom Apprentice,Star Wars: The Clone Wars,7,10,9.9,15326,26
tt14132418,Savagery,Attack on Titan,4,14,9.7,29585,27
tt17521746,I Will Never Give Up,Demon Slayer: Kimetsu no Yaiba,2,17,9.8,19847,28
tt3060858,The Watchers on the Wall,Game of Thrones,4,9,9.6,50239,29
tt3060860,The Children,Game of Thrones,4,10,9.6,49227,30
tt6723710,Scream,Attack on Titan,2,12,9.7,27071,31
tt1851398,Baelor,Game of Thrones,1,9,9.6,48027,32
tt10064964,Attack Titan,Attack on Titan,3,21,9.7,24649,33
tt1204265,Sozin's Comet， Part 4: Avatar Aang,Avatar: The Last Airbender,3,21,9.9,13482,34
tt18953204,The Dawn of Humanity,Attack on Titan,4,28,9.7,23295,35
tt19811660,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,One Piece,1,1015,9.7,23143,36
tt11294360,End of The Prologue,Vinland Saga,1,24,9.9,12593,37
tt10433100,Hinokami,Demon Slayer: Kimetsu no Yaiba,1,19,9.8,15758,38
tt14143312,Herogasm,The Boys,3,6,9.6,31086,39
tt14093766,Children of the Forest,Attack on Titan,4,13,9.6,27698,40
tt9313968,Shattered,Star Wars: The Clone Wars,7,11,9.8,13861,41
tt14134628,Sole Salvation,Attack on Titan,4,15,9.6,26313,42
tt8956332,ronny/lily,Barry,2,5,9.8,13748,43
tt2178798,And Now His Watch Is Ended,Game of Thrones,3,4,9.5,40219,44
tt4128194,If-Then-Else,Person of Interest,4,11,9.8,12927,45
