tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt4283088,Battle of the Bastards,Game of Thrones,6,9,9.9,217104,1
tt4283094,The Winds of Winter,Game of Thrones,6,10,9.9,154268,2
tt2178784,The Rains of Castamere,Game of Thrones,3,9,9.9,111818,3
tt9906260,Hero,Attack on Titan,3,17,9.9,102857,4
tt13857684,Assault,Attack on Titan,4,7,9.9,81395,5
tt9898836,Perfect Game,Attack on Titan,3,16,9.9,57560,6
tt17505964,Memories of the Future,Attack on Titan,4,20,9.9,56371,7
tt17594170,From You， 2000 Years Ago,Attack on Titan,4,21,9.9,54999,8
tt10023374,Midnight Sun,Attack on Titan,3,18,9.9,47611,9
tt3866850,Hardhome,Game of Thrones,5,8,9.8,104481,10
tt13605714,Declaration of War,Attack on Titan,4,5,9.8,62525,11
tt17277218,Two Brothers,Attack on Titan,4,19,9.8,62090,12
tt13819632,The War Hammer Titan,Attack on Titan,4,6,9.8,61040,13
tt13052880,Chapter 16: The Rescue,The Mandalorian,2,8,9.8,60405,14
tt10034602,That Day,Attack on Titan,3,20,9.8,40269,15
tt5775846,The Spoils of War,Game of Thrones,7,4,9.7,91377,16
tt6723680,Warrior,Attack on Titan,2,6,9.8,37152,17
tt4283028,The Door,Game of Thrones,6,5,9.7,74867,18
tt5218332,The Ricklantis Mixup,Rick and Morty,3,7,9.8,33697,19
tt2832378,The Lion and the Rose,Game of Thrones,4,2,9.7,57551,20
tt3060782,The Mountain and the Viper,Game of Thrones,4,8,9.7,57368,21
tt3060910,The Laws of Gods and Men,Game of Thrones,4,6,9.7,55460,22
tt2084342,Blackwater,Game of Thrones,2,9,9.7,51466,23
tt27715317,The Three-Sword Style of the Supreme King! Zoro vs. King,One Piece,1,1062,9.8,23637,24
tt21357640,The Final Chapters: Special 1,Attack on Titan,4,29,9.7,34387,25
tt1000252,Blink,Doctor Who,3,10,9.8,21925,26
tt9313978,Victory and Death,Star Wars: The Clone Wars,7,12,9.9,16140,27
tt9313966,The Phantom Apprentice,Star Wars: The Clone Wars,7,10,9.9,15315,28
tt14132418,Savagery,Attack on Titan,4,14,9.7,29547,29
tt17521746,I Will Never Give Up,Demon Slayer: Kimetsu no Yaiba,2,17,9.8,19816,30
tt3060858,The Watchers on the Wall,Game of Thrones,4,9,9.6,50208,31
tt3060860,The Children,Game of Thrones,4,10,9.6,49199,32
tt1851398,Baelor,Game of Thrones,1,9,9.6,47984,33
tt6723710,Scream,Attack on Titan,2,12,9.7,27039,34
tt10064964,Attack Titan,Attack on Titan,3,21,9.7,24610,35
tt1204265,Sozin's Comet， Part 4: Avatar Aang,Avatar: The Last Airbender,3,21,9.9,13458,36
tt18953204,The Dawn of Humanity,Attack on Titan,4,28,9.7,23250,37
tt19811660,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,One Piece,1,1015,9.7,23051,38
tt11294360,End of The Prologue,Vinland Saga,1,24,9.9,12535,39
tt10433100,Hinokami,Demon Slayer: Kimetsu no Yaiba,1,19,9.8,15742,40
tt14093766,Children of the Forest,Attack on Titan,4,13,9.6,27657,41
tt14134628,Sole Salvation,Attack on Titan,4,15,9.6,26277,42
tt9313968,Shattered,Star Wars: The Clone Wars,7,11,9.8,13851,43
tt2178798,And Now His Watch Is Ended,Game of Thrones,3,4,9.5,40197,44
tt5218228,The Rickshank Rickdemption,Rick and Morty,3,1,9.6,22663,45
tt13907662,Assassin's Bullet,Attack on Titan,4,8,9.5,35885,46
tt9806162,Descent,Attack on Titan,3,15,9.6,21276,47
tt9038682,The Town Where Everything Began,Attack on Titan,3,13,9.6,21063,48
tt14659486,Endure and Survive,The Last of Us,1,5,9.4,75420,49
tt5775874,The Dragon and the Wolf,Game of Thrones,7,7,9.4,66695,50
tt15496376,The Base Violence Necessary for Change,Arcane,1,3,9.6,19057,51
tt0994365,The Constant,Lost,4,5,9.7,13965,52
tt14134634,Above and Below,Attack on Titan,4,16,9.5,26393,53
tt3148020,Crushing Blow: The 57th Exterior Scouting Mission， Part 5,Attack on Titan,1,21,9.6,17754,54
tt18856536,Retrospective,Attack on Titan,4,27,9.6,17674,55
tt3866826,The Dance of Dragons,Game of Thrones,5,9,9.4,46271,56
tt14180486,The Pirate King is Born: Arriving at the Last Island!,One Piece,1,968,9.8,10813,57
