tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt9906260,Hero,Attack on Titan,3,17,9.9,102949,1
tt13857684,Assault,Attack on Titan,4,7,9.9,81466,2
tt9898836,Perfect Game,Attack on Titan,3,16,9.9,57615,3
tt17505964,Memories of the Future,Attack on Titan,4,20,9.9,56444,4
tt17594170,From You， 2000 Years Ago,Attack on Titan,4,21,9.9,55074,5
tt10023374,Midnight Sun,Attack on Titan,3,18,9.9,47669,6
tt13605714,Declaration of War,Attack on Titan,4,5,9.8,62573,7
tt17277218,Two Brothers,Attack on Titan,4,19,9.8,62159,8
tt13819632,The War Hammer Titan,Attack on Titan,4,6,9.8,61081,9
tt11028174,The View from Halfway Down,BoJack Horseman,6,15,9.9,18727,10
tt10034602,That Day,Attack on Titan,3,20,9.8,40308,11
tt6723680,Warrior,Attack on Titan,2,6,9.8,37198,12
tt9313978,Victory and Death,Star Wars: The Clone Wars,7,12,9.9,16150,13
tt5218332,The Ricklantis Mixup,Rick and Morty,3,7,9.8,33715,14
tt9313966,The Phantom Apprentice,Star Wars: The Clone Wars,7,10,9.9,15326,15
tt1204265,Sozin's Comet， Part 4: Avatar Aang,Avatar: The Last Airbender,3,21,9.9,13482,16
tt27715317,The Three-Sword Style of the Supreme King! Zoro vs. King,One Piece,1,1062,9.8,23800,17
tt11294360,End of The Prologue,Vinland Saga,1,24,9.9,12593,18
tt17521746,I Will Never Give Up,Demon Slayer: Kimetsu no Yaiba,2,17,9.8,19847,19
tt8266826,Free Churro,BoJack Horseman,5,6,9.8,16625,20
tt21357640,The Final Chapters: Special 1,Attack on Titan,4,29,9.7,34460,21
tt10433100,Hinokami,Demon Slayer: Kimetsu no Yaiba,1,19,9.8,15758,22
tt14132418,Savagery,Attack on Titan,4,14,9.7,29585,23
tt6723710,Scream,Attack on Titan,2,12,9.7,27071,24
tt9313968,Shattered,Star Wars: The Clone Wars,7,11,9.8,13861,25
tt10064964,Attack Titan,Attack on Titan,3,21,9.7,24649,26
tt18953204,The Dawn of Humanity,Attack on Titan,4,28,9.7,23295,27
tt19811660,Straw Hat Luffy! The Man Who Will Become the King of the Pirates!,One Piece,1,1015,9.7,23143,28
tt6542628,Time's Arrow,BoJack Horseman,4,11,9.8,12236,29
tt1310121,Re;,Code Geass,2,25,9.9,8577,30
tt3673600,Zero × and × Rose,Hunter x Hunter,1,126,9.9,8316,31
tt3748420,Anger × and × Light,Hunter x Hunter,1,131,9.9,8199,32
tt14180486,The Pirate King is Born: Arriving at the Last Island!,One Piece,1,968,9.8,10861,33
tt14093766,Children of the Forest,Attack on Titan,4,13,9.6,27698,34
tt14134628,Sole Salvation,Attack on Titan,4,15,9.6,26313,35
tt12539164,Sleepytime,Bluey,2,26,9.9,6814,36
tt5218228,The Rickshank Rickdemption,Rick and Morty,3,1,9.6,22676,37
tt9806162,Descent,Attack on Titan,3,15,9.6,21303,38
tt9038682,The Town Where Everything Began,Attack on Titan,3,13,9.6,21092,39
tt9313962,Old Friends Not Forgotten,Star Wars: The Clone Wars,7,9,9.7,11503,40
tt1204264,Sozin's Comet， Part 3: Into the Inferno,Avatar: The Last Airbender,3,20,9.8,7996,41
tt15496376,The Base Violence Necessary for Change,Arcane,1,3,9.6,19069,42
tt3148020,Crushing Blow: The 57th Exterior Scouting Mission， Part 5,Attack on Titan,1,21,9.6,17787,43
tt18856536,Retrospective,Attack on Titan,4,27,9.6,17713,44
tt15496440,The Monster You Created,Arcane,1,9,9.6,17390,45
tt6723686,Close Combat,Attack on Titan,2,7,9.6,17382,46
tt13907662,Assassin's Bullet,Attack on Titan,4,8,9.5,35918,47
tt8527962,One For All,My Hero Academia,3,11,9.8,6747,48
tt14134634,Above and Below,Attack on Titan,4,16,9.5,26426,49
tt5340582,Twilight of the Apprentice: Part 2,Star Wars: Rebels,2,22,9.8,6306,50
tt4460256,Not What He Seems,Gravity Falls,2,11,9.8,6286,51
tt10064968,The Other Side of the Wall,Attack on Titan,3,22,9.5,20865,52
tt9790722,Thunder Spears,Attack on Titan,3,14,9.5,20481,53
tt15452274,Ketsui,Boruto: Naruto Next Generations,1,217,9.7,7969,54
tt9691188,Where I Really Come From,Invincible,1,8,9.6,11275,55
