tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt2553414,Victory,Spartacus,3,10,9.7,8168,1
tt1521502,Kill Them All,Spartacus,1,13,9.6,6512,2
tt8805244,Part Four,When They See Us,1,4,9.5,6746,3
tt5714408,Al Fin Cayó!,Narcos,2,10,9.4,7488,4
tt8434604,Episode X,The Last Dance,1,10,9.5,3275,5
tt2132030,Wrath of the Gods,Spartacus,2,10,9.4,4376,6
tt8071414,Aberfan,The Crown,3,3,9.3,6833,7
tt5714396,The Good， the Bad， and the Dead,Narcos,2,4,9.3,6261,8
tt6038974,Todos Los Hombres del Presidente,Narcos,3,9,9.3,4527,9
tt2132026,Libertus,Spartacus,2,5,9.2,3796,10
tt8071422,Tywysog Cymru,The Crown,3,6,9.1,5690,11
tt8805238,Part Two,When They See Us,1,2,9.1,5554,12
tt6410770,Dear Mrs. Kennedy,The Crown,2,8,9.1,5390,13
tt5714400,Los Pepes,Narcos,2,6,9.1,5324,14
tt6837072,Vergangenheit,The Crown,2,6,9.1,5073,15
tt8434596,Episode VIII,The Last Dance,1,8,9.2,3149,16
tt6038976,Going Back to Cali,Narcos,3,10,9.1,4331,17
tt8434600,Episode IX,The Last Dance,1,9,9.2,2988,18
tt5095274,Hyde Park Corner,The Crown,1,2,9.0,6752,19
tt3736872,Explosivos,Narcos,1,6,9.0,6455,20
tt13256096,Main History Banana Chahta Hoon,Scam 1992: The Harshad Mehta Story,1,10,9.3,2155,21
tt5254184,Assassins,The Crown,1,9,9.0,5751,22
tt4277118,The Verdict,American Crime Story,1,10,9.1,3574,23
tt4277116,Manna from Heaven,American Crime Story,1,9,9.1,3542,24
tt8434588,Episode IV,The Last Dance,1,4,9.1,3536,25
tt8434594,Episode VII,The Last Dance,1,7,9.1,3245,26
tt2553410,The Dead and the Dying,Spartacus,3,9,9.1,3215,27
tt8434580,Episode I,The Last Dance,1,1,9.0,4427,28
tt13857846,Election Day,Young Rock,1,11,9.1,2996,29
tt14873820,Part 3: Days 17-22,The Beatles: Get Back,1,3,9.4,1451,30
tt1775930,The Bitter End,Spartacus: Gods of the Arena,1,6,9.1,2683,31
tt8434584,Episode III,The Last Dance,1,3,9.0,3672,32
