tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt21151974,Connor's Wedding,Succession,4,3,9.9,30732,1
tt11028174,The View from Halfway Down,BoJack Horseman,6,15,9.9,18733,2
tt5218332,The Ricklantis Mixup,Rick and Morty,3,7,9.8,33718,3
tt0701989,Everyone's Waiting,Six Feet Under,5,12,9.9,10947,4
tt2669746,Finale,The Office,9,23,9.8,20004,5
tt1833197,Goodbye， Michael,The Office,7,21,9.8,16656,6
tt8266826,Free Churro,BoJack Horseman,5,6,9.8,16631,7
tt15423196,All the Bells Say,Succession,3,9,9.8,14033,8
tt8956332,ronny/lily,Barry,2,5,9.8,13758,9
tt1595996,Modern Warfare,Community,1,23,9.8,13354,10
tt2060963,Remedial Chaos Theory,Community,3,4,9.8,12774,11
tt11079892,This Is Not for Tears,Succession,2,10,9.8,12751,12
tt6542628,Time's Arrow,BoJack Horseman,4,11,9.8,12238,13
tt3767938,Charlie Work,It's Always Sunny in Philadelphia,10,4,9.8,9328,14
tt1248736,Stress Relief,The Office,5,13,9.7,15389,15
tt6080222,Robbie's Dream Team,LazyTown,4,12,9.7,12936,16
tt0583452,The One Where Everybody Finds Out,Friends,5,14,9.7,12287,17
tt14143312,Herogasm,The Boys,3,6,9.6,31094,18
tt4460256,Not What He Seems,Gravity Falls,2,11,9.8,6289,19
tt4938410,Faith,Suits,5,10,9.7,9550,20
tt5218228,The Rickshank Rickdemption,Rick and Morty,3,1,9.6,22680,21
tt5153884,Weirdmageddon 3: Take Back the Falls,Gravity Falls,2,20,9.8,5771,22
tt7629358,Teddy Perkins,Atlanta,2,6,9.7,8323,23
tt21152040,With Open Eyes,Succession,4,10,9.6,17285,24
tt0583433,The Last One,Friends,10,17,9.6,15823,25
tt1319916,The Nightman Cometh,It's Always Sunny in Philadelphia,4,13,9.7,7416,26
tt5218434,Fish Out of Water,BoJack Horseman,3,4,9.6,10672,27
tt6439870,Super Bowl Sunday,This Is Us,2,14,9.7,6191,28
tt0705958,Scott Tenorman Must Die,South Park,5,4,9.6,9927,29
tt0696628,My Screwup,Scrubs,3,14,9.7,5725,30
tt4832262,Total Rickall,Rick and Morty,2,4,9.5,19220,31
tt5218488,That's Too Much， Man!,BoJack Horseman,3,11,9.6,8382,32
tt1640867,A Fistful of Paintballs,Community,2,23,9.6,8032,33
tt1385812,My Finale: Part 2,Scrubs,8,19,9.7,4773,34
tt8266836,The Showstopper,BoJack Horseman,5,11,9.6,6326,35
tt3390684,How Your Mother Met Me,How I Met Your Mother,9,16,9.5,10460,36
tt0707287,The Secret Box/Band Geeks,SpongeBob SquarePants,2,15,9.7,4295,37
tt6674736,The Stockholm Syndrome,The Big Bang Theory,12,24,9.5,9915,38
tt23743570,So Long， Farewell,Ted Lasso,3,12,9.5,9740,39
tt0697679,The Contest,Seinfeld,4,11,9.5,8660,40
tt0850173,Make Love， Not Warcraft,South Park,10,8,9.5,8486,41
tt10008916,The Mongolia Special-Survival of the Fattest,The Grand Tour,3,13,9.7,3910,42
tt12187284,What I Know,The Boys,2,8,9.4,17996,43
tt4389744,Connection Lost,Modern Family,6,16,9.5,7757,44
tt8089526,The Box,Brooklyn Nine-Nine,5,14,9.5,7678,45
tt10655692,The Vat of Acid Episode,Rick and Morty,4,8,9.4,14795,46
tt1824317,Advanced Dungeons & Dragons,Community,2,14,9.5,7153,47
tt11028176,Nice While It Lasted,BoJack Horseman,6,16,9.5,7124,48
tt5443910,Sworn Enemy,Gintama,4,40,9.8,2805,49
tt0697782,The Soup Nazi,Seinfeld,7,6,9.5,6781,50
tt26230386,Fishes,The Bear,2,6,9.7,3421,51
tt1862636,For a Few Paintballs More,Community,2,24,9.5,6586,52
tt0697744,The Opposite,Seinfeld,5,22,9.5,6586,52
tt18233708,Review,The Bear,1,7,9.5,6540,54
tt0584444,Jurassic Bark,Futurama,5,2,9.5,6291,55
tt1031477,Dinner Party,The Office,4,9,9.4,10960,56
tt10703532,Whenever You're Ready,The Good Place,4,13,9.5,5985,57
tt21152038,Church and State,Succession,4,9,9.4,10362,58
tt0583018,Papa's Got a Brand New Excuse,The Fresh Prince of Bel-Air,4,24,9.7,3106,59
tt18257408,starting now,Barry,3,8,9.5,5550,60
tt21152036,America Decides,Succession,4,8,9.4,9062,61
tt19064730,The Train,This Is Us,6,17,9.7,3057,62
tt0583600,The One with the Embryos,Friends,4,12,9.4,8960,63
tt0701975,All Alone,Six Feet Under,5,10,9.7,3018,64
tt5218268,Pickle Rick,Rick and Morty,3,3,9.3,20273,65
tt3748226,One Last Ride,Parks and Recreation,7,12,9.5,5081,66
tt4463994,The Gang Goes to a Water Park,It's Always Sunny in Philadelphia,12,2,9.5,5060,67
tt0796524,My Lunch,Scrubs,5,20,9.6,3685,68
