tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt13052880,Chapter 16: The Rescue,The Mandalorian,2,8,9.8,60377,1
tt11172022,Chapter Seven: The Massacre at Hawkins Lab,Stranger Things,4,7,9.6,39260,2
tt8253126,A Devil of My Word,Lucifer,3,24,9.7,14225,3
tt0994365,The Constant,Lost,4,5,9.7,13949,4
tt1004798,Through the Looking Glass: Part 1,Lost,3,22,9.7,12617,5
tt1626753,Swan Song,Supernatural,5,22,9.7,10966,6
tt0533466,"Once More, with Feeling",Buffy the Vampire Slayer,6,7,9.7,10448,7
tt11171978,Chapter Four: Dear Billy,Stranger Things,4,4,9.4,35600,8
tt8565640,Who's da New King of Hell?,Lucifer,4,10,9.6,10508,9
tt1627712,The French Mistake,Supernatural,6,15,9.6,10491,10
tt1511910,Changing Channels,Supernatural,5,8,9.6,10354,11
tt0533443,Hush,Buffy the Vampire Slayer,4,10,9.7,7793,12
tt4550868,International Assassin,The Leftovers,2,8,9.6,9199,13
tt0533496,The Body,Buffy the Vampire Slayer,5,16,9.7,7048,14
tt6746190,ScoobyNatural,Supernatural,13,16,9.6,8312,15
tt13052856,Chapter 13: The Jedi,The Mandalorian,2,5,9.3,33163,16
tt4593138,Chapter Eight: The Upside Down,Stranger Things,1,8,9.3,25995,17
tt6020876,Chapter Nine: The Gate,Stranger Things,2,9,9.3,24621,18
tt1032132,Mystery Spot,Supernatural,3,11,9.5,8713,19
tt4510954,I Live Here Now,The Leftovers,2,10,9.5,8274,20
tt5338044,The Book of Nora,The Leftovers,3,8,9.5,7901,21
tt8142470,Loved Ones Will Always Watch Over You,Violet Evergarden,1,10,9.8,4390,22
tt7911942,Chapter Eight: The Battle of Starcourt,Stranger Things,3,8,9.2,29664,23
tt9121546,Chapter 8: Redemption,The Mandalorian,1,8,9.2,28173,24
tt3845910,Fan Fiction,Supernatural,10,5,9.4,8799,25
tt6020812,Chapter Eight: The Mind Flayer,Stranger Things,2,8,9.2,22025,26
