tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt19710854,Snatch Game,RuPaul's Drag Race All Stars,7,2,9.8,3069,1
tt19369844,Supremme Eleganza Talent Extravaganza,Drag Race España,2,2,9.7,2924,2
tt6098280,Revenge of the Queens,RuPaul's Drag Race All Stars,2,5,9.6,744,3
tt20852130,The Kennedy Davenport Center Honors Hall of Shade,RuPaul's Drag Race All Stars,7,10,9.5,850,4
tt21411094,Pop Off Ate!,Drag Race Philippines,1,3,9.4,995,5
tt19637022,Legends,RuPaul's Drag Race All Stars,7,1,9.3,1614,6
tt22207428,Lairy Poppins: The Rusical,RuPaul's Drag Race UK,4,5,9.4,767,7
tt19710850,Meet the Queens of All Stars 7!,RuPaul's Drag Race All Stars,7,0,9.5,564,8
tt5940252,All Star Talent Show Extravaganza,RuPaul's Drag Race All Stars,2,1,9.4,613,9
tt14737652,Side Hustles,RuPaul's Drag Race All Stars,6,3,9.2,1260,10
tt13983874,The RuRuvision Song Contest,RuPaul's Drag Race UK,2,5,9.3,734,11
tt17344516,The Daytona Wind,RuPaul's Drag Race,14,7,9.1,1516,12
tt15216268,Rudemption Lip-Sync Smackdown,RuPaul's Drag Race All Stars,6,10,9.1,1152,13
tt18468086,Moulin Ru: The Rusical,RuPaul's Drag Race,14,12,9.1,1141,14
tt14894896,Drags de la comedia,Drag Race España,1,6,9.2,710,15
tt19120440,La nueva promoción,Drag Race España,2,1,9.1,1016,16
tt7063350,Grand Finale,RuPaul's Drag Race,9,14,9.2,645,17
tt21193248,Un Parfum de Drag,Drag Race France,1,6,9.3,470,18
tt3500838,Snatch Game,RuPaul's Drag Race,6,5,9.2,557,19
tt6039898,All Stars Snatch Game,RuPaul's Drag Race All Stars,2,2,9.2,533,20
tt14941786,Titanes del drag,Drag Race España,1,7,9.2,516,21
tt11860588,I'm That Bitch,RuPaul's Drag Race,12,1,9.0,811,22
tt5211376,Like Selling Your Soul to the Devil/My Wheels Are Spinning,Survivor,31,10,9.3,336,23
tt15028348,La gran final,Drag Race España,1,9,9.1,518,24
tt12031592,Madonna: The Unauthorized Rusical,RuPaul's Drag Race,12,7,9.0,709,25
tt14169766,Bienvenidas Reinas,Drag Race España,1,1,9.0,689,26
tt26904253,Wigloose: The Rusical!,RuPaul's Drag Race,15,12,9.0,655,27
tt19733048,Drags de la comedia,Drag Race España,2,8,9.1,470,28
tt2737222,RuPaul Roast,RuPaul's Drag Race,5,7,9.1,446,29
tt25390966,One Night Only， Pt. 2,RuPaul's Drag Race,15,2,8.9,892,30
tt0523657,Episode dated 6 March 2001,The Big Breakfast,,,8.9,731,31
tt16178144,Prom,Canada's Drag Race,2,8,9.0,490,32
tt6099052,All Stars Supergroup,RuPaul's Drag Race All Stars,2,8,9.0,480,33
tt10369384,Girl Group Battle Royale,RuPaul's Drag Race UK,1,5,9.0,438,34
tt19716250,The Realness of Fortune Ball,RuPaul's Drag Race All Stars,7,3,8.8,939,35
tt21411090,Sagalamazon,Drag Race Philippines,1,2,8.8,833,36
tt0746342,Bette Davis,What's My Line?,4,5,9.5,175,37
tt9104748,You Get What You Give,Survivor,37,8,9.0,358,38
tt9069554,Let the Titan Games Begin: Trial 1,The Titan Games,1,1,8.7,1112,39
tt5180328,You Call， We'll Haul,Survivor,31,8,9.2,243,40
tt0746893,Bette Davis (4),What's My Line?,15,28,9.5,165,41
tt18930186,Grand Finale,RuPaul's Drag Race,14,16,8.8,602,42
tt0746973,Danny Kaye， Yves Saint-Laurent & Bette Davis,What's My Line?,17,8,9.5,161,43
tt0746727,Bette Davis (2),What's My Line?,11,49,9.5,158,44
tt3500858,Drag Queens of Comedy,RuPaul's Drag Race,6,8,8.9,416,45
tt12122058,Superfan Makeover,RuPaul's Drag Race,12,10,8.8,565,46
tt0609815,Episode dated 1 March 1965,I've Got a Secret,,,9.6,142,47
tt18467042,An Extra Special Episode,RuPaul's Drag Race,14,11,8.7,876,48
tt6432990,Oh. My. Gaga!,RuPaul's Drag Race,9,1,8.8,530,49
tt10369382,Snatch Game,RuPaul's Drag Race UK,1,4,8.9,392,50
tt3690020,The Finale,RuPaul's Drag Race,6,14,8.9,386,51
tt19716262,Draguation Speeches,RuPaul's Drag Race All Stars,7,5,8.7,793,52
tt0609814,Episode dated 30 March 1964,I've Got a Secret,,,9.6,137,53
tt12150996,Snatch Game of Love (2020),RuPaul's Drag Race All Stars,5,5,8.8,491,54
tt3500834,Shade: The Rusical,RuPaul's Drag Race,6,4,8.8,445,55
tt6073158,Questions Only,Whose Line Is It Anyway?,4,1,10.0,95,56
tt6073238,Voice Acting 2,Whose Line Is It Anyway?,5,2,10.0,95,56
tt6073182,Scenes From a Hat 2,Whose Line Is It Anyway?,4,2,10.0,95,56
tt6073208,Movie Genres,Whose Line Is It Anyway?,5,1,10.0,95,56
tt6073290,Sound Effects,Whose Line Is It Anyway?,7,1,10.0,95,56
tt6073264,Advertisement 2,Whose Line Is It Anyway?,6,1,10.0,95,56
tt6073284,Alphabet Order 2,Whose Line Is It Anyway?,6,2,10.0,95,56
tt6073136,Random Sentences,Whose Line Is It Anyway?,3,2,10.0,95,56
tt2595310,Advertisement,Whose Line Is It Anyway?,1,1,10.0,94,64
tt2595324,Scenes from a Hat,Whose Line Is It Anyway?,2,1,10.0,94,64
tt2595306,Voice Acting,Whose Line Is It Anyway?,1,2,10.0,94,64
tt2595328,Alphabet Order,Whose Line Is It Anyway?,2,2,10.0,94,64
tt2595330,Quick Change,Whose Line Is It Anyway?,3,1,10.0,94,64
tt14844174,Snatch Game,Drag Race España,1,4,8.7,556,69
tt16347624,Queen of the North,Canada's Drag Race,2,10,8.8,386,70
tt11852270,All Star Variety Extravaganza,RuPaul's Drag Race All Stars,5,1,8.7,531,71
