tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt9166696,Vichnaya Pamyat,Chernobyl,1,5,9.8,61280,1
tt8482972,Please Remain Calm,Chernobyl,1,2,9.6,50970,2
tt9166672,"Open Wide, O Earth",Chernobyl,1,3,9.5,47742,3
tt8162428,1:23:45,Chernobyl,1,1,9.4,53940,4
tt9166678,The Happiness of All Mankind,Chernobyl,1,4,9.3,45054,5
tt1247470,Why We Fight,Band of Brothers,1,9,9.5,9518,6
tt1247468,The Breaking Point,Band of Brothers,1,7,9.4,8567,7
tt14250476,Episode #5.10,The Last Kingdom,5,10,9.6,5354,8
tt8071414,Aberfan,The Crown,3,3,9.3,6830,9
tt1247462,Bastogne,Band of Brothers,1,6,9.2,8878,10
tt7690818,The Trust,The Heroes,1,13,9.0,22774,11
tt9244920,Episode #3.10,The Last Kingdom,3,10,9.5,4197,12
tt1247466,Points,Band of Brothers,1,10,9.2,7457,13
tt1247465,Day of Days,Band of Brothers,1,2,9.1,9337,14
tt7773630,Knight in Black,The Heroes,3,1,8.9,18897,15
tt8434604,Episode X,The Last Dance,1,10,9.5,3272,16
tt9244916,Episode #3.9,The Last Kingdom,3,9,9.4,3634,17
tt7690698,Pahlavan Heydar's Kabbadeh,The Heroes,1,1,8.9,13549,18
tt1247463,Carentan,Band of Brothers,1,3,9.0,8445,19
tt8071422,Tywysog Cymru,The Crown,3,6,9.1,5686,20
tt7690804,Horse Thief,The Heroes,1,12,9.0,7513,21
tt4934372,Episode #1.8,The Last Kingdom,1,8,9.2,4459,22
tt6410770,Dear Mrs. Kennedy,The Crown,2,8,9.1,5387,23
tt6245580,Episode #2.8,The Last Kingdom,2,8,9.3,3576,24
tt5095274,Hyde Park Corner,The Crown,1,2,9.0,6750,25
tt6837072,Vergangenheit,The Crown,2,6,9.1,5072,26
tt7690706,Speaking Parrot,The Heroes,1,3,8.9,9213,27
tt7690714,Pouria's Sword,The Heroes,1,4,8.9,8558,28
tt7690720,Black Powder (Gunpowder),The Heroes,1,5,8.9,8104,29
tt5254184,Assassins,The Crown,1,9,9.0,5751,30
tt7690746,Blacksmith's Testament,The Heroes,1,8,8.9,7508,31
tt7690764,Millstone,The Heroes,1,9,8.9,7414,32
tt5671228,Episode #2.4,The Last Kingdom,2,4,9.2,3455,33
tt7690702,Safi,The Heroes,1,2,8.8,10439,34
tt11126500,Episode #4.4,The Last Kingdom,4,4,9.2,3155,35
tt8434596,Episode VIII,The Last Dance,1,8,9.2,3146,36
tt8434580,Episode I,The Last Dance,1,1,9.0,4422,37
tt1247467,Replacements,Band of Brothers,1,4,8.8,7949,38
tt7690732,Jabbar (Safi's Forgetfulness),The Heroes,1,6,8.8,7884,39
tt1247464,Crossroads,Band of Brothers,1,5,8.8,7812,40
