tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt7629358,Teddy Perkins,Atlanta,2,6,9.7,8323,1
tt3068760,The Quarterback,Glee,5,3,9.5,3520,2
tt17493244,It Was All a Dream,Atlanta,4,10,9.5,1911,3
tt5699790,B.A.N.,Atlanta,1,7,9.3,5661,4
tt13694982,Dave,Dave,2,10,9.6,1296,5
tt11089658,Jail,Dave,1,10,9.5,1462,6
tt0365559,Nirvana,Unplugged,4,13,9.4,1952,7
tt14873820,Part 3: Days 17-22,The Beatles: Get Back,1,3,9.4,1451,8
tt0113637,Les Misérables in Concert,Great Performances,24,10,9.2,2436,9
tt7599684,Barbershop,Atlanta,2,5,9.1,3927,10
tt1514919,Journey to Regionals,Glee,1,22,9.1,2056,11
tt8544114,Three Slaps,Atlanta,3,1,9.0,3240,12
tt9853400,Hype Man,Dave,1,5,9.2,1324,13
tt0538711,The Love Contract & True Hollywood Stories: Rick James,Chappelle's Show,2,4,9.3,1007,14
tt27304947,Looking for Love,Dave,3,10,9.5,690,15
tt7709702,North of the Border,Atlanta,2,9,9.0,2785,16
tt2001505,Nationals,Glee,3,21,9.1,1670,17
tt10761026,Crank Dat Killer,Atlanta,4,6,9.1,1585,18
tt11266786,Track 10: Rock 'n' Roll Suicide,Daisy Jones & The Six,1,10,9.2,1126,19
tt14873812,Part 1: Days 1-7,The Beatles: Get Back,1,1,9.0,2132,20
tt1442935,Sectionals,Glee,1,13,9.0,1936,21
tt3888738,Dreams Come True,Glee,6,13,9.0,1352,22
tt6113298,Alligator Man,Atlanta,2,1,8.8,3264,23
tt10761008,The Homeliest Little Horse,Atlanta,4,2,8.9,1736,24
tt7604296,Woods,Atlanta,2,8,8.8,2950,25
tt7709816,FUBU,Atlanta,2,10,8.8,2745,26
tt14873818,Part 2: Days 8-16,The Beatles: Get Back,1,2,8.9,1547,27
tt0276768,Alice in Chains,Unplugged,7,3,9.1,795,28
tt4617342,Raise Your Words， Not Your Voice,The Get Down,1,6,9.1,788,29
tt1628285,Original Song,Glee,2,16,8.8,1738,30
tt2001497,On My Way,Glee,3,14,8.8,1689,31
tt5721504,The Club,Atlanta,1,8,8.7,2953,32
tt10761004,The Most Atlanta,Atlanta,4,1,8.8,1647,33
tt11388394,Ally's Toast,Dave,1,9,8.9,1042,34
tt17070210,Act I: Vision,Jeen-yuhs: A Kanye Trilogy,1,1,8.7,1987,35
tt3384974,100,Glee,5,12,8.8,1246,36
tt1628298,Furt,Glee,2,8,8.7,1580,37
tt5776870,The Jacket,Atlanta,1,10,8.6,2773,38
tt9853394,Hypospadias,Dave,1,3,8.8,1076,39
tt2403613,The Break-Up,Glee,4,4,8.7,1519,40
tt7724458,Crabs in a Barrel,Atlanta,2,11,8.6,2251,41
tt5215538,Channing Tatum vs. Jenna Dewan-Tatum,Lip Sync Battle,2,1,9.4,358,42
tt8544130,New Jazz,Atlanta,3,8,8.6,2053,43
tt1514912,The Power of Madonna,Glee,1,15,8.6,1999,44
tt21435086,Andrew Wyeth， Alfred's World,Atlanta,4,9,8.7,1253,45
tt3999280,2009,Glee,6,12,8.7,1229,46
tt23641896,Bocchi the Rock,Bocchi the Rock!,1,8,9.2,427,47
tt1628296,Never Been Kissed,Glee,2,6,8.6,1794,48
tt1442940,Wheels,Glee,1,9,8.6,1726,49
tt3503338,New Directions,Glee,5,13,8.7,1132,50
tt13694980,Enlightened Dave,Dave,2,9,8.8,838,51
