tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt12992696,Remembering Chadwick Boseman,IMDb Originals,3,109,9.7,1869,1
tt11110668,SLAPP Suits,Last Week Tonight with John Oliver,6,29,9.6,701,2
tt1454233,Episode dated 12 June 2009,Entertainment Tonight,,,10.0,286,3
tt4582310,Government Surveillance,Last Week Tonight with John Oliver,2,8,9.5,711,4
tt13378518,Remembering Sean Connery,IMDb Originals,3,116,9.7,397,5
tt5503448,Donald Trump,Last Week Tonight with John Oliver,3,3,9.3,713,6
tt4930670,Church,Last Week Tonight with John Oliver,2,25,9.3,580,7
tt4880532,Jon Stewart's Final Episode,The Daily Show,20,142,9.5,328,8
tt0624917,Episode dated 24 February 1988,Larry King Live,,,9.7,172,9
tt1033334,Episode #4.2,Person to Person,4,2,9.9,139,10
tt0523657,Episode dated 6 March 2001,The Big Breakfast,,,8.9,739,11
tt6254694,Trump vs Truth,Last Week Tonight with John Oliver,4,1,9.0,488,12
tt1810456,Episode dated 21 April 1989,Today,,,9.8,129,13
tt6116770,President-Elect Trump,Last Week Tonight with John Oliver,3,30,8.8,452,14
tt3740168,Net Neutrality,Last Week Tonight with John Oliver,1,5,8.8,452,14
tt4725736,FIFA,Last Week Tonight with John Oliver,2,15,8.8,426,16
tt12428050,Police,Last Week Tonight with John Oliver,7,14,8.8,425,17
tt21803270,1st KIIFF,Kurdistan International Independent Film Festival,,,9.2,188,18
tt4914284,Sex Ed,Last Week Tonight with John Oliver,2,24,8.8,416,19
tt4455016,Tobacco,Last Week Tonight with John Oliver,2,2,8.8,413,20
tt2234639,Robert Kirkman/Garfunkel and Oates,Attack of the Show!,,,9.7,106,21
tt2384376,Escrever ou Digitar?,Fantastic,27,1,9.8,98,22
tt2048281,Interview with Filmmaker Max Bartoli of ATLANTIS DOWN,Eye on Entertainment,7,33,9.3,155,23
tt0610986,Episode dated 4 October 2001,El informal,,,9.6,114,24
