tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt19710854,Snatch Game,RuPaul's Drag Race All Stars,7,2,9.8,3069,1
tt19369844,Supremme Eleganza Talent Extravaganza,Drag Race España,2,2,9.7,2924,2
tt6098280,Revenge of the Queens,RuPaul's Drag Race All Stars,2,5,9.6,744,3
tt18425310,Climaxing,Clarkson's Farm,2,8,9.5,1160,4
tt20852130,The Kennedy Davenport Center Honors Hall of Shade,RuPaul's Drag Race All Stars,7,10,9.5,850,5
tt21411094,Pop Off Ate!,Drag Race Philippines,1,3,9.4,995,6
tt8697092,Jones Bar-B-Q,Queer Eye,3,3,9.5,614,7
tt19637022,Legends,RuPaul's Drag Race All Stars,7,1,9.3,1614,8
tt19710850,Meet the Queens of All Stars 7!,RuPaul's Drag Race All Stars,7,0,9.5,564,9
tt22207428,Lairy Poppins: The Rusical,RuPaul's Drag Race UK,4,5,9.4,767,10
tt5940252,All Star Talent Show Extravaganza,RuPaul's Drag Race All Stars,2,1,9.4,613,11
tt11733050,Harvesting,Clarkson's Farm,1,8,9.2,1324,12
tt13983874,The RuRuvision Song Contest,RuPaul's Drag Race UK,2,5,9.3,734,13
tt14737652,Side Hustles,RuPaul's Drag Race All Stars,6,3,9.2,1260,14
tt20253762,Council-ing,Clarkson's Farm,2,5,9.2,861,15
tt20253772,Scheming,Clarkson's Farm,2,7,9.2,847,16
tt17344516,The Daytona Wind,RuPaul's Drag Race,14,7,9.1,1516,17
tt7927226,To Gay or Not Too Gay,Queer Eye,1,4,9.2,780,18
tt14894896,Drags de la comedia,Drag Race España,1,6,9.2,710,19
tt26915043,Episode #1.10,Jinny's Kitchen,1,10,9.4,376,20
tt15216268,Rudemption Lip-Sync Smackdown,RuPaul's Drag Race All Stars,6,10,9.1,1152,21
tt18468086,Moulin Ru: The Rusical,RuPaul's Drag Race,14,12,9.1,1141,22
tt2876872,Amy's Baking Company,Kitchen Nightmares,6,16,9.2,668,23
tt21193248,Un Parfum de Drag,Drag Race France,1,6,9.3,470,24
tt7063350,Grand Finale,RuPaul's Drag Race,9,14,9.2,645,25
tt19120440,La nueva promoción,Drag Race España,2,1,9.1,1016,26
tt17345936,The Daytona Wind,RuPaul's Drag Race: Untucked!,14,7,9.4,343,27
tt3500838,Snatch Game,RuPaul's Drag Race,6,5,9.2,557,28
tt20253766,Counselling,Clarkson's Farm,2,6,9.1,837,29
tt6039898,All Stars Snatch Game,RuPaul's Drag Race All Stars,2,2,9.2,533,30
tt26915056,Episode #1.8,Jinny's Kitchen,1,8,9.3,390,31
tt14941786,Titanes del drag,Drag Race España,1,7,9.2,516,32
tt2147083,Instruments of Destruction,The Playlist,1,1,9.2,489,33
tt4083168,The Permanent Punishment,Impractical Jokers,3,27,9.4,293,34
tt10662290,Disabled but Not Really,Queer Eye,4,2,9.2,443,35
tt5211376,Like Selling Your Soul to the Devil/My Wheels Are Spinning,Survivor,31,10,9.3,336,36
tt26915054,Episode #1.9,Jinny's Kitchen,1,9,9.4,264,37
tt4321180,Wooten's Airboat Tours: Sinking Business,Wake Up Call,1,7,9.9,139,38
tt11860588,I'm That Bitch,RuPaul's Drag Race,12,1,9.0,811,39
tt15028348,La gran final,Drag Race España,1,9,9.1,518,40
tt8460832,God Bless Gay,Queer Eye,2,1,9.0,723,41
tt12031592,Madonna: The Unauthorized Rusical,RuPaul's Drag Race,12,7,9.0,709,42
tt14596694,Gina Carano in the Dolomites,Running Wild with Bear Grylls,6,7,9.2,357,43
tt19733048,Drags de la comedia,Drag Race España,2,8,9.1,470,44
tt14169766,Bienvenidas Reinas,Drag Race España,1,1,9.0,689,45
tt26904253,Wigloose: The Rusical!,RuPaul's Drag Race,15,12,9.0,655,46
tt2737222,RuPaul Roast,RuPaul's Drag Race,5,7,9.1,446,47
tt10662296,On Golden Kenny,Queer Eye,4,5,9.2,338,48
tt1631516,Let's Get This Party Started,Atlantis Rising: The Making of 'Atlantis Down',1,5,9.5,199,49
tt8697102,Black Girl Magic,Queer Eye,3,5,9.1,437,50
tt1609211,All in the Family,Atlantis Rising: The Making of 'Atlantis Down',1,3,9.5,197,51
tt20253742,Cowering,Clarkson's Farm,2,2,8.9,938,52
tt4321106,Terrell: Hits Keep Coming,Wake Up Call,1,1,9.8,135,53
tt25390966,One Night Only， Pt. 2,RuPaul's Drag Race,15,2,8.9,892,54
tt20253752,Schmoozing,Clarkson's Farm,2,3,8.9,882,55
tt20253756,Badgering,Clarkson's Farm,2,4,8.9,854,56
tt12503630,Scottish Sport,Men in Kilts: A Roadtrip with Sam and Graham,1,2,9.0,531,57
tt5670726,Whose Phone Is Ringing?,Impractical Jokers,5,11,9.3,249,58
tt16178144,Prom,Canada's Drag Race,2,8,9.0,490,59
tt6099052,All Stars Supergroup,RuPaul's Drag Race All Stars,2,8,9.0,480,60
tt11733016,Pan (dem) icking,Clarkson's Farm,1,5,8.8,1209,61
tt10369384,Girl Group Battle Royale,RuPaul's Drag Race UK,1,5,9.0,438,62
tt1652100,Blast Off!,Atlantis Rising: The Making of 'Atlantis Down',1,6,9.4,189,63
tt12503628,Food & Drink,Men in Kilts: A Roadtrip with Sam and Graham,1,1,8.9,593,64
tt1665047,The View,Atlantis Rising: The Making of 'Atlantis Down',1,8,9.4,185,65
tt1652101,Touch Down， Atlantis!,Atlantis Rising: The Making of 'Atlantis Down',1,7,9.4,185,65
tt19716250,The Realness of Fortune Ball,RuPaul's Drag Race All Stars,7,3,8.8,939,67
tt26915060,Episode #1.7,Jinny's Kitchen,1,7,8.9,539,68
tt12503632,Song & Dance,Men in Kilts: A Roadtrip with Sam and Graham,1,3,8.9,537,69
tt5180328,You Call， We'll Haul,Survivor,31,8,9.2,243,70
