tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt5229638,The Bicameral Mind,Westworld,1,10,9.7,31262,1
tt1000252,Blink,Doctor Who,3,10,9.8,21906,2
tt13424098,The We We Are,Severance,1,9,9.7,13714,3
tt4630546,Trompe L'Oeil,Westworld,1,7,9.4,21155,4
tt3973198,White Christmas,Black Mirror,2,4,9.1,62279,5
tt4701542,Heaven Sent,Doctor Who,9,11,9.6,11728,6
tt5220026,The Well-Tempered Clavier,Westworld,1,9,9.3,19389,7
tt14525206,Chapter 6: From the Desert Comes a Stranger,The Book of Boba Fett,1,6,9.2,25099,8
tt2779318,The Day of the Doctor,Doctor Who,,,9.3,18693,9
tt14526270,Chapter 5: Return of the Mandalorian,The Book of Boba Fett,1,5,9.1,25782,10
tt6243308,Kiksuya,Westworld,2,8,9.2,18488,11
tt1205440,Forest of the Dead,Doctor Who,4,9,9.4,10128,12
tt1591786,Vincent and the Doctor,Doctor Who,5,10,9.3,11652,13
tt0562998,The Girl in the Fireplace,Doctor Who,2,4,9.2,11678,14
tt1208129,Silence in the Library,Doctor Who,4,8,9.3,9827,15
tt5710978,Hang the DJ,Black Mirror,4,4,8.7,55366,16
tt0708803,The Inner Light,Star Trek: The Next Generation,5,25,9.4,7705,17
tt4227538,The Original,Westworld,1,1,8.8,23549,18
tt0756450,Doomsday,Doctor Who,2,13,9.2,9454,19
tt4538072,San Junipero,Black Mirror,3,4,8.6,61797,20
tt1000256,The Family of Blood,Doctor Who,3,9,9.2,9065,21
tt1205438,Journey's End,Doctor Who,4,13,9.2,8734,22
tt7228366,Damocles: Part Two,The 100,5,13,9.5,6001,23
tt5058700,Black Museum,Black Mirror,4,6,8.6,45689,24
tt6243300,The Riddle of the Sphinx,Westworld,2,4,8.9,14077,25
tt4630544,The Adversary,Westworld,1,6,8.8,15767,26
tt2089050,The Entire History of You,Black Mirror,1,3,8.5,59218,27
tt0562996,The Empty Child,Doctor Who,1,9,9.0,9410,28
tt1208128,Midnight,Doctor Who,4,10,9.0,9126,29
tt5709236,Hated in the Nation,Black Mirror,3,6,8.5,43979,30
tt9754692,Mayday,The Handmaid's Tale,3,13,9.3,6099,31
tt1607759,The Big Bang,Doctor Who,5,13,9.1,7745,32
tt0579533,Out of Gas,Firefly,1,5,9.3,6080,33
tt0111281,All Good Things...,Star Trek: The Next Generation,7,25,9.0,8948,34
tt5625510,Home,The Expanse,2,5,9.4,5470,35
tt3986350,Blood Must Have Blood: Part 2,The 100,2,16,9.2,6671,36
tt0562995,The Doctor Dances,Doctor Who,1,10,9.0,8688,37
tt2378951,The Angels Take Manhattan,Doctor Who,7,5,9.0,8372,38
tt0563000,The Parting of the Ways,Doctor Who,1,13,9.0,8256,39
tt4458814,Trace Decay,Westworld,1,8,8.7,14855,40
tt2267346,The Name of the Doctor,Doctor Who,7,14,9.0,8017,41
tt1777781,A Good Man Goes to War,Doctor Who,6,7,9.0,7889,42
tt0708455,The City on the Edge of Forever,Star Trek: The Original Series,1,28,9.2,6045,43
tt8241372,Return to Murder House,American Horror Story,8,6,9.2,6028,44
tt0708785,The Best of Both Worlds,Star Trek: The Next Generation,3,26,9.3,5406,45
tt1205437,The Stolen Earth,Doctor Who,4,12,9.0,7668,46
tt5709230,Shut Up and Dance,Black Mirror,3,3,8.4,51837,47
tt1607758,The Pandorica Opens,Doctor Who,5,12,9.0,7533,48
tt6243312,The Passenger,Westworld,2,10,8.7,12549,49
tt4625862,Dissonance Theory,Westworld,1,4,8.6,16320,50
tt0708845,Yesterday's Enterprise,Star Trek: The Next Generation,3,15,9.2,5629,51
tt1000254,Human Nature,Doctor Who,3,8,8.9,8275,52
tt1721226,The Doctor's Wife,Doctor Who,6,4,8.9,8193,53
tt4625866,Contrapasso,Westworld,1,5,8.6,15588,54
tt9754680,Liars,The Handmaid's Tale,3,11,9.2,5461,55
tt1205436,Turn Left,Doctor Who,4,11,8.9,7778,56
tt0579531,Objects in Space,Firefly,1,10,9.2,5289,57
tt6243310,Vanishing Point,Westworld,2,9,8.7,11078,58
tt6162948,Chapter 7,Legion,1,7,9.3,4736,59
tt0708807,The Measure of a Man,Star Trek: The Next Generation,2,9,9.1,5825,60
tt12355672,Gaugamela,The Expanse,5,4,9.4,4220,61
tt0708786,The Best of Both Worlds Part II,Star Trek: The Next Generation,4,1,9.2,5077,62
tt4562758,Chestnut,Westworld,1,2,8.5,17896,63
tt5497778,Nosedive,Black Mirror,3,1,8.3,59025,64
tt10011152,The Mother of Exiles,Westworld,3,4,8.7,10104,65
tt3745430,Listen,Doctor Who,8,4,8.8,8335,66
tt5710974,USS Callister,Black Mirror,4,1,8.3,55209,67
tt6340138,World Enough and Time,Doctor Who,10,11,9.1,5440,68
tt6665314,Immolation,The Expanse,3,6,9.4,4034,69
tt13841824,Part VI,Obi-Wan Kenobi,1,6,8.4,22751,70
