tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt12992696,Remembering Chadwick Boseman,IMDb Originals,3,109,9.7,1867,1
tt12434942,Community Table Read,Community: Webisodes,9,1,9.6,1483,2
tt5953378,Human Cake,The Filthy Frank Show,6,11,9.4,2479,3
tt13378518,Remembering Sean Connery,IMDb Originals,3,116,9.7,397,4
tt8918876,Shards of the Past,Vader: A Star Wars Theory Fan Series,1,1,8.8,2284,5
tt8448238,Joe Pera Reads You The Church Announcements,Joe Pera Talks with You,1,6,9.6,322,6
tt6966982,Pimp My Wheelchair,The Filthy Frank Show,6,16,9.6,304,7
tt16527146,Charlie Dies and Doesn't Come Back,Smiling Friends,1,8,8.8,882,8
tt16527124,Desmond's Big Day Out,Smiling Friends,1,1,8.7,1112,9
tt7677494,Cat in the Hat (2003),Cereal Time TV,1,76,9.7,189,10
tt6091904,Weeaboos,The Filthy Frank Show,4,36,9.6,198,11
tt16527142,Frowning Friends,Smiling Friends,1,7,8.6,840,12
tt12441838,Lava Lamp (Bubbly),Above All That Is Random,1,5,10.0,141,13
tt12441860,One Big Family,Above All That Is Random,1,6,10.0,141,13
tt12441814,Getting Paid,Above All That Is Random,1,4,10.0,141,13
tt4980038,Supernatural Parody,The Hillywood Show,,,9.6,180,16
tt16527140,Enchanted Forest,Smiling Friends,1,6,8.5,866,17
tt7579580,"5 Things We Didn't Learn from ""Stranger Things"" Season 2",IMDb Originals,2,31,8.6,545,18
tt1708573,Steve Carell,Between Two Ferns with Zach Galifianakis,1,9,8.8,358,19
tt8448228,Joe Pera Takes You On A Fall Drive,Joe Pera Talks with You,1,3,9.2,219,20
tt7611964,"Shot for Shot: Movie Scenes That Inspired ""Stranger Things"" Season 2",IMDb Originals,2,33,8.8,325,21
tt6092004,Hair Cake,The Filthy Frank Show,5,25,9.5,156,22
tt9046084,"""Breaking Bad""",Casting Calls,1,14,8.9,266,23
tt16527132,Shrimp's Odyssey,Smiling Friends,1,3,8.3,908,24
tt16527136,A Silly Halloween Special,Smiling Friends,1,4,8.3,898,25
tt13688824,In Memoriam 2020,IMDb Originals,3,123,9.1,194,26
tt6994224,Sugar Pine 7,Sugar Pine 7,1,16,9.5,140,27
