tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt10008916,The Mongolia Special-Survival of the Fattest,The Grand Tour,3,13,9.7,3879,1
tt23743570,"So Long, Farewell",Ted Lasso,3,12,9.5,9271,2
tt23743566,Mom City,Ted Lasso,3,11,9.3,8054,3
tt0757574,"With Tired Eyes, Tired Minds, Tired Souls, We Slept",One Tree Hill,3,16,9.7,1662,4
tt11193428,The Hope That Kills You,Ted Lasso,1,10,9.1,7388,5
tt1631966,Always,Friday Night Lights,5,13,9.6,1192,6
tt14085350,Man On Fire,Formula 1: Drive to Survive,3,9,9.4,1630,7
tt19655884,Sunflowers,Ted Lasso,3,6,9.0,8846,8
tt10008922,Funeral for a Ford,The Grand Tour,3,14,9.3,1877,9
tt14968654,Man City,Ted Lasso,2,8,9.0,7410,10
tt11156378,Make Rebecca Great Again,Ted Lasso,1,7,9.0,7328,11
tt1526671,The Son,Friday Night Lights,4,5,9.6,995,12
tt14968642,Rainbow,Ted Lasso,2,5,8.9,6985,13
tt11044160,Tan Lines,Ted Lasso,1,5,8.9,6969,14
tt0903486,Some You Give Away,One Tree Hill,4,9,9.6,835,15
tt4763228,Episode #22.8,Top Gear,22,8,9.4,1088,16
tt5715192,The Holy Trinity,The Grand Tour,1,1,8.9,5408,17
tt1345357,Vietnam Special,Top Gear,12,8,9.4,1029,18
tt14968664,Inverting the Pyramid of Success,Ted Lasso,2,12,8.8,6118,19
tt22187858,The Final,Sixer,1,6,9.1,1293,20
tt5867114,Lie Down in the Light,Kingdom,3,10,9.6,610,21
tt21849434,The Grand Tour: A Scandi Flick,The Grand Tour,5,1,8.8,3456,22
tt8116290,Every Potato Has a Receipt,GLOW,2,10,9.1,1224,23
tt1571929,Bolivia Special,Top Gear,14,6,9.3,848,24
tt11193418,The Diamond Dogs,Ted Lasso,1,8,8.7,6346,25
tt12843354,Stealing Home,A League of Their Own,1,6,8.9,1880,26
tt1979884,One Tree Hill,One Tree Hill,9,13,9.3,783,27
tt3591592,Burma Special: Part 2,Top Gear,21,7,9.2,843,28
tt14968638,Carol of the Bells,Ted Lasso,2,4,8.6,7742,29
tt6068920,Sea to Unsalty Sea,The Grand Tour,3,11,8.9,1459,30
tt0982409,All of a Sudden I Miss Everyone,One Tree Hill,4,21,9.3,701,31
tt6068898,The Colombia Special Part 2,The Grand Tour,3,3,8.8,1875,32
tt11193420,All Apologies,Ted Lasso,1,9,8.6,5920,33
tt2741140,"Africa Special, Part 2",Top Gear,19,7,9.2,771,34
tt14968644,The Signal,Ted Lasso,2,6,8.6,5644,35
tt2741136,"Africa Special, Part 1",Top Gear,19,6,9.1,872,36
tt0933551,Pictures of You,One Tree Hill,4,13,9.3,655,37
tt3576666,Burma Special: Part 1,Top Gear,21,6,9.1,849,38
tt6068840,The Beach (Buggy) Boys - Part 1,The Grand Tour,1,7,8.7,2360,39
tt9704376,The Grand Tour Presents: Seamen,The Grand Tour,4,1,8.6,4048,40
tt0793217,The Show Must Go On,One Tree Hill,3,22,9.3,609,41
tt1979882,Danny Boy,One Tree Hill,9,11,9.4,542,42
tt10833444,Double Turn,Heels,1,8,9.2,676,43
tt5915090,Game Day,Ballers,2,10,8.7,1946,44
tt1070690,Polar Special,Top Gear,9,8,9.0,897,45
tt10989892,Trent Crimm: The Independent,Ted Lasso,1,3,8.5,6831,46
tt14968656,No Weddings and a Funeral,Ted Lasso,2,10,8.5,6739,47
tt11046490,Two Aces,Ted Lasso,1,6,8.5,6303,48
tt15445438,Perfect Game,A League of Their Own,1,8,8.7,1769,49
tt19712484,La Locker Room Aux Folles,Ted Lasso,3,9,8.5,5270,50
tt19712486,International Break,Ted Lasso,3,10,8.5,5127,51
tt1136573,Botswana Special,Top Gear,10,4,9.1,678,52
tt6068908,International Buffoons Vacation,The Grand Tour,3,8,8.7,1541,53
tt6068844,The Beach (Buggy) Boys - Part 2,The Grand Tour,1,8,8.6,2173,54
tt6068878,"It's a gas, gas, gas",The Grand Tour,2,7,8.7,1467,55
tt26653315,The Stage for the Lead,Blue Lock,1,18,9.1,647,56
tt5214140,Cactus,Kingdom,3,9,9.4,458,57
tt6068862,"Past, Present or Future",The Grand Tour,2,1,8.6,2004,58
tt24215548,Just the Way It Is,Blue Lock,1,10,9.0,739,59
tt6022362,Money's in the Chase,GLOW,1,10,8.7,1343,60
tt22187854,Superb Over,Sixer,1,5,8.8,1041,61
tt1216621,Underdogs,Friday Night Lights,3,12,9.2,535,62
tt27011850,Voice,Blue Lock,1,22,9.1,605,63
tt15137358,Promised Land,Winning Time: The Rise of the Lakers Dynasty,1,10,8.9,815,64
tt26491965,Donkey,Blue Lock,1,17,9.0,684,65
tt14968636,Do the Right-est Thing,Ted Lasso,2,3,8.4,6287,66
tt1263996,Get Cape. Wear Cape. Fly.,One Tree Hill,6,3,9.2,518,67
tt0998353,State,Friday Night Lights,1,22,8.9,786,68
tt1406735,Remember Me as a Time of Day,One Tree Hill,6,24,9.2,512,69
tt3130216,Chapter 29,Eastbound & Down,4,8,9.0,661,70
tt1802727,Middle East Special,Top Gear,16,0,8.9,765,71
tt6068836,Happy Finnish Christmas,The Grand Tour,1,6,8.5,2190,72
tt6068876,Jaaaaaaaags,The Grand Tour,2,6,8.6,1464,73
tt6068904,An Itchy Urus,The Grand Tour,3,5,8.6,1463,74
tt2048034,The Corn Field: Part 2,Blue Mountain State,3,13,9.1,537,75
tt1564135,Thanksgiving,Friday Night Lights,4,13,9.1,536,76
tt6068896,The Colombia Special Part 1,The Grand Tour,3,2,8.5,1905,77
tt10833438,Swerve,Heels,1,5,9.0,583,78
tt0967676,Mud Bowl,Friday Night Lights,1,20,8.8,794,79
tt6068882,Blasts from the Past,The Grand Tour,2,8,8.6,1242,80
tt1664460,Darkness on the Edge of Town,One Tree Hill,8,11,9.2,442,81
tt11044158,For the Children,Ted Lasso,1,4,8.3,6591,82
tt0666258,The Wind That Blew My Heart Away,One Tree Hill,3,13,9.1,478,83
tt6068854,[censored] to [censored],The Grand Tour,1,12,8.5,1515,84
tt19712480,The Strings That Bind Us,Ted Lasso,3,7,8.3,5407,85
tt8116292,Nothing Shattered,GLOW,2,7,8.6,1084,86
tt23734666,Rush,Blue Lock,1,7,8.8,707,87
tt1032104,Hundred,One Tree Hill,5,12,9.1,463,88
tt19655878,(I Don't Want to Go to) Chelsea,Ted Lasso,3,2,8.3,4745,89
tt6371376,Past v Future,The Grand Tour,1,13,8.5,1412,90
tt8097150,Work the Leg,GLOW,2,6,8.6,1021,91
tt2853560,Kärringar mot strömmen,The Other Sport,1,2,8.8,672,92
tt23292878,To Be Reborn,Blue Lock,1,5,8.7,805,93
tt24515140,The Final Piece,Blue Lock,1,11,8.8,669,94
tt0666222,Every Night Is Another Story,One Tree Hill,1,6,8.8,654,95
tt3587864,I Won't Lose,Kuroko's Basketball,2,18,9.6,282,96
tt11874124,Raging Bulls,Formula 1: Drive to Survive,2,6,8.6,945,97
tt0960668,U. S. Special,Top Gear,9,3,8.9,549,98
tt21092706,Dream,Blue Lock,1,1,8.5,1237,99
tt9535712,Freaky Tuesday,GLOW,3,5,8.6,935,100
tt6009216,Again and Again,Kuroko's Basketball,3,25,9.6,274,101
tt1631965,Texas Whatever,Friday Night Lights,5,12,9.0,470,102
tt6068884,"Oh, Canada",The Grand Tour,2,10,8.5,1176,103
tt6068880,"Breaking, Badly",The Grand Tour,2,9,8.5,1172,104
tt0967043,"You Call It Madness, But I Call It Love",One Tree Hill,4,16,9.0,461,105
tt6068864,The Fall Guys,The Grand Tour,2,2,8.4,1564,106
tt8116288,Mother of All Matches,GLOW,2,4,8.5,1092,107
tt1691304,Building Motor Homes,Top Gear,15,4,9.0,447,108
tt0762899,"Who Will Survive, and What Will Be Left of Them",One Tree Hill,3,17,9.0,442,109
tt15445436,Full Count,A League of Their Own,1,7,8.4,1485,110
tt4428348,Homemade Ambulance Challenge,Top Gear,22,3,8.8,574,111
tt1216622,Tomorrow Blues,Friday Night Lights,3,13,8.9,494,112
tt0666246,The Games That Play Us,One Tree Hill,1,22,8.9,493,113
tt7847798,The Good Twin,GLOW,2,8,8.4,1442,114
tt14657444,Who the F**k Is Jack McKinney,Winning Time: The Rise of the Lakers Dynasty,1,4,8.5,1021,115
tt0868133,Pilot,Friday Night Lights,1,1,8.4,1362,116
tt14968660,Midnight Train to Royston,Ted Lasso,2,11,8.2,5176,117
tt0906116,Songs to Love and Die By,One Tree Hill,4,10,8.9,476,118
tt11784322,Spirit of the Ducks,The Mighty Ducks: Game Changers,1,6,8.8,546,119
tt14085344,The Comeback Kid,Formula 1: Drive to Survive,3,6,8.5,965,120
tt19655944,Big Week,Ted Lasso,3,4,8.2,4201,121
tt3038922,Chapter 23,Eastbound & Down,4,2,8.8,528,122
tt4494506,Traveling Alone,Kingdom,2,10,9.2,333,123
tt23985018,Awakening,Blue Lock,1,9,8.7,612,124
tt26759371,Super Link-Up Play,Blue Lock,1,20,8.8,519,125
tt1216625,"Hello, Goodbye",Friday Night Lights,3,4,8.8,517,126
tt21856218,The Grand Tour: Eurocrash,The Grand Tour,5,2,8.5,910,127
tt5346832,Late to Leave,Kingdom,2,19,9.2,327,128
tt1979881,"Hardcore Will Never Die, But You Will",One Tree Hill,9,10,9.1,358,129
