tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt10008916,The Mongolia Special-Survival of the Fattest,The Grand Tour,3,13,9.7,3879,1
tt10008922,Funeral for a Ford,The Grand Tour,3,14,9.3,1877,2
tt11110668,SLAPP Suits,Last Week Tonight with John Oliver,6,29,9.6,700,3
tt4582310,Government Surveillance,Last Week Tonight with John Oliver,2,8,9.5,711,4
tt7461988,Jake Paul,Content Cop,3,2,9.4,716,5
tt5715192,The Holy Trinity,The Grand Tour,1,1,8.9,5408,6
tt5503448,Donald Trump,Last Week Tonight with John Oliver,3,3,9.3,713,7
tt14242664,Zack Snyder's Justice League,IMDb on the Scene - Interviews,3,13,9.1,1108,8
tt21849434,The Grand Tour: A Scandi Flick,The Grand Tour,5,1,8.8,3456,9
tt1454233,Episode dated 12 June 2009,Entertainment Tonight,,,10.0,286,10
tt4930670,Church,Last Week Tonight with John Oliver,2,25,9.3,580,11
tt6510642,Tana Mongeau,Content Cop,3,1,9.3,574,12
tt6068920,Sea to Unsalty Sea,The Grand Tour,3,11,8.9,1459,13
tt6068898,The Colombia Special Part 2,The Grand Tour,3,3,8.8,1875,14
tt6068840,The Beach (Buggy) Boys - Part 1,The Grand Tour,1,7,8.7,2360,15
tt11010054,Shah Rukh Khan,My Next Guest Needs No Introduction with David Letterman,3,0,8.8,1383,16
tt12401780,Kimba the White Lion,Your Movie Sucks,11,27,9.2,530,17
tt9704376,The Grand Tour Presents: Seamen,The Grand Tour,4,1,8.6,4048,18
tt6137328,Leafy,Content Cop,2,6,9.2,484,19
tt4880532,Jon Stewart's Final Episode,The Daily Show,20,142,9.5,328,20
tt6068908,International Buffoons Vacation,The Grand Tour,3,8,8.7,1541,21
tt6068878,"It's a gas, gas, gas",The Grand Tour,2,7,8.7,1467,22
tt6068844,The Beach (Buggy) Boys - Part 2,The Grand Tour,1,8,8.6,2173,23
tt6068862,"Past, Present or Future",The Grand Tour,2,1,8.6,2004,24
tt6068876,Jaaaaaaaags,The Grand Tour,2,6,8.6,1464,25
tt2627262,Jimmy Kimmel Sucks,Jimmy Kimmel Live!,10,319,9.5,280,26
tt6068904,An Itchy Urus,The Grand Tour,3,5,8.6,1463,27
tt6254694,Trump vs Truth,Last Week Tonight with John Oliver,4,1,9.0,488,28
tt6068836,Happy Finnish Christmas,The Grand Tour,1,6,8.5,2190,29
tt6068882,Blasts from the Past,The Grand Tour,2,8,8.6,1242,30
tt6068896,The Colombia Special Part 1,The Grand Tour,3,2,8.5,1905,31
tt25381904,SUGA with RM,Suchwita,1,1,9.1,383,32
tt0728003,Bette Davis/Martin Short,The Tonight Show Starring Johnny Carson,27,3,9.7,215,33
tt2408756,"It's Bubbly Time, Jerry",Comedians in Cars Getting Coffee,1,10,8.7,776,34
tt4123310,Lauren Conrad; Reese Witherspoon,The Eric Andre Show,3,2,9.2,334,35
tt0266213,The last Tonight Show,The Tonight Show Starring Johnny Carson,30,120,9.5,249,36
tt4163132,Interstellar,IMDb: What to Watch,2,22,9.2,330,37
tt6068854,[censored] to [censored],The Grand Tour,1,12,8.5,1515,38
tt3540814,Matt Damon/Bill Murray/Hugh Bonneville/Paloma Faith,The Graham Norton Show,14,18,9.6,225,39
tt0875850,Bette Davis,The Dick Cavett Show,6,40,9.3,291,40
tt6371376,Past v Future,The Grand Tour,1,13,8.5,1412,41
tt0727827,Bette Davis/Richard Pryor,The Tonight Show Starring Johnny Carson,21,86,9.8,188,42
tt6137312,Keemstar,Content Cop,2,3,9.0,391,43
tt6068884,"Oh, Canada",The Grand Tour,2,10,8.5,1176,44
tt6068880,"Breaking, Badly",The Grand Tour,2,9,8.5,1172,45
tt0727931,Bette Davis/Ed McMahon/Doc Severinsen,The Tonight Show Starring Johnny Carson,,,9.9,171,46
tt7829862,It's a Whole New Ball Game Now,My Next Guest Needs No Introduction with David Letterman,1,1,8.5,1120,47
tt0726943,Sammy Davis Jr./Bette Davis,The Tonight Show Starring Johnny Carson,,,9.9,167,48
tt0559593,Bette Davis and Truman Capote,The Dick Cavett Show,,,9.6,203,49
tt27000064,Bhuvan Bam,Desi Vibes with Shehnaaz Gill,1,6,9.9,166,50
tt6068864,The Fall Guys,The Grand Tour,2,2,8.4,1564,51
tt21856218,The Grand Tour: Eurocrash,The Grand Tour,5,2,8.5,910,52
tt3740168,Net Neutrality,Last Week Tonight with John Oliver,1,5,8.8,452,53
tt6116770,President-Elect Trump,Last Week Tonight with John Oliver,3,30,8.8,452,53
tt9609072,Oldboy,Your Movie Sucks,10,2,9.3,244,55
tt17592094,Episode #2.17,Kaan Sekban'la Alt Tarafi Bi' Talk Show,2,17,9.9,158,56
tt6113434,Jack Black; Jennette McCurdy,The Eric Andre Show,4,10,9.2,261,57
tt0648023,Episode #15.135,The Mike Douglas Show,15,135,9.8,164,58
tt4725736,FIFA,Last Week Tonight with John Oliver,2,15,8.8,426,59
tt12428050,Police,Last Week Tonight with John Oliver,7,14,8.8,425,60
tt0624917,Episode dated 24 February 1988,Larry King Live,,,9.7,172,61
tt4914284,Sex Ed,Last Week Tonight with John Oliver,2,24,8.8,416,62
tt4455016,Tobacco,Last Week Tonight with John Oliver,2,2,8.8,413,63
