tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt12100292,Half the Money,Yellowstone,4,1,9.3,3817,1
tt8755452,Resurrection Day,Yellowstone,2,7,9.3,3080,2
tt15294872,Racing Clouds,1883,1,9,9.2,3208,3
tt10587962,The World Is Purple,Yellowstone,3,10,9.2,2847,4
tt15294870,The Fangs of Freedom,1883,1,5,9.1,3603,5
tt15294876,This Is Not Your Heaven,1883,1,10,9.0,3164,6
tt8755458,Sins of the Father,Yellowstone,2,10,9.0,2630,7
tt8755454,Enemies by Monday,Yellowstone,2,9,9.0,2302,8
tt23214814,The War Has Come Home,1923,1,3,9.0,2204,9
tt7664718,Homecoming,Godless,1,7,8.9,2670,10
tt15294862,"Behind Us, a Cliff",1883,1,2,8.8,3775,11
tt10587950,Meaner Than Evil,Yellowstone,3,9,8.9,2148,12
tt15294868,Lightning Yellow Hair,1883,1,7,8.7,3180,13
tt23214836,War and the Turquoise Tide,1923,1,4,8.8,1875,14
tt14103574,1883,1883,1,1,8.6,4330,15
tt13144958,Phantom Pain,Yellowstone,4,2,8.6,2513,16
tt8755448,Blood the Boy,Yellowstone,2,6,8.6,2149,17
tt10587934,I Killed a Man Today,Yellowstone,3,8,8.6,1969,18
tt3868998,Elam Ferguson,Hell on Wheels,4,7,8.8,917,19
tt7867214,The Unravelling: Part 2,Yellowstone,1,9,8.5,2491,20
tt10587868,Going Back to Cali,Yellowstone,3,4,8.5,2007,21
tt4257288,Two Soldiers,Hell on Wheels,5,8,8.8,677,22
tt23214844,Ghost of Zebrina,1923,1,5,8.5,1608,23
tt3924260,Return to Hell,Hell on Wheels,4,10,8.8,661,24
tt2400640,Blood Moon Rising,Hell on Wheels,2,10,8.7,776,25
tt8755438,A Thundering,Yellowstone,2,1,8.4,2441,26
tt8755444,Only Devils Left,Yellowstone,2,4,8.4,2115,27
tt8755456,Behind Us Only Grey,Yellowstone,2,8,8.4,2094,28
tt10587916,The Beating,Yellowstone,3,7,8.4,1856,29
tt0594437,The Gallows,Gunsmoke,7,22,9.2,321,30
tt0594461,The Jailer,Gunsmoke,12,3,8.7,631,31
tt0644483,Shady Deal at Sunny Acres,Maverick,2,10,9.4,257,32
tt15294860,River,1883,1,3,8.3,3140,33
tt15294864,The Crossing,1883,1,4,8.3,3113,34
tt3909986,Two Trains,Hell on Wheels,4,9,8.7,595,35
tt4257312,Done,Hell on Wheels,5,14,8.7,592,36
tt2313198,The Railroad Job,Hell on Wheels,2,5,8.6,686,37
tt8075168,The Unravelling: Part 1,Yellowstone,1,8,8.3,2313,38
tt23214792,Nature's Empty Throne,1923,1,2,8.3,1965,39
tt9217730,"Take Me Home, Country Roads",The Ranch,4,20,8.8,435,40
tt2037272,Revelations,Hell on Wheels,1,7,8.5,807,41
