tconst,primaryTitle,averageRating,numVotes,ranking
tt0468569,The Dark Knight,9.0,2731715,1
tt0167260,The Lord of the Rings: The Return of the King,9.0,1894169,2
tt1375666,Inception,8.8,2424151,3
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,1922628,4
tt0167261,The Lord of the Rings: The Two Towers,8.8,1709437,5
tt0133093,The Matrix,8.7,1965826,6
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1326299,7
tt0076759,Star Wars: Episode IV - A New Hope,8.6,1398555,8
tt0103064,Terminator 2: Judgment Day,8.6,1127798,9
tt0172495,Gladiator,8.5,1541978,10
tt0110413,Léon: The Professional,8.5,1194057,11
tt1345836,The Dark Knight Rises,8.4,1748866,12
tt4154796,Avengers: Endgame,8.4,1189092,13
tt4154756,Avengers: Infinity War,8.4,1131813,14
tt0082971,Indiana Jones and the Raiders of the Lost Ark,8.4,995006,15
tt0090605,Aliens,8.4,734996,16
tt0047478,Seven Samurai,8.6,354025,17
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1081471,18
tt4633694,Spider-Man: Into the Spider-Verse,8.4,599696,19
tt0364569,Oldboy,8.4,599159,20
tt0372784,Batman Begins,8.2,1509568,21
tt0113277,Heat,8.3,680523,22
tt0266697,Kill Bill: Vol. 1,8.2,1144723,23
tt0434409,V for Vendetta,8.2,1143836,24
tt1745960,Top Gun: Maverick,8.3,601752,25
tt0107290,Jurassic Park,8.2,1019245,26
tt0095016,Die Hard,8.2,904045,27
tt10872600,Spider-Man: No Way Home,8.2,807688,28
tt0097576,Indiana Jones and the Last Crusade,8.2,776649,29
tt9362722,Spider-Man: Across the Spider-Verse,8.9,160953,30
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1158306,31
tt8579674,1917,8.2,625626,32
tt1392190,Mad Max: Fury Road,8.1,1034324,33
tt0119698,Princess Mononoke,8.3,408803,34
tt0088247,The Terminator,8.1,889272,35
tt3315342,Logan,8.1,791690,36
tt0083658,Blade Runner,8.1,790993,37
tt0892769,How to Train Your Dragon,8.1,764886,38
tt0848228,The Avengers,8.0,1420262,39
tt0053125,North by Northwest,8.3,335630,40
tt2015381,Guardians of the Galaxy,8.0,1225854,41
tt0120735,Lock， Stock and Two Smoking Barrels,8.1,596864,42
tt1431045,Deadpool,8.0,1072847,43
tt1663202,The Revenant,8.0,830784,44
