tconst,primaryTitle,averageRating,numVotes,ranking
tt0285455,The Bigger the Better,9.0,213,1
tt5684902,Clandestine,8.9,206,2
tt5658362,Actress,8.9,204,3
tt0369830,Pink Velvet: The Innocence of Lesbian Love,9.1,177,4
tt1266097,Pirates II: Stagnetti's Revenge,7.5,3633,5
tt0294658,Sensational Janine,7.7,666,6
tt0391713,"1, 001 Ways to Eat My Jizz, Part 3: Biscuits and Gravy Edition",9.1,137,7
tt5717472,Shoko Takasaki Muteki JAV Debut,8.3,200,8
tt0207490,Gangbang Girl 11,8.6,157,9
tt0156552,Gangbang Girl 18,9.0,120,10
tt0451904,Schoolboy Crush,8.7,143,11
tt0310015,Porno Vision,9.0,113,12
tt0162574,The Psychic,9.2,101,13
tt0160049,Big Melons 13,9.0,106,14
tt0147888,Big Guns,8.6,134,15
tt0285486,Cousins,8.3,158,16
tt0453184,Pink Velvet 3: A Lesbian Odyssey,8.7,119,17
tt0140530,Samantha and Co.,8.4,138,18
tt0125196,Humpkin Pie,8.5,128,19
tt0212535,Star Cuts 37: Buffy Davis,8.4,136,20
tt0153801,Wicked As She Seems,8.0,191,21
tt0163667,How to Suck a Dick,8.3,145,22
tt0341350,The Fashionistas,7.6,316,23
tt0389913,Deep in Angel's Ass,8.8,103,24
tt0156454,Date from Hell,8.3,141,25
tt0123597,The Butt Sisters Do Las Vegas,8.3,141,25
tt0313154,"1, 001 Ways to Eat My Jizz",8.5,120,27
tt0347062,Getting It,8.8,100,28
tt0160300,Gangbang Girl 14,8.3,138,29
tt0368859,The Masseuse,7.3,580,30
tt0347930,Sailor in the Wild,8.9,92,31
tt9257638,Lords of the Lockerroom,9.3,76,32
tt0123632,Car Wash Angels,8.2,144,33
tt0243209,Deep Inside Ariana,8.7,102,34
tt0285676,Like a Horse,8.3,130,35
tt0138283,Adult Video News Awards 1992,8.1,152,36
tt0477457,Pirates,7.0,4281,37
tt0152050,Powertool,8.0,163,38
tt0153369,Two Handfuls,8.2,135,39
tt0159560,A Matter of Size,7.9,174,40
tt0825662,CandyGirl Video: Jasmine Grey's Personal Panties,7.3,454,41
tt0161105,XTV,8.5,105,42
tt0266561,Fuck Pigs,8.1,141,43
tt0378570,Pink Velvet 2: The Loss of Innocence,8.4,112,44
tt2909148,Savita Bhabhi Movie,7.4,349,45
tt0233771,Gangbang Girl 17,8.2,128,46
tt0297798,Blondes Have More Cum: Volume 3,8.6,97,47
tt0429790,Cocksuckers Contest,8.1,136,48
tt0271520,Fuck My Dirty Shit Hole,7.8,181,49
tt0145320,Passages 1,8.1,132,50
tt0106897,Les femmes érotiques,7.6,223,51
tt0277448,"Young, Hard, & Solo #3",8.8,82,52
tt0299472,Anal Addicts 3,8.2,119,53
tt0141317,Immoral Majority,8.0,139,54
tt0307407,San Fernando Jones and the Temple of Poon,8.0,137,55
tt0084755,Taboo II,7.0,1298,56
