tconst,primaryTitle,averageRating,numVotes,ranking
tt0167260,The Lord of the Rings: The Return of the King,9.0,1894169,1
tt1375666,Inception,8.8,2424151,2
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,1922628,3
tt0167261,The Lord of the Rings: The Two Towers,8.8,1709437,4
tt0816692,Interstellar,8.7,1926303,5
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1326299,6
tt0060196,The Good， the Bad and the Ugly,8.8,780141,7
tt0076759,Star Wars: Episode IV - A New Hope,8.6,1398555,8
tt0172495,Gladiator,8.5,1541978,9
tt0245429,Spirited Away,8.6,794765,10
tt0088763,Back to the Future,8.5,1245015,11
tt0110357,The Lion King,8.5,1090500,12
tt4154796,Avengers: Endgame,8.4,1189092,13
tt0910970,WALL·E,8.4,1148361,14
tt4154756,Avengers: Infinity War,8.4,1131813,15
tt0082971,Indiana Jones and the Raiders of the Lost Ark,8.4,995006,16
tt0361748,Inglourious Basterds,8.3,1498942,17
tt0090605,Aliens,8.4,734996,18
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1081471,19
tt1049413,Up,8.3,1074731,20
tt0114709,Toy Story,8.3,1022991,21
tt4633694,Spider-Man: Into the Spider-Verse,8.4,599696,22
tt0435761,Toy Story 3,8.3,858690,23
tt2380307,Coco,8.4,539484,24
tt0062622,2001: A Space Odyssey,8.3,688232,25
tt0266543,Finding Nemo,8.2,1070701,26
tt0107290,Jurassic Park,8.2,1019245,27
tt10872600,Spider-Man: No Way Home,8.2,807688,28
tt0097576,Indiana Jones and the Last Crusade,8.2,776649,29
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1158306,30
tt1392190,Mad Max: Fury Road,8.1,1034324,31
tt9362722,Spider-Man: Across the Spider-Verse,8.9,160953,32
tt0198781,Monsters， Inc.,8.1,936267,33
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,904491,34
tt0119698,Princess Mononoke,8.3,408803,35
tt0071853,Monty Python and the Holy Grail,8.2,553459,36
tt2278388,The Grand Budapest Hotel,8.1,843274,37
tt0382932,Ratatouille,8.1,771703,38
tt0892769,How to Train Your Dragon,8.1,764886,39
tt2096673,Inside Out,8.1,740838,40
tt2015381,Guardians of the Galaxy,8.0,1225854,41
tt0758758,Into the Wild,8.1,636908,42
tt0073195,Jaws,8.1,627478,43
tt0053125,North by Northwest,8.3,335630,44
tt0347149,Howl's Moving Castle,8.2,414883,45
tt3659388,The Martian,8.0,882526,46
tt1663202,The Revenant,8.0,830784,47
tt0056172,Lawrence of Arabia,8.3,302251,48
tt0317705,The Incredibles,8.0,766038,49
tt0499549,Avatar,7.9,1349698,50
tt1160419,Dune: Part One,8.0,686966,51
tt0381061,Casino Royale,8.0,672792,52
tt0371746,Iron Man,7.9,1086410,53
tt0092005,Stand by Me,8.1,419354,54
tt0032138,The Wizard of Oz,8.1,411886,55
tt0450259,Blood Diamond,8.0,565770,56
tt2948356,Zootopia,8.0,519065,57
tt3501632,Thor: Ragnarok,7.9,780267,58
tt1877832,X-Men: Days of Future Past,7.9,727002,59
tt0126029,Shrek,7.9,702725,60
tt1631867,Edge of Tomorrow,7.9,701983,61
tt0319061,Big Fish,8.0,449081,62
tt0304141,Harry Potter and the Prisoner of Azkaban,7.9,658352,63
tt0103639,Aladdin,8.0,439946,64
tt0093779,The Princess Bride,8.0,437252,65
tt0454876,Life of Pi,7.9,647185,66
tt0796366,Star Trek,7.9,611174,67
tt12361974,Zack Snyder's Justice League,8.0,416143,68
tt0120363,Toy Story 2,7.9,597957,69
tt0057115,The Great Escape,8.2,250277,70
tt2488496,Star Wars: Episode VII - The Force Awakens,7.8,949569,71
tt1843866,Captain America: The Winter Soldier,7.8,869961,72
tt0903624,The Hobbit: An Unexpected Journey,7.8,845962,73
tt2948372,Soul,8.0,348428,74
tt1074638,Skyfall,7.8,711438,75
tt3748528,Rogue One: A Star Wars Story,7.8,660055,76
tt0083866,E.T. the Extra-Terrestrial,7.9,422168,77
tt0162222,Cast Away,7.8,611581,78
tt0052618,Ben-Hur,8.1,245824,79
tt0096874,Back to the Future Part II,7.8,550524,80
tt0099348,Dances with Wolves,8.0,277779,81
tt0050212,The Bridge on the River Kwai,8.1,226310,82
tt2245084,Big Hero 6,7.8,479068,83
tt6710474,Everything Everywhere All at Once,7.8,458007,84
tt6791350,Guardians of the Galaxy Vol. 3,8.2,180058,85
tt0129167,The Iron Giant,8.1,210970,86
tt2802144,Kingsman: The Secret Service,7.7,689535,87
tt0093773,Predator,7.8,436275,88
tt0330373,Harry Potter and the Goblet of Fire,7.7,649576,89
tt4729430,Klaus,8.2,167491,90
tt0926084,Harry Potter and the Deathly Hallows: Part 1,7.7,570282,91
tt0181875,Almost Famous,7.9,284570,92
tt0190332,Crouching Tiger， Hidden Dragon,7.9,276139,93
tt1646971,How to Train Your Dragon 2,7.8,349198,94
tt1408101,Star Trek Into Darkness,7.7,490005,95
tt0121766,Star Wars: Episode III - Revenge of the Sith,7.6,814724,96
tt0241527,Harry Potter and the Sorcerer's Stone,7.6,813282,97
tt0398286,Tangled,7.7,471513,98
tt0072684,Barry Lyndon,8.1,174510,99
tt0472043,Apocalypto,7.8,320950,100
tt0432283,Fantastic Mr. Fox,7.9,249164,101
tt3896198,Guardians of the Galaxy Vol. 2,7.6,720850,102
tt1772341,Wreck-It Ralph,7.7,439174,103
tt0379786,Serenity,7.8,300805,104
tt0988045,Sherlock Holmes,7.6,649898,105
tt5463162,Deadpool 2,7.6,608739,106
tt0063442,Planet of the Apes,8.0,185927,107
tt0417741,Harry Potter and the Half-Blood Prince,7.6,566633,108
tt1490017,The Lego Movie,7.7,372034,109
tt1323594,Despicable Me,7.6,562913,110
tt4912910,Mission: Impossible - Fallout,7.7,347055,111
tt0087544,Nausicaä of the Valley of the Wind,8.0,174641,112
tt0441773,Kung Fu Panda,7.6,491360,113
tt0119116,The Fifth Element,7.6,487649,114
tt0080455,The Blues Brothers,7.9,206510,115
tt0092067,Castle in the Sky,8.0,172754,116
tt0040897,The Treasure of the Sierra Madre,8.2,128390,117
tt0190590,O Brother， Where Art Thou?,7.7,320779,118
tt2103281,Dawn of the Planet of the Apes,7.6,453004,119
tt1211837,Doctor Strange,7.5,769376,120
tt0112384,Apollo 13,7.7,304398,121
tt1630029,Avatar: The Way of Water,7.6,421034,122
tt1951264,The Hunger Games: Catching Fire,7.5,685873,123
tt0112864,Die Hard with a Vengeance,7.6,396856,124
tt0299977,Hero,7.9,184703,125
tt0089218,The Goonies,7.7,286130,126
tt0373889,Harry Potter and the Order of the Phoenix,7.5,603656,127
tt1979376,Toy Story 4,7.7,263927,128
tt0083944,First Blood,7.7,263329,129
tt3521164,Moana,7.6,354011,130
tt0087469,Indiana Jones and the Temple of Doom,7.5,509296,131
tt0268380,Ice Age,7.5,498184,132
tt0145487,Spider-Man,7.4,843068,133
tt3606756,Incredibles 2,7.6,311950,134
tt15327088,Kantara,8.3,96313,135
tt0120762,Mulan,7.6,300885,136
tt2250912,Spider-Man: Homecoming,7.4,684593,137
tt5104604,Isle of Dogs,7.8,179184,138
tt0451279,Wonder Woman,7.4,677100,139
tt0316654,Spider-Man 2,7.4,676490,140
tt0295297,Harry Potter and the Chamber of Secrets,7.4,659345,141
tt0097757,The Little Mermaid,7.6,278864,142
tt0015864,The Gold Rush,8.1,114291,143
tt0096895,Batman,7.5,390090,144
tt0486655,Stardust,7.6,277926,145
tt2294629,Frozen,7.4,641615,146
tt0096438,Who Framed Roger Rabbit,7.7,208780,147
tt1855199,End of Watch,7.6,257558,148
tt0498380,Letters from Iwo Jima,7.8,166618,149
tt2310332,The Hobbit: The Battle of the Five Armies,7.4,549426,150
tt0100802,Total Recall,7.5,342052,151
tt0054331,Spartacus,7.9,138873,152
tt0058150,Goldfinger,7.7,196243,153
tt6320628,Spider-Man: Far from Home,7.4,520489,154
tt0970179,Hugo,7.5,329333,155
tt3915174,Puss in Boots: The Last Wish,7.9,137076,156
tt1229238,Mission: Impossible - Ghost Protocol,7.4,503520,157
tt1515091,Sherlock Holmes: A Game of Shadows,7.4,467122,158
tt0099088,Back to the Future Part III,7.4,462588,159
tt1677720,Ready Player One,7.4,456866,160
tt2395427,Avengers: Age of Ultron,7.3,889006,161
tt0120669,Fear and Loathing in Las Vegas,7.5,292552,162
tt0104691,The Last of the Mohicans,7.7,178345,163
tt1825683,Black Panther,7.3,805385,164
tt0383574,Pirates of the Caribbean: Dead Man's Chest,7.3,739263,165
