tconst,primaryTitle,averageRating,numVotes,ranking
tt9362722,Spider-Man: Across the Spider-Verse,8.9,164906,1
tt0245429,Spirited Away,8.6,795146,2
tt0110357,The Lion King,8.5,1090882,3
tt0910970,WALL·E,8.4,1148757,4
tt0095327,Grave of the Fireflies,8.5,289278,5
tt4633694,Spider-Man: Into the Spider-Verse,8.4,601056,6
tt2380307,Coco,8.4,539906,7
tt1049413,Up,8.3,1075163,8
tt0114709,Toy Story,8.3,1023353,9
tt0435761,Toy Story 3,8.3,858957,10
tt5311514,Your Name.,8.4,289998,11
tt0119698,Princess Mononoke,8.3,408986,12
tt0266543,Finding Nemo,8.2,1071008,13
tt0347149,Howl's Moving Castle,8.2,415110,14
tt0198781,Monsters， Inc.,8.1,936588,15
tt0382932,Ratatouille,8.1,772107,16
tt0892769,How to Train Your Dragon,8.1,765143,17
tt2096673,Inside Out,8.1,741205,18
tt0096283,My Neighbor Totoro,8.1,354987,19
tt4729430,Klaus,8.2,167607,20
tt0317705,The Incredibles,8.0,766397,21
tt2948356,Zootopia,8.0,519263,22
tt0101414,Beauty and the Beast,8.0,466172,23
tt0129167,The Iron Giant,8.1,211121,24
tt0103639,Aladdin,8.0,440161,25
tt2948372,Soul,8.0,348650,26
tt0978762,Mary and Max,8.1,181382,27
tt0126029,Shrek,7.9,702925,28
tt0120363,Toy Story 2,7.9,598134,29
tt0094625,Akira,8.0,194749,30
tt0107688,The Nightmare Before Christmas,7.9,352825,31
tt0087544,Nausicaä of the Valley of the Wind,8.0,174693,32
tt0092067,Castle in the Sky,8.0,172798,33
tt0432283,Fantastic Mr. Fox,7.9,249382,34
tt2245084,Big Hero 6,7.8,479228,35
tt5323662,A Silent Voice: The Movie,8.1,90856,36
tt1646971,How to Train Your Dragon 2,7.8,349318,37
tt0108598,Wallace & Gromit: The Wrong Trousers,8.3,55699,38
tt0060345,How the Grinch Stole Christmas!,8.3,55055,39
tt11032374,Demon Slayer the Movie: Mugen Train,8.2,65504,40
tt2166834,Batman: The Dark Knight Returns， Part 2,8.3,54030,41
tt0113568,Ghost in the Shell,7.9,149182,42
tt0808417,Persepolis,8.0,97368,43
tt3915174,Puss in Boots: The Last Wish,7.9,137520,44
tt0398286,Tangled,7.7,471677,45
tt1772341,Wreck-It Ralph,7.7,439322,46
tt0156887,Perfect Blue,8.0,84757,47
tt5104604,Isle of Dogs,7.8,179325,48
tt1490017,The Lego Movie,7.7,372194,49
tt0097814,Kiki's Delivery Service,7.8,153021,50
tt1979376,Toy Story 4,7.7,264079,51
tt0169858,Neon Genesis Evangelion: The End of Evangelion,8.1,59085,52
tt0327597,Coraline,7.7,244739,53
tt2820466,Justice League: The Flashpoint Paradox,8.1,56842,54
tt0059026,A Charlie Brown Christmas,8.3,40825,55
tt0158983,South Park: Bigger， Longer & Uncut,7.7,210212,56
tt0096438,Who Framed Roger Rabbit,7.7,208852,57
tt1569923,Batman: Under the Red Hood,8.0,65314,58
tt1323594,Despicable Me,7.6,563033,59
tt0441773,Kung Fu Panda,7.6,491540,60
tt1865505,Song of the Sea,8.0,60859,61
tt3521164,Moana,7.6,354192,62
tt1185616,Waltz with Bashir,8.0,59147,63
tt3606756,Incredibles 2,7.6,312133,64
tt0120762,Mulan,7.6,300993,65
tt2140203,Wolf Children,8.1,47140,66
tt0097757,The Little Mermaid,7.6,278960,67
tt4302938,Kubo and the Two Strings,7.7,134192,68
tt16492678,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.9,19327,69
tt0029583,Snow White and the Seven Dwarfs,7.6,206891,70
tt0112691,A Close Shave,8.1,42285,71
tt2576852,The Tale of The Princess Kaguya,8.0,50028,72
tt2313197,Batman: The Dark Knight Returns， Part 1,7.9,61388,73
tt0061852,The Jungle Book,7.6,190880,74
tt0268380,Ice Age,7.5,498308,75
tt5613056,Piper,8.3,30763,76
tt0032455,Fantasia,7.7,100186,77
tt2388725,Paperman,8.2,34538,78
tt0876563,Ponyo,7.6,151882,79
tt0104652,Porco Rosso,7.7,94766,80
tt2013293,The Wind Rises,7.7,91008,81
tt0113824,Whisper of the Heart,7.8,67109,82
tt0851578,Paprika,7.7,88316,83
tt3262342,Loving Vincent,7.8,60632,84
tt7979580,The Mitchells vs the Machines,7.6,117228,85
tt2294629,Frozen,7.4,641745,86
tt1488589,Guillermo del Toro's Pinocchio,7.6,100705,87
tt0106364,Batman: Mask of the Phantasm,7.8,53818,88
tt1568921,The Secret World of Arrietty,7.6,97510,89
tt0808506,The Girl Who Leapt Through Time,7.7,68614,90
tt1245104,Presto,8.3,25174,91
tt0032910,Pinocchio,7.5,153419,92
tt0243017,Waking Life,7.7,65687,93
tt5198068,Wolfwalkers,8.0,35523,94
tt0275277,Cowboy Bebop: The Movie,7.8,50841,95
tt1754656,The Little Prince,7.7,64460,96
tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,7.5,140886,97
tt0058536,Rudolph the Red-Nosed Reindeer,8.0,34700,98
tt0070608,Robin Hood,7.5,133132,99
tt0084868,Vincent,8.3,23802,100
tt0248808,For the Birds,8.0,33112,101
tt0286244,The Triplets of Belleville,7.7,55862,102
tt0259534,Ramayana: The Legend of Prince Rama,9.2,11754,103
tt0120917,The Emperor's New Groove,7.4,214147,104
tt0388473,Tokyo Godfathers,7.8,43392,105
tt3689498,Feast,8.2,23623,106
tt12801262,Luca,7.4,175545,107
tt7146812,Onward,7.4,158945,108
tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,8.8,13793,109
tt0107692,Ninja Scroll,7.8,39040,110
tt0298148,Shrek 2,7.3,483431,111
tt2386490,How to Train Your Dragon: The Hidden World,7.4,139480,112
tt1690953,Despicable Me 2,7.3,411845,113
tt0462538,The Simpsons Movie,7.3,339762,114
tt3398268,When Marnie Was There,7.7,43990,115
tt2277860,Finding Dory,7.3,288530,116
tt0121164,Corpse Bride,7.3,285146,117
tt1001526,Megamind,7.3,278285,118
tt0060550,It's the Great Pumpkin， Charlie Brown,8.2,20519,119
tt1425244,Partly Cloudy,8.1,22804,120
tt0119282,Hercules,7.3,242614,121
