tconst,primaryTitle,averageRating,numVotes,ranking
tt0108052,Schindler's List,9.0,1388975,1
tt0099685,Goodfellas,8.7,1195909,2
tt1675434,The Intouchables,8.5,884232,3
tt0253474,The Pianist,8.5,859184,4
tt0086879,Amadeus,8.4,410720,5
tt0112573,Braveheart,8.3,1057827,6
tt0993846,The Wolf of Wall Street,8.2,1469632,7
tt0268978,A Beautiful Mind,8.2,952442,8
tt0056172,Lawrence of Arabia,8.3,301973,9
tt6966692,Green Book,8.2,521961,10
tt0363163,Downfall,8.2,363138,11
tt5074352,Dangal,8.3,198024,12
tt0264464,Catch Me If You Can,8.1,1025701,13
tt2024544,12 Years a Slave,8.1,717342,14
tt0758758,Into the Wild,8.1,636457,15
tt2119532,Hacksaw Ridge,8.1,552508,16
tt0080678,The Elephant Man,8.2,248564,17
tt1979320,Rush,8.1,492400,18
tt1895587,Spotlight,8.1,483491,19
tt1950186,Ford v Ferrari,8.1,422123,20
tt9263550,Rocketry: The Nambi Effect,8.8,53849,21
tt0081398,Raging Bull,8.1,364093,22
tt0395169,Hotel Rwanda,8.1,362503,23
tt8503618,Hamilton,8.4,102307,24
tt10295212,Shershaah,8.3,125079,25
tt1028532,Hachi: A Dog's Tale,8.1,295944,26
tt2084970,The Imitation Game,8.0,790948,27
tt1504320,The King's Speech,8.0,692749,28
tt1424432,Senna,8.5,72885,29
tt0059742,The Sound of Music,8.1,245446,30
tt0454921,The Pursuit of Happyness,8.0,532615,31
tt0107207,In the Name of the Father,8.1,180268,32
tt0072890,Dog Day Afternoon,8.0,264602,33
tt3741834,Lion,8.0,243056,34
tt0083987,Gandhi,8.0,236431,35
tt1220719,Ip Man,8.0,228808,36
tt1727824,Bohemian Rhapsody,7.9,557836,37
tt0064115,Butch Cassidy and the Sundance Kid,8.0,221136,38
tt0790636,Dallas Buyers Club,7.9,501718,39
tt11989890,David Attenborough: A Life on Our Planet,8.9,33305,40
tt0352248,Cinderella Man,8.0,192689,41
tt1285016,The Social Network,7.8,725151,42
tt0070511,Papillon,8.0,134416,43
tt1313104,The Cove,8.4,50481,44
tt2125608,Searching for Sugar Man,8.2,70349,45
tt2356180,Bhaag Milkha Bhaag,8.2,69942,46
tt0056801,8½,8.0,121388,47
tt1535109,Captain Phillips,7.8,474777,48
tt1596363,The Big Short,7.8,448805,49
tt0765429,American Gangster,7.8,437766,50
tt1302006,The Irishman,7.8,405475,51
tt0964517,The Fighter,7.8,377807,52
tt0401383,The Diving Bell and the Butterfly,8.0,108972,53
tt10280296,Sardar Udham,8.4,44314,54
tt1152758,Dear Zachary: A Letter to a Son About His Father,8.5,38586,55
tt0808417,Persepolis,8.0,97266,56
tt0824747,Changeling,7.8,260244,57
tt0358273,Walk the Line,7.8,257888,58
tt0054331,Spartacus,7.9,138801,59
tt0166896,The Straight Story,8.0,93382,60
tt0019254,The Passion of Joan of Arc,8.2,57474,61
tt4846340,Hidden Figures,7.8,241657,62
tt0210945,Remember the Titans,7.8,222953,63
tt1398426,Straight Outta Compton,7.8,209678,64
tt1024648,Argo,7.7,625858,65
tt0369702,The Sea Inside,8.0,83539,66
tt0109707,Ed Wood,7.8,180014,67
tt2980516,The Theory of Everything,7.7,464748,68
tt0140352,The Insider,7.8,175254,69
tt0066206,Patton,7.9,105222,70
