tconst,primaryTitle,averageRating,numVotes,ranking
tt0118799,Life Is Beautiful,8.6,713675,1
tt0088763,Back to the Future,8.5,1245015,2
tt1675434,The Intouchables,8.5,885109,3
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,501801,4
tt0027977,Modern Times,8.5,249290,5
tt1187043,3 Idiots,8.4,412501,6
tt1049413,Up,8.3,1074731,7
tt0114709,Toy Story,8.3,1022991,8
tt0435761,Toy Story 3,8.3,858690,9
tt0211915,Amélie,8.3,771550,10
tt0021749,City Lights,8.5,189170,11
tt0032553,The Great Dictator,8.4,229456,12
tt0993846,The Wolf of Wall Street,8.2,1471864,13
tt0120382,The Truman Show,8.2,1122799,14
tt0266543,Finding Nemo,8.2,1070701,15
tt0208092,Snatch,8.2,876818,16
tt0070735,The Sting,8.3,270336,17
tt0071853,Monty Python and the Holy Grail,8.2,553459,18
tt0045152,Singin' in the Rain,8.3,249886,19
tt6966692,Green Book,8.2,522902,20
tt2592910,CM101MMXI Fundamentals,9.1,46748,21
tt0252487,The Chaos Class,9.2,41840,22
tt0053604,The Apartment,8.3,187324,23
tt8110330,Dil Bechara,8.4,132869,24
tt0198781,Monsters， Inc.,8.1,936267,25
tt2278388,The Grand Budapest Hotel,8.1,843274,26
tt0118715,The Big Lebowski,8.1,829811,27
tt0382932,Ratatouille,8.1,771703,28
tt2096673,Inside Out,8.1,740838,29
tt0053291,Some Like It Hot,8.2,274053,30
tt0120735,Lock， Stock and Two Smoking Barrels,8.1,596864,31
tt5027774,Three Billboards Outside Ebbing， Missouri,8.1,528296,32
tt0097165,Dead Poets Society,8.1,512709,33
tt0096283,My Neighbor Totoro,8.1,354822,34
tt2015381,Guardians of the Galaxy,8.0,1225854,35
tt0012349,The Kid,8.3,129789,36
tt1431045,Deadpool,8.0,1072847,37
tt6791350,Guardians of the Galaxy Vol. 3,8.2,180058,38
tt4729430,Klaus,8.2,167491,39
tt0107048,Groundhog Day,8.0,653531,40
tt3783958,La La Land,8.0,618994,41
tt2948356,Zootopia,8.0,519065,42
tt0103639,Aladdin,8.0,439946,43
tt0093779,The Princess Bride,8.0,437252,44
tt0079470,Life of Brian,8.0,410175,45
tt3011894,Wild Tales,8.1,206246,46
tt2338151,PK,8.1,193758,47
tt2948372,Soul,8.0,348428,48
tt0978762,Mary and Max,8.1,181341,49
tt0061722,The Graduate,8.0,280887,50
tt0075686,Annie Hall,8.0,270854,51
tt3501632,Thor: Ragnarok,7.9,780267,52
tt8946378,Knives Out,7.9,730684,53
tt0126029,Shrek,7.9,702725,54
tt0120363,Toy Story 2,7.9,597957,55
tt0365748,Shaun of the Dead,7.9,573211,56
tt14544192,Inside,8.6,51654,57
tt0780536,In Bruges,7.9,446794,58
tt2584384,Jojo Rabbit,7.9,412780,59
tt1954470,Gangs of Wasseypur,8.2,99664,60
tt0405508,Rang De Basanti,8.1,120651,61
tt0031679,Mr. Smith Goes to Washington,8.1,117932,62
tt0181875,Almost Famous,7.9,284570,63
tt0072431,Young Frankenstein,8.0,163358,64
tt0015864,The Gold Rush,8.1,114291,65
tt0432283,Fantastic Mr. Fox,7.9,249164,66
tt0025316,It Happened One Night,8.1,107743,67
tt1655442,The Artist,7.9,245157,68
tt10366460,CODA,8.0,147614,69
tt1562872,Zindagi Na Milegi Dobara,8.2,81778,70
tt0046250,Roman Holiday,8.0,142843,71
tt0096874,Back to the Future Part II,7.8,550524,72
tt7466810,777 Charlie,8.8,35305,73
tt0425112,Hot Fuzz,7.8,519032,74
tt0449059,Little Miss Sunshine,7.8,497386,75
tt0080455,The Blues Brothers,7.9,206510,76
tt6710474,Everything Everywhere All at Once,7.8,458007,77
tt1596363,The Big Short,7.8,449608,78
tt0087332,Ghostbusters,7.8,427210,79
tt0088847,The Breakfast Club,7.8,416748,80
tt0017925,The General,8.1,94244,81
tt0091042,Ferris Bueller's Day Off,7.8,371128,82
tt2194499,About Time,7.8,366120,83
tt3863552,Bajrangi Bhaijaan,8.1,92351,84
tt8367814,The Gentlemen,7.8,363084,85
tt1748122,Moonrise Kingdom,7.8,358570,86
tt9052870,Chhichhore,8.3,58249,87
tt0085334,A Christmas Story,7.9,161079,88
tt0374887,Munna Bhai M.B.B.S.,8.1,84829,89
tt2082197,Barfi!,8.1,84261,90
tt0097216,Do the Right Thing,8.0,107051,91
tt1119646,The Hangover,7.7,811009,92
tt0108598,Wallace & Gromit: The Wrong Trousers,8.3,55689,93
tt1045658,Silver Linings Playbook,7.7,723307,94
tt0088258,This Is Spinal Tap,7.9,143193,95
tt0060345,How the Grinch Stole Christmas!,8.3,55040,96
tt2802144,Kingsman: The Secret Service,7.7,689535,97
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),7.7,647235,98
tt3553976,Captain Fantastic,7.8,226176,99
tt0099785,Home Alone,7.7,606225,100
tt3915174,Puss in Boots: The Last Wish,7.9,137076,101
tt1022603,500 Days of Summer,7.7,532762,102
tt0398286,Tangled,7.7,471513,103
tt0335266,Lost in Translation,7.7,468649,104
tt0292490,Dil Chahta Hai,8.1,73969,105
tt1772341,Wreck-It Ralph,7.7,439174,106
tt1605783,Midnight in Paris,7.7,436041,107
tt0109424,Chungking Express,8.0,88569,108
tt0109707,Ed Wood,7.8,180089,109
tt5104604,Isle of Dogs,7.8,179184,110
tt0058331,Mary Poppins,7.8,179019,111
tt0242519,Hera Pheri,8.1,69648,112
tt0120601,Being John Malkovich,7.7,344755,113
tt0190590,O Brother， Where Art Thou?,7.7,320779,114
tt3322420,Queen,8.1,67160,115
tt0119822,As Good as It Gets,7.7,308399,116
tt0089218,The Goonies,7.7,286130,117
tt1979376,Toy Story 4,7.7,263927,118
tt0079522,Manhattan,7.8,143323,119
tt0080339,Airplane!,7.7,249597,120
tt0015324,Sherlock Jr.,8.2,52821,121
tt0000417,A Trip to the Moon,8.2,52676,122
tt0053779,La Dolce Vita,8.0,75746,123
tt3544112,Sing Street,7.9,97546,124
tt7131622,Once Upon a Time in Hollywood,7.6,782804,125
tt0078841,Being There,8.0,75051,126
tt0098635,When Harry Met Sally...,7.7,229313,127
tt4698684,Hunt for the Wilderpeople,7.8,135645,128
tt0109445,Clerks,7.7,227715,129
tt3896198,Guardians of the Galaxy Vol. 2,7.6,720850,130
tt2283748,OMG: Oh My God!,8.1,60906,131
tt0114787,Underground,8.1,59736,132
tt5463162,Deadpool 2,7.6,608739,133
tt11813216,The Banshees of Inisherin,7.7,214037,134
tt0829482,Superbad,7.6,602604,135
tt1156398,Zombieland,7.6,597415,136
tt0158983,South Park: Bigger， Longer & Uncut,7.7,210180,137
tt1250777,Kick-Ass,7.6,576706,138
tt0096438,Who Framed Roger Rabbit,7.7,208780,139
tt1323594,Despicable Me,7.6,562913,140
tt0314331,Love Actually,7.6,504104,141
tt0252488,The Chaos Class Failed the Class,8.9,24006,142
tt0268126,Adaptation.,7.7,197584,143
tt0253828,Tosun Pasa,8.9,23975,144
tt0073707,Sholay,8.1,57233,145
tt0092991,Evil Dead II,7.7,174436,146
