tconst,primaryTitle,averageRating,numVotes,ranking
tt0068646,The Godfather,9.2,1916322,1
tt0468569,The Dark Knight,9.0,2727169,2
tt0071562,The Godfather Part II,9.0,1304714,3
tt0110912,Pulp Fiction,8.9,2115369,4
tt0050083,12 Angry Men,9.0,815920,5
tt0099685,Goodfellas,8.7,1195426,6
tt0114369,Se7en,8.6,1702971,7
tt0102926,The Silence of the Lambs,8.6,1471469,8
tt0120689,The Green Mile,8.6,1339235,9
tt0317248,City of God,8.6,772579,10
tt0407887,The Departed,8.5,1359939,11
tt0110413,Léon: The Professional,8.5,1192539,12
tt0120586,American History X,8.5,1145539,13
tt0114814,The Usual Suspects,8.5,1106555,14
tt7286456,Joker,8.4,1361323,15
tt15097216,Jai Bhim,8.8,207306,16
tt0105236,Reservoir Dogs,8.3,1045404,17
tt0086250,Scarface,8.3,868719,18
tt0066921,A Clockwork Orange,8.3,849698,19
tt0113277,Heat,8.3,679137,20
tt0372784,Batman Begins,8.2,1507281,21
tt0993846,The Wolf of Wall Street,8.2,1468835,22
tt0266697,Kill Bill: Vol. 1,8.2,1143366,23
tt0477348,No Country for Old Men,8.2,1004357,24
tt0208092,Snatch,8.2,875931,25
tt0075314,Taxi Driver,8.2,867129,26
tt0119488,L.A. Confidential,8.2,594224,27
tt0087843,Once Upon a Time in America,8.3,361265,28
tt0112641,Casino,8.2,536328,29
tt0264464,Catch Me If You Can,8.1,1025144,30
tt0056592,To Kill a Mockingbird,8.3,322832,31
tt2278388,The Grand Budapest Hotel,8.1,841495,32
tt0118715,The Big Lebowski,8.1,828877,33
tt1392214,Prisoners,8.1,749653,34
tt0116282,Fargo,8.1,694112,35
tt0070735,The Sting,8.3,270063,36
tt0120735,"Lock, Stock and Two Smoking Barrels",8.1,596315,37
tt5027774,"Three Billboards Outside Ebbing, Missouri",8.1,527511,38
tt1895587,Spotlight,8.1,483329,39
tt1010048,Slumdog Millionaire,8.0,859590,40
tt0401792,Sin City,8.0,780002,41
tt0378194,Kill Bill: Vol. 2,8.0,775511,42
tt8946378,Knives Out,7.9,729665,43
tt0022100,M,8.3,162019,44
tt0036775,Double Indemnity,8.3,161139,45
tt0051201,Witness for the Prosecution,8.4,129933,46
tt0046912,Dial M for Murder,8.2,181046,47
tt0327056,Mystic River,7.9,468485,48
tt0042876,Rashomon,8.2,173116,49
tt0780536,In Bruges,7.9,446343,50
tt10698680,K.G.F: Chapter 2,8.3,140115,51
tt0072890,Dog Day Afternoon,8.0,264498,52
tt1877830,The Batman,7.8,704402,53
tt0353969,Memories of Murder,8.1,196824,54
tt3460252,The Hateful Eight,7.8,625393,55
tt0936501,Taken,7.8,615756,56
tt2872718,Nightcrawler,7.8,571537,57
tt0061512,Cool Hand Luke,8.1,182133,58
tt0113247,La haine,8.1,182088,59
tt0107207,In the Name of the Father,8.1,180214,60
tt0064115,Butch Cassidy and the Sundance Kid,8.0,221079,61
tt1568346,The Girl with the Dragon Tattoo,7.8,475321,62
tt1535109,Captain Phillips,7.8,474601,63
tt0765429,American Gangster,7.8,437633,64
tt1302006,The Irishman,7.8,405298,65
tt0047296,On the Waterfront,8.1,158823,66
tt8367814,The Gentlemen,7.8,362305,67
tt4857264,The Invisible Guest,8.0,183413,68
tt0108399,True Romance,7.9,233762,69
tt0240772,Ocean's Eleven,7.7,593019,70
tt0443706,Zodiac,7.7,563411,71
tt0094226,The Untouchables,7.8,319341,72
tt0106519,Carlito's Way,7.9,224875,73
tt0106977,The Fugitive,7.8,305211,74
tt10366206,John Wick: Chapter 4,7.9,214589,75
tt0033870,The Maltese Falcon,8.0,162564,76
tt0139654,Training Day,7.7,451412,77
tt0375679,Crash,7.7,442772,78
tt0276919,Dogville,8.0,153399,79
tt0824747,Changeling,7.8,260209,80
tt0328107,Man on Fire,7.7,372746,81
tt0053198,The 400 Blows,8.1,122460,82
tt0310793,Bowling for Columbine,8.0,146548,83
tt0405508,Rang De Basanti,8.1,120577,84
tt0144084,American Psycho,7.6,659289,85
tt1954470,Gangs of Wasseypur,8.2,99540,86
tt0381849,3:10 to Yuma,7.7,321101,87
tt0190590,"O Brother, Where Art Thou?",7.7,320489,88
tt1250777,Kick-Ass,7.6,576166,89
tt0425210,Lucky Number Slevin,7.7,319400,90
tt0119008,Donnie Brasco,7.7,317590,91
tt3890160,Baby Driver,7.6,569087,92
tt1132620,The Girl with the Dragon Tattoo,7.8,219786,93
tt0181689,Minority Report,7.6,566243,94
tt0070511,Papillon,8.0,134391,95
tt8108198,Andhadhun,8.2,97466,96
tt0338564,Infernal Affairs,8.0,127848,97
tt0257044,Road to Perdition,7.7,276386,98
tt3397884,Sicario,7.6,447499,99
tt7838252,K.G.F: Chapter 1,8.2,91941,100
tt5362988,Wind River,7.7,263586,101
tt0113568,Ghost in the Shell,7.9,148916,102
tt0040746,Rope,7.9,148130,103
tt0099674,The Godfather Part III,7.6,408617,104
tt4430212,Drishyam,8.2,88934,105
tt0454848,Inside Man,7.6,384586,106
tt0117381,Primal Fear,7.7,233132,107
tt0044079,Strangers on a Train,7.9,137113,108
tt0399295,Lord of War,7.6,326958,109
tt0052311,Touch of Evil,8.0,107082,110
tt0090756,Blue Velvet,7.7,206718,111
tt2265171,The Raid 2,7.9,127426,112
tt0861739,Elite Squad,8.0,106907,113
tt0130827,Run Lola Run,7.7,202580,114
tt0452623,Gone Baby Gone,7.6,280806,115
tt0106489,A Bronx Tale,7.8,149394,116
tt0093870,RoboCop,7.6,268278,117
tt0217505,Gangs of New York,7.5,455013,118
tt0101507,Boyz n the Hood,7.8,146895,119
tt0093409,Lethal Weapon,7.6,266890,120
tt1645089,Inside Job,8.2,77118,121
tt1855199,End of Watch,7.6,257259,122
tt0369339,Collateral,7.5,416865,123
tt0765443,Eastern Promises,7.6,251285,124
tt0840361,The Town,7.5,402322,125
tt0315733,21 Grams,7.6,241372,126
tt1588170,I Saw the Devil,7.8,137664,127
tt0168629,Dancer in the Dark,7.9,113209,128
tt2582782,Hell or High Water,7.6,239750,129
tt0119396,Jackie Brown,7.5,359512,130
tt0048424,The Night of the Hunter,8.0,92616,131
tt9179430,Vikram,8.3,64198,132
tt1280558,A Wednesday,8.1,80314,133
tt0066999,Dirty Harry,7.7,162153,134
