tconst,primaryTitle,averageRating,numVotes,ranking
tt16747572,The Silence of Swastika,9.5,10416,1
tt2592910,CM101MMXI Fundamentals,9.1,46731,2
tt1578118,C.M.Y.L.M.Z.,9.2,9722,3
tt11989890,David Attenborough: A Life on Our Planet,8.9,33305,4
tt23644208,Sahebs Who Never Left - Part 1: The Origins,9.6,3986,5
tt5275892,O.J.: Made in America,8.9,20621,6
tt0110758,Pink Floyd: P. U. L. S. E. Live at Earls Court,9.2,5149,7
tt0382568,Bir Tat Bir Doku,9.0,7357,8
tt6015100,Vikings Season 3: Heavy Is the Head -the Politics of King Ragnar's Rule,9.0,6625,9
tt0048434,Night and Fog,8.6,20526,10
tt1424432,Senna,8.5,72885,11
tt0358456,Earthlings,8.6,19414,12
tt0103767,Baraka,8.5,39949,13
tt0088178,Stop Making Sense,8.6,16187,14
tt1152758,Dear Zachary: A Letter to a Son About His Father,8.5,38586,15
tt0090015,Shoah,8.7,9921,16
tt1014762,Home,8.5,22778,17
tt0365467,Making 'The Matrix',8.6,10729,18
tt1313104,The Cove,8.4,50481,19
tt5773402,Dominion,9.0,4010,20
tt0366707,Led Zeppelin,9.2,3016,21
tt0770802,Samsara,8.4,37062,22
tt0069090,Pink Floyd: Live at Pompeii,8.6,9424,23
tt3327994,Human,8.6,8609,24
tt0019760,Man with a Movie Camera,8.4,26662,25
tt9617456,For Sama,8.5,12243,26
tt3674140,The Salt of the Earth,8.4,22591,27
tt0184424,Eddie Izzard: Dress to Kill,8.6,7420,28
tt9098872,The Rescue,8.4,18364,29
tt10422658,25 Litre,9.0,3284,30
tt0271061,Metallica: S&M,8.8,4397,31
tt5732482,Hans Zimmer Live in Prague,9.1,2834,32
tt20256528,What Is a Woman?,8.3,38305,33
tt4573394,Endless Corridor,8.3,38261,34
tt0312318,9/11,8.5,8441,35
tt0158874,Queen Live at Wembley '86,9.1,2678,36
tt4640206,Sachin - A Billion Dreams,8.5,8227,37
tt0110057,Hoop Dreams,8.3,27222,38
tt7681902,Won't You Be My Neighbor?,8.3,26441,39
tt6679360,On vam ne Dimon,8.8,3891,40
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,8.3,19917,41
tt21288778,Gandhada Gudi,9.0,2803,42
tt1645089,Inside Job,8.2,77133,43
tt2125608,Searching for Sugar Man,8.2,70349,44
tt1510985,Never Sleep Again: The Elm Street Legacy,8.6,5014,45
tt0963207,George Carlin... It's Bad for Ya!,8.5,6296,46
tt0097564,Isle of Flowers,8.5,6266,47
tt0085809,Koyaanisqatsi,8.2,39920,48
tt2375605,The Act of Killing,8.2,39482,49
tt5895028,13th,8.2,36609,50
tt7905466,They Shall Not Grow Old,8.2,36480,51
tt3521134,The Look of Silence,8.3,13432,52
tt0246643,George Carlin: Jammin' in New York,8.7,3879,53
tt1094594,Sigur Rós: Heima,8.4,8276,54
tt5278630,John Wick: Don't F*#% with John Wick,8.3,12978,55
tt22010428,BTS: Permission to Dance on Stage - LA,8.5,5813,56
tt5929776,Before the Flood,8.2,28351,57
tt1601179,Bir Tat Bir Doku: Millennium,8.7,3520,58
tt3970482,Roger Waters: The Wall,8.5,5240,59
tt1332128,Zeitgeist: Addendum,8.2,18533,60
tt0117293,Paradise Lost: The Child Murders at Robin Hood Hills,8.2,17412,61
tt0902306,Madonna: The Confessions Tour Live from London,9.1,2013,62
tt0100332,Paris Is Burning,8.2,16616,63
tt0280898,Iron Maiden: Rock in Rio,9.0,2225,64
tt7775622,Free Solo,8.1,72513,65
tt0437806,Alone in the Wilderness,8.6,3880,66
tt2545118,Blackfish,8.1,69914,67
tt0330829,Robin Williams Live on Broadway,8.4,6171,68
tt12888462,My Octopus Teacher,8.1,58761,69
tt9426852,Taylor Swift: Reputation Stadium Tour,8.4,6045,70
tt1166827,Zeitgeist,8.1,49962,71
tt13577982,Secrets of Sinauli,9.0,2154,72
tt0246645,George Carlin: You Are All Diseased,8.5,4552,73
tt6321972,The Flip Side: A Truth That Could Not Reach You,9.2,1756,74
tt1346985,The Making of Dr. Horrible's Sing-Along Blog,8.7,3103,75
tt8465676,Hannah Gadsby: Nanette,8.2,13042,76
tt14152756,Seaspiracy,8.1,32697,77
tt3455224,Virunga,8.2,11909,78
tt22853444,Behind Closed Doors,9.5,1347,79
tt0246641,George Carlin: Back in Town,8.6,3430,80
tt8760684,Apollo 11,8.1,26408,81
tt3302820,Cowspiracy: The Sustainability Secret,8.1,25925,82
tt0317910,The Fog of War,8.1,24445,83
tt9151704,Burn the Stage: The Movie,8.5,4050,84
tt0207697,Rammstein: Live in Berlin,9.1,1783,85
tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,8.1,22336,86
tt0426499,Iron Maiden: Live After Death,9.2,1614,87
tt9708358,Uncle Tom,8.3,6569,88
tt7286916,The Dawn Wall,8.1,20532,89
tt0346952,An Evening with Kevin Smith,8.3,6337,90
tt0077838,The Last Waltz,8.1,18837,91
tt1781069,Zeitgeist: Moving Forward,8.1,18599,92
tt0066580,Woodstock,8.1,17965,93
tt18687124,BTS Permission to Dance on Stage - Seoul: Live Viewing,8.1,17306,94
tt0285063,Elvis: The Comeback Special,8.9,2063,95
tt0310793,Bowling for Columbine,8.0,146573,96
tt2414166,Led Zeppelin: Celebration Day,8.7,2630,97
tt0912593,No End in Sight,8.2,8533,98
tt19853258,Still: A Michael J. Fox Movie,8.2,8497,99
tt0386032,Sicko,8.0,76175,100
tt1363109,Journey to the Edge of the Universe,8.4,4320,101
tt2473476,Be Here Now,8.5,3490,102
tt9448868,BTS World Tour: Love Yourself in Seoul,8.9,1986,103
tt1618448,Racing Extinction,8.2,8054,104
tt1417592,Pearl Jam Twenty,8.2,8047,105
tt11337862,Friends: The Reunion,8.0,61918,106
tt5278698,John Wick: The Assassin's Code,8.4,4282,107
tt1185616,Waltz with Bashir,8.0,59100,108
tt1361558,Iron Maiden: Flight 666,8.3,5552,109
tt4044364,Citizenfour,8.0,56826,110
tt1646967,The Art of Flight,8.2,7911,111
tt1039647,The Union: The Business Behind Getting High,8.2,7809,112
tt10706602,Collective,8.1,12897,113
tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,8.0,44141,114
tt4257858,Going Clear: Scientology & the Prison of Belief,8.0,40094,115
tt0379557,Touching the Void,8.0,37075,116
tt0923752,The King of Kong: A Fistful of Quarters,8.0,37071,117
tt1113829,George Harrison: Living in the Material World,8.1,12125,118
tt8618654,Kiss the Ground,8.2,7246,119
tt13524234,Folklore: The Long Pond Studio Sessions,8.4,3984,120
tt6156350,HyperNormalisation,8.2,7017,121
tt0152183,Bill Hicks: Revelations,8.5,3193,122
tt13243898,The Mole: Undercover in North Korea,8.3,4939,123
tt6794424,LA 92,8.2,6686,124
tt1935156,Jodorowsky's Dune,8.0,26081,125
tt13875460,A Palace for Putin. The Story of the Biggest Bribe,8.7,2293,126
tt0096257,The Thin Blue Line,8.0,25184,127
tt1545103,Rush: Beyond the Lighted Stage,8.3,4730,128
tt1853563,Foo Fighters: Back and Forth,8.2,6394,129
tt0088275,The Times of Harvey Milk,8.2,6364,130
tt3270538,Requiem for the American Dream,8.1,9697,131
tt0074605,Harlan County U.S.A.,8.2,6217,132
tt0379225,The Corporation,8.0,21528,133
tt0109508,Crumb,8.0,20966,134
tt0071604,Hearts and Minds,8.2,5915,135
tt8991268,Honeyland,8.0,18640,136
tt0118147,When We Were Kings,8.0,18581,137
tt8637504,Disclosure,8.2,5836,138
tt3268458,The Internet's Own Boy: The Story of Aaron Swartz,8.0,17749,139
tt26675252,All of Those Voices,8.9,1682,140
tt7149678,Super Bowl LI Halftime Show Starring Lady Gaga,8.8,1865,141
tt6963278,Sense8: Creating the World,8.5,2759,142
tt3031654,Ennio,8.3,4099,143
tt21229004,Mavi Otobüs,8.5,2747,144
tt0287594,Nine Inch Nails Live: And All That Could Have Been,9.2,1274,145
tt5777628,One More Time with Feeling,8.2,5337,146
tt4145178,Listen to Me Marlon,8.1,7757,147
tt7320560,Cuba and the Cameraman,8.2,5249,148
tt11916302,Derek DelGaudio's In & Of Itself,8.2,5228,149
tt12865416,30 Years and 15 Minutes,8.5,2677,150
tt0202456,"Metallica: Live Shit - Binge & Purge, San Diego",8.9,1626,151
tt1587707,Exit Through the Gift Shop,7.9,67577,152
tt0416716,Empire of Dreams: The Story of the 'Star Wars' Trilogy,8.2,5084,153
tt11422728,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8.0,12914,154
tt0148668,Bill Hicks: Relentless,8.5,2610,155
tt2499076,The Crash Reel,8.2,4957,156
tt6333060,Icarus,7.9,52215,157
tt11874226,David Byrne's American Utopia,8.2,4922,158
tt0478209,Metal: A Headbanger's Journey,8.0,12293,159
tt0484855,George Carlin: Life Is Worth Losing,8.2,4856,160
tt0278736,Stanley Kubrick: A Life in Pictures,8.0,11994,161
tt2396421,Crystal Lake Memories: The Complete History of Friday the 13th,8.5,2556,162
tt3686998,The Red Pill,8.0,11779,163
tt0287460,George Carlin: Complaints & Grievances,8.3,3692,164
tt1606829,The Other Dream Team,8.3,3650,165
tt0302022,We Stand Alone Together,8.6,2170,166
tt0892375,U2,8.4,2913,167
tt14372240,The Year Earth Changed,8.2,4551,168
tt2028530,Paradise Lost 3: Purgatory,8.0,10504,169
