tconst,primaryTitle,averageRating,numVotes,ranking
tt0111161,The Shawshank Redemption,9.3,2754334,1
tt0068646,The Godfather,9.2,1916322,2
tt0468569,The Dark Knight,9.0,2727169,3
tt0167260,The Lord of the Rings: The Return of the King,9.0,1891960,4
tt0108052,Schindler's List,9.0,1388581,5
tt0071562,The Godfather Part II,9.0,1304714,6
tt0050083,12 Angry Men,9.0,815920,7
tt0110912,Pulp Fiction,8.9,2115369,8
tt0137523,Fight Club,8.8,2193151,9
tt0109830,Forrest Gump,8.8,2142554,10
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,1920498,11
tt0167261,The Lord of the Rings: The Two Towers,8.8,1707502,12
tt0816692,Interstellar,8.7,1920475,13
tt0099685,Goodfellas,8.7,1195426,14
tt0073486,One Flew Over the Cuckoo's Nest,8.7,1030990,15
tt10811166,The Kashmir Files,8.7,569591,16
tt0114369,Se7en,8.6,1702971,17
tt0102926,The Silence of the Lambs,8.6,1471469,18
tt0120815,Saving Private Ryan,8.6,1427185,19
tt0120689,The Green Mile,8.6,1339235,20
tt0317248,City of God,8.6,772579,21
tt0118799,Life Is Beautiful,8.6,712823,22
tt15097216,Jai Bhim,8.8,207306,23
tt0038650,It's a Wonderful Life,8.6,473193,24
tt0172495,Gladiator,8.5,1540010,25
tt0482571,The Prestige,8.5,1368193,26
tt0407887,The Departed,8.5,1359939,27
tt0110413,Léon: The Professional,8.5,1192539,28
tt0120586,American History X,8.5,1145539,29
tt0114814,The Usual Suspects,8.5,1106555,30
tt0110357,The Lion King,8.5,1088748,31
tt2582802,Whiplash,8.5,908954,32
tt1675434,The Intouchables,8.5,883972,33
tt6751668,Parasite,8.5,859935,34
tt0253474,The Pianist,8.5,858866,35
tt0047478,Seven Samurai,8.6,353616,36
tt0034583,Casablanca,8.5,584838,37
tt1345836,The Dark Knight Rises,8.4,1746332,38
tt1853728,Django Unchained,8.4,1604532,39
tt7286456,Joker,8.4,1361323,40
tt4154796,Avengers: Endgame,8.4,1186082,41
tt0081505,The Shining,8.4,1052183,42
tt0078788,Apocalypse Now,8.4,683658,43
tt0364569,Oldboy,8.4,598154,44
tt0095327,Grave of the Fireflies,8.5,288511,45
tt0095765,Cinema Paradiso,8.5,269186,46
tt0361748,Inglourious Basterds,8.3,1496483,47
tt0027977,Modern Times,8.5,248931,48
tt1187043,3 Idiots,8.4,411909,49
tt0086879,Amadeus,8.4,410583,50
tt0169547,American Beauty,8.3,1175426,51
tt0405094,The Lives of Others,8.4,397329,52
tt0112573,Braveheart,8.3,1057604,53
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,1033583,54
tt0119217,Good Will Hunting,8.3,1006819,55
tt0086250,Scarface,8.3,868719,56
tt0180093,Requiem for a Dream,8.3,863507,57
tt0093058,Full Metal Jacket,8.3,760568,58
tt0113277,Heat,8.3,679137,59
tt10189514,Soorarai Pottru,8.7,119691,60
tt1745960,Top Gun: Maverick,8.3,597811,61
tt5311514,Your Name.,8.4,288779,62
tt0021749,City Lights,8.5,188944,63
tt0082096,Das Boot,8.4,256098,64
tt0033467,Citizen Kane,8.3,451505,65
tt0372784,Batman Begins,8.2,1507281,66
tt0032553,The Great Dictator,8.4,229203,67
tt0043014,Sunset Blvd.,8.4,227473,68
tt0266697,Kill Bill: Vol. 1,8.2,1143366,69
