tconst,primaryTitle,averageRating,numVotes,ranking
tt0245429,Spirited Away,8.6,795146,1
tt0038650,It's a Wonderful Life,8.6,473914,2
tt0910970,WALL·E,8.4,1148757,3
tt0347149,Howl's Moving Castle,8.2,415110,4
tt0986264,Like Stars on Earth,8.3,198840,5
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,904830,6
tt0012349,The Kid,8.3,129848,7
tt0032138,The Wizard of Oz,8.1,412019,8
tt0096283,My Neighbor Totoro,8.1,354987,9
tt1028532,Hachi: A Dog's Tale,8.1,296408,10
tt0059742,The Sound of Music,8.1,245848,11
tt0101414,Beauty and the Beast,8.0,466172,12
tt0093779,The Princess Bride,8.0,437341,13
tt0304141,Harry Potter and the Prisoner of Azkaban,7.9,658584,14
tt0476735,My Father and My Son,8.2,88727,15
tt0083866,E.T. the Extra-Terrestrial,7.9,422263,16
tt0092067,Castle in the Sky,8.0,172798,17
tt0107688,The Nightmare Before Christmas,7.9,352825,18
tt0118849,Children of Heaven,8.2,77132,19
tt0060345,How the Grinch Stole Christmas!,8.3,55055,20
tt0871510,Let's Go! India,8.1,82441,21
tt2543472,Wonder,7.9,171175,22
tt1748122,Moonrise Kingdom,7.8,358676,23
tt0085334,A Christmas Story,7.9,161096,24
tt0067992,Willy Wonka & the Chocolate Factory,7.8,210219,25
tt0330373,Harry Potter and the Goblet of Fire,7.7,649790,26
tt0099785,Home Alone,7.7,606377,27
tt0926084,Harry Potter and the Deathly Hallows: Part 1,7.7,570491,28
tt0058331,Mary Poppins,7.8,179050,29
tt0097814,Kiki's Delivery Service,7.8,153021,30
tt0089218,The Goonies,7.7,286219,31
tt0327597,Coraline,7.7,244739,32
tt0308644,Finding Neverland,7.7,209231,33
tt0241527,Harry Potter and the Sorcerer's Stone,7.6,813552,34
tt0253779,Süt Kardesler,8.8,20623,35
tt0049833,The Ten Commandments,7.9,74580,36
tt2140203,Wolf Children,8.1,47140,37
tt0417741,Harry Potter and the Half-Blood Prince,7.6,566826,38
tt0058385,My Fair Lady,7.8,98675,39
tt0108037,The Sandlot,7.8,97189,40
tt0132477,October Sky,7.8,94819,41
tt4468740,Paddington 2,7.8,85588,42
tt0097757,The Little Mermaid,7.6,278960,43
tt0486655,Stardust,7.6,277965,44
tt2576852,The Tale of The Princess Kaguya,8.0,50028,45
tt5613056,Piper,8.3,30763,46
tt2388725,Paperman,8.2,34538,47
tt0029583,Snow White and the Seven Dwarfs,7.6,206891,48
tt0067093,Fiddler on the Roof,8.0,45682,49
tt16116174,Harry Potter 20th Anniversary: Return to Hogwarts,8.0,44230,50
tt0032455,Fantasia,7.7,100186,51
