tconst,primaryTitle,averageRating,numVotes,ranking
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,1324654,1
tt0076759,Star Wars: Episode IV - A New Hope,8.6,1396923,2
tt0120689,The Green Mile,8.6,1339235,3
tt0038650,It's a Wonderful Life,8.6,473193,4
tt0086190,Star Wars: Episode VI - Return of the Jedi,8.3,1080206,5
tt10872600,Spider-Man: No Way Home,8.2,804340,6
tt0457430,Pan's Labyrinth,8.2,682107,7
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1156692,8
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,903188,9
tt0071853,Monty Python and the Holy Grail,8.2,552861,10
tt5311514,Your Name.,8.4,288779,11
tt0499549,Avatar,7.9,1346224,12
tt0107048,Groundhog Day,8.0,652574,13
tt0032138,The Wizard of Oz,8.1,411379,14
tt0101414,Beauty and the Beast,8.0,465635,15
tt0319061,Big Fish,8.0,448806,16
tt0304141,Harry Potter and the Prisoner of Azkaban,7.9,657509,17
tt0454876,Life of Pi,7.9,646552,18
tt12361974,Zack Snyder's Justice League,8.0,414879,19
tt0099487,Edward Scissorhands,7.9,503975,20
tt0903624,The Hobbit: An Unexpected Journey,7.8,845321,21
tt1170358,The Hobbit: The Desolation of Smaug,7.8,680208,22
tt0421715,The Curious Case of Benjamin Button,7.8,669656,23
tt0107688,The Nightmare Before Christmas,7.9,352403,24
tt0087332,Ghostbusters,7.8,426715,25
tt0330373,Harry Potter and the Goblet of Fire,7.7,648753,26
tt0050976,The Seventh Seal,8.1,190306,27
tt0926084,Harry Potter and the Deathly Hallows: Part 1,7.7,569504,28
tt2194499,About Time,7.8,365577,29
tt0121766,Star Wars: Episode III - Revenge of the Sith,7.6,813796,30
tt0241527,Harry Potter and the Sorcerer's Stone,7.6,812009,31
tt1605783,Midnight in Paris,7.7,435612,32
tt1139797,Let the Right One In,7.9,221657,33
tt0120601,Being John Malkovich,7.7,344472,34
tt0756683,The Man from Earth,7.9,192923,35
tt1211837,Doctor Strange,7.5,768246,36
tt1630029,Avatar: The Way of Water,7.6,409879,37
tt0067992,Willy Wonka & the Chocolate Factory,7.8,209876,38
tt0485947,Mr. Nobody,7.7,239417,39
tt0058331,Mary Poppins,7.8,178835,40
tt0446029,Scott Pilgrim vs. the World,7.5,442746,41
tt0486655,Stardust,7.6,277741,42
tt0158983,"South Park: Bigger, Longer & Uncut",7.7,210013,43
tt0443543,The Illusionist,7.5,380734,44
tt0451279,Wonder Woman,7.4,676162,45
tt0295297,Harry Potter and the Chamber of Secrets,7.4,658504,46
tt0097814,Kiki's Delivery Service,7.8,152625,47
tt0110148,Interview with the Vampire: The Vampire Chronicles,7.5,333202,48
tt2310332,The Hobbit: The Battle of the Five Armies,7.4,548846,49
tt0094721,Beetlejuice,7.5,316929,50
tt0118929,Dark City,7.6,205314,51
tt9376612,Shang-Chi and the Legend of the Ten Rings,7.4,405028,52
tt0396171,Perfume: The Story of a Murderer,7.5,258197,53
tt0383574,Pirates of the Caribbean: Dead Man's Chest,7.3,738413,54
tt0373074,Kung Fu Hustle,7.7,144928,55
