tconst,primaryTitle,averageRating,numVotes,ranking
tt0043014,Sunset Blvd.,8.4,227819,1
tt0036775,Double Indemnity,8.3,161345,2
tt0041959,The Third Man,8.1,175884,3
tt0032976,Rebecca,8.1,141281,4
tt0033870,The Maltese Falcon,8.0,162760,5
tt0052311,Touch of Evil,8.0,107163,6
tt0048424,The Night of the Hunter,8.0,92737,7
tt0044079,Strangers on a Train,7.9,137238,8
tt0038787,Notorious,7.9,103957,9
tt0049406,The Killing,7.9,93068,10
tt0038355,The Big Sleep,7.9,88177,11
tt0043338,Ace in the Hole,8.1,37631,12
tt0036342,Shadow of a Doubt,7.8,67946,13
tt0037008,Laura,7.9,49262,14
tt0039689,Out of the Past,8.0,39158,15
tt0051036,Sweet Smell of Success,8.0,34021,16
tt0037884,The Lost Weekend,7.9,38786,17
tt0042593,In a Lonely Place,7.9,33377,18
tt0037382,To Have and Have Not,7.8,36643,19
tt0045555,The Big Heat,7.9,27801,20
tt0037913,Mildred Pierce,7.9,27483,21
tt0042208,The Asphalt Jungle,7.8,28608,22
tt0029870,Angels with Dirty Faces,7.9,22441,23
tt0038109,Spellbound,7.5,50386,24
tt0038559,Gilda,7.6,33678,25
tt0023042,I Am a Fugitive from a Chain Gang,8.2,13942,26
tt0038669,The Killers,7.7,22693,27
tt0040525,The Lady from Shanghai,7.5,31820,28
tt0041699,Stray Dog,7.8,18076,29
tt0031867,The Roaring Twenties,7.9,14736,30
tt0042788,Night and the City,7.9,14526,31
tt0038057,Scarlet Street,7.7,17999,32
tt0034248,Suspicion,7.3,40451,33
tt0051207,The Wrong Man,7.4,29969,34
tt0048261,Kiss Me Deadly,7.5,21335,35
tt0039302,Dark Passage,7.5,21078,36
tt0027652,Fury,7.8,13207,37
tt0037469,The Woman in the Window,7.6,17040,38
tt0046187,Pickup on South Street,7.6,15442,39
tt0038854,The Postman Always Rings Twice,7.4,21990,40
tt0038991,The Stranger,7.3,27540,41
tt0039661,Nightmare Alley,7.7,12801,42
tt0040636,The Naked City,7.6,14616,43
tt0037865,Leave Her to Heaven,7.6,14051,44
tt0042530,Gun Crazy,7.6,14020,45
tt0041859,The Set-Up,7.8,9598,46
tt0037101,Murder， My Sweet,7.5,14226,47
tt0032701,The Letter,7.5,13964,48
tt0041113,All the King's Men,7.4,15832,49
tt0037638,Detour,7.3,18530,50
tt0039224,Brute Force,7.6,10973,51
tt0039677,Odd Man Out,7.6,10767,52
tt0043132,Where the Sidewalk Ends,7.6,9568,53
tt0040338,The Fallen Idol,7.6,9273,54
tt0044954,The Narrow Margin,7.7,8206,55
tt0040160,The Big Clock,7.6,9132,56
tt0047985,The Desperate Hours,7.5,10445,57
tt0043465,Detective Story,7.5,9062,58
tt0038988,The Strange Love of Martha Ivers,7.4,10490,59
tt0024188,Island of Lost Souls,7.4,10270,60
tt0035432,This Gun for Hire,7.4,10072,61
tt0049291,The Harder They Fall,7.5,8695,62
tt0040823,Sorry， Wrong Number,7.3,11892,63
tt0041268,Criss Cross,7.4,9208,64
tt0039536,Kiss of Death,7.4,9067,65
tt0040872,They Live by Night,7.4,8821,66
tt0042369,D.O.A.,7.2,12529,67
tt0023458,Shanghai Express,7.3,9795,68
tt0040202,Call Northside 777,7.3,9768,69
tt0045205,Sudden Fear,7.5,6872,70
tt0039286,Crossfire,7.3,9206,71
tt0046126,Niagara,7.0,18848,72
tt0041958,Thieves' Highway,7.5,6606,73
tt0047878,The Big Combo,7.3,8081,74
tt0044789,Kansas City Confidential,7.3,7765,75
tt0042994,Stage Fright,7.0,15196,76
tt0039204,Body and Soul,7.6,5168,77
tt0029808,You Only Live Once,7.3,7304,78
tt0044357,Angel Face,7.2,8527,79
tt0041088,Act of Violence,7.5,5418,80
tt0042832,Panic in the Streets,7.2,8475,81
tt0033149,They Drive by Night,7.2,8425,82
tt0035966,Hangmen Also Die!,7.4,6022,83
tt0048394,Death of a Cyclist,7.7,4215,84
tt0028773,Dead End,7.2,8170,85
tt0042792,No Way Out,7.4,5906,86
tt0039220,Brighton Rock,7.3,6564,87
tt0043879,On Dangerous Ground,7.2,7628,88
tt0038369,The Blue Dahlia,7.1,9171,89
tt0042296,Caged,7.6,4304,90
tt0018839,The Docks of New York,7.5,4812,91
tt0040366,Force of Evil,7.2,7339,92
tt0048393,Confidential Report,7.1,8871,93
tt0037365,The Thin Man Goes Home,7.3,6020,94
tt0037075,Ministry of Fear,7.1,8447,95
tt0039305,Dead Reckoning,7.1,8299,96
tt0042046,The Window,7.4,4598,97
tt0041239,Champion,7.4,4577,98
tt0041968,Too Late for Tears,7.3,5241,99
tt0042281,The Breaking Point,7.5,3978,100
tt0039211,Born to Kill,7.2,5683,101
tt0036260,Phantom Lady,7.2,5495,102
tt0043503,The Enforcer,7.2,5421,103
tt0040427,He Walked by Night,7.1,6378,104
tt0040723,Raw Deal,7.2,5285,105
tt0037794,The House of Fear,7.2,5225,106
tt0033740,I Wake Up Screaming,7.2,5127,107
tt0046878,Crime Wave,7.3,4306,108
tt0018526,Underworld,7.5,3301,109
tt0047101,Human Desire,7.1,5886,110
tt0045877,The Hitch-Hiker,6.9,9833,111
tt0039208,Boomerang!,7.2,4873,112
tt0051866,The Lineup,7.3,4144,113
tt0039725,Possessed,7.1,5726,114
tt0034798,The Glass Key,7.0,6989,115
tt0051959,Murder by Contract,7.3,3993,116
tt0041487,House of Strangers,7.3,3961,117
tt0044502,Clash by Night,7.0,6823,118
tt0038455,The Dark Mirror,7.1,5363,119
tt0041786,The Reckless Moment,7.1,5351,120
tt0043142,Woman on the Run,7.2,4415,121
tt0049552,Nightfall,7.2,4278,122
tt0045124,Scandal Sheet,7.4,3143,123
tt0037691,Fallen Angel,7.0,6123,124
tt0038453,The Dark Corner,7.1,4921,125
tt0037330,The Suspect,7.4,3047,126
tt0041954,Tension,7.3,3380,127
tt0044533,Deadline - U.S.A.,7.2,3874,128
tt0029217,Marked Woman,7.1,4594,129
tt0029080,Kid Galahad,7.2,3810,130
tt0037055,The Mask of Dimitrios,7.2,3805,131
tt0037263,The Seventh Cross,7.4,2856,132
tt0043938,The Prowler,7.2,3752,133
tt0051713,Hell Drivers,7.2,3724,134
tt0037611,Conflict,7.1,4352,135
tt0041694,No Man of Her Own,7.4,2769,136
tt0031260,Each Dawn I Die,7.2,3616,137
tt0034399,A Woman's Face,7.2,3561,138
tt0039941,The Unsuspected,7.2,3525,139
tt0049949,While the City Sleeps,6.9,6709,140
tt0026393,'G' Men,7.1,4164,141
tt0040695,Pitfall,7.1,4150,142
tt0040257,Cry of the City,7.2,3451,143
tt0042376,The Damned Don't Cry,7.2,3308,144
tt0042579,House by the River,7.1,3858,145
tt0039768,Ride the Pink Horse,7.2,3238,146
tt0042771,Mystery Street,7.2,3235,147
tt0041460,The Hidden Room,7.4,2447,148
tt0043643,His Kind of Woman,7.0,4639,149
tt0048488,The Phenix City Story,7.2,3104,150
tt0049006,Beyond a Reasonable Doubt,6.9,5678,151
tt0044557,Don't Bother to Knock,6.8,8004,152
tt0047377,Pushover,7.1,3575,153
tt0043435,Cry Danger,7.3,2605,154
tt0045161,The Sniper,7.1,3547,155
tt0040740,Road House,7.2,2955,156
tt0041503,Impact,7.0,4273,157
tt0039589,Lured,7.0,4253,158
tt0040221,Caught,7.0,4181,159
tt0039896,They Won't Believe Me,7.2,2854,160
tt0041178,The Big Steal,6.9,5154,161
tt0047542,Suddenly,6.8,6992,162
tt0042960,Side Street,7.1,3178,163
tt0038461,Deception,7.0,3813,164
tt0039080,The Verdict,7.2,2646,165
tt0040087,All My Sons,7.3,2250,166
tt0039335,A Double Life,7.0,3672,167
tt0052050,Party Girl,7.0,3625,168
tt0038700,The Locket,7.1,2898,169
tt0044075,Storm Warning,7.2,2409,170
tt0037932,My Name Is Julia Ross,7.0,3454,171
tt0043560,Fourteen Hours,7.1,2833,172
tt0041373,Flamingo Road,7.0,3409,173
tt0048254,Killer's Kiss,6.6,24969,174
tt0038965,Somewhere in the Night,7.0,3339,175
tt0045564,The Blue Gardenia,6.8,5879,176
tt0027407,Bullets or Ballots,7.0,3319,177
tt0033774,Johnny Eager,7.0,3305,178
tt0036104,The Leopard Man,6.8,5661,179
tt0039482,I Walk Alone,7.0,3125,180
tt0039881,T-Men,6.9,3770,181
tt0043812,The Mob,7.1,2430,182
tt0027367,Black Legion,6.9,3740,183
tt0043625,He Ran All the Way,7.0,2857,184
tt0045029,Phone Call from a Stranger,7.0,2828,185
tt0040607,Moonrise,7.0,2812,186
tt0050233,Cast a Dark Shadow,7.0,2794,187
tt0042648,Kiss Tomorrow Goodbye,7.1,2293,188
tt0043660,The House on Telegraph Hill,6.9,3509,189
tt0038360,Black Angel,6.9,3436,190
tt0039926,The Two Mrs. Carrolls,6.8,4656,191
tt0029658,They Won't Forget,7.2,1832,192
tt0041198,Border Incident,7.0,2585,193
tt0045557,The Bigamist,6.8,4431,194
tt0033107,Stranger on the Third Floor,6.8,4430,195
tt0039895,I Became a Criminal,7.2,1788,196
tt0043075,The Sound of Fury,7.2,1776,197
tt0039029,Three Strangers,7.0,2485,198
tt0039017,Terror by Night,6.7,6510,199
tt0046031,The Man Between,7.0,2372,200
tt0041368,The File on Thelma Jordon,6.9,2912,201
tt0048182,House of Bamboo,6.8,3924,202
tt0047417,Riot in Cell Block 11,7.0,2296,203
tt0047880,The Big Knife,6.8,3915,204
tt0039666,Nora Prentiss,7.1,1888,205
tt0048199,Illegal,7.0,2169,206
tt0045201,The Stranger in Between,7.3,1331,207
tt0048790,Violent Saturday,6.9,2675,208
tt0041172,Beyond the Forest,6.9,2662,209
tt0040766,Secret Beyond the Door...,6.7,5357,210
tt0040155,Berlin Express,6.8,3459,211
tt0033582,The Face Behind the Mask,7.1,1676,212
tt0022111,The Maltese Falcon,6.8,3224,213
tt0044364,Another Man's Poison,6.8,3148,214
tt0033802,Ladies in Retirement,7.1,1529,215
tt0039757,The Red House,6.7,4654,216
tt0049656,Ransom!,6.9,2261,217
tt0042039,Whirlpool,6.7,4570,218
tt0045669,Dangerous Crossing,6.9,2246,219
tt0021750,City Streets,7.0,1776,220
tt0038780,Nobody Lives Forever,7.0,1753,221
tt0023731,20， 000 Years in Sing Sing,6.8,2889,222
tt0039396,Framed,6.9,2091,223
tt0049414,A Kiss Before Dying,6.7,4123,224
tt0039973,The Web,7.1,1345,225
tt0042707,The Man Who Cheated Himself,6.8,2660,226
tt0043090,Union Station,6.8,2617,227
tt0046935,Drive a Crooked Road,6.9,1925,228
tt0044136,Tomorrow Is Another Day,7.0,1524,229
tt0039464,High Wall,6.9,1886,230
tt0032022,They Made Me a Criminal,6.8,2503,231
tt0039515,Johnny O'Clock,6.8,2484,232
tt0041107,Alias Nick Beal,7.1,1197,233
tt0039313,Desperate,6.8,2335,234
tt0143920,The Bitter Stems,7.6,630,235
tt0043766,M,6.8,2270,236
tt0043955,The Racket,6.7,3213,237
tt0043709,Kind Lady,7.1,1084,238
tt0043088,The Underworld Story,7.0,1288,239
tt0035082,Moontide,6.8,2077,240
tt0043131,Where Danger Lives,6.7,3084,241
tt0046791,Black Widow,6.7,3080,242
tt0038458,Deadline at Dawn,6.8,2066,243
tt0040444,Hollow Triumph,6.7,3043,244
tt0038462,Decoy,6.8,2039,245
tt0040798,Sleep， My Love,6.8,2004,246
tt0030996,You and Me,6.9,1484,247
tt0033987,Out of the Fog,6.8,1961,248
tt0032651,Johnny Apollo,6.9,1409,249
tt0201477,The Beast Must Die,7.6,496,250
tt0050670,The Mailbag Robbery,6.2,351,632
tt0036866,The Girl Who Dared,6.0,199,633
tt0041983,Trapped,6.4,1533,634
tt0041986,Treasure of Monte Cristo,6.0,200,635
tt0034988,London Blackout Murders,5.8,142,636
tt0051895,The Man Who Died Twice,5.9,168,637
tt0041532,The Judge,5.9,168,637
tt0039389,For You I Die,6.1,264,639
tt0030666,Religious Racketeers,5.2,76,640
tt0049089,The Come On,6.0,215,641
tt0043920,Pier 23,5.6,116,642
tt0042643,The Killer That Stalked New York,6.4,1683,643
tt0039372,Fear in the Night,6.4,1699,644
tt0047355,Playgirl,5.8,154,645
tt0037997,The Power of the Whistler,6.3,638,646
tt0038683,The Last Crooked Mile,6.1,283,647
tt0049774,Spin a Dark Web,6.1,286,648
tt0040119,Assigned to Danger,5.7,137,649
tt0042551,Hi-Jacked,5.5,110,650
tt0050495,Hell Bound,6.3,667,651
tt0043126,Western Pacific Agent,5.9,190,652
tt0039439,The Guilty,6.3,669,653
tt0035562,Wildcat,5.6,124,654
tt0036807,Experiment Perilous,6.4,1833,655
tt0050295,Death in Small Doses,6.1,302,656
tt0042289,Bunco Squad,6.1,303,657
tt0050440,The Girl in the Kremlin,5.5,114,658
tt0038110,The Spider,5.9,196,659
tt0045736,Escape by Night,5.6,128,660
tt0040785,The Sign of the Ram,6.3,693,661
tt0124076,Portland Exposé,6.0,242,662
tt0047525,The Steel Jungle,5.7,148,663
tt0051714,Hell's Five Hours,5.7,152,664
tt0045927,Jamaica Run,5.7,152,664
tt0043912,Peking Express,5.6,135,666
tt0044088,The Sun Sets at Dawn,6.0,255,667
tt0051022,Street of Sinners,5.8,178,668
tt0047102,The Human Jungle,5.9,212,669
tt0039249,The Case of the Baby Sitter,4.9,76,670
tt0040829,The Amazing Mr. X,6.4,2031,671
tt0043409,Circle of Danger,6.3,753,672
tt0037318,Strangers in the Night,6.3,754,673
tt0042781,Native Son,6.2,466,674
tt0043516,F.B.I. Girl,6.0,264,675
tt0048607,Shack Out on 101,6.3,765,676
tt0038986,Strange Impersonation,6.3,767,677
tt0035107,Mystery of Marie Roget,5.9,220,678
tt0031104,Blind Alley,6.3,780,679
tt0044513,Confidence Girl,5.9,223,680
tt0051088,Tip on a Dead Jockey,6.1,348,681
tt0040590,Million Dollar Weekend,6.1,356,682
tt0047087,Highway Dragnet,6.3,808,683
tt0051687,The Gun Runners,6.3,809,684
tt0033161,Three Silent Men,5.0,88,685
tt0039529,Key Witness,5.8,195,686
tt0036531,Whispering Footsteps,5.8,197,687
tt0045661,Cry of the Hunted,6.2,509,688
tt0049805,Strange Intruder,5.6,157,689
tt0042640,Kill or Be Killed,5.5,141,690
tt0043523,The Fat Man,6.2,524,691
tt0040237,Close-Up,5.7,181,692
tt0050524,Hot Summer Night,6.1,384,693
tt0049340,The Houston Story,6.1,386,694
tt0050096,Account Rendered,6.0,304,695
tt0043390,Cause for Alarm!,6.4,2462,696
tt0121515,The Man with My Face,6.1,399,697
tt0042618,Johnny One-Eye,5.5,149,698
tt0038349,Below the Deadline,5.5,149,698
tt0045745,The Fake,6.1,400,700
tt0047205,Make Haste to Live,6.0,315,701
tt0177817,The Gorbals Story,4.9,93,702
tt0040000,The Woman on the Beach,6.4,2529,703
tt0043448,Danger Zone,5.1,107,704
tt0048423,The Night Holds Terror,6.3,934,705
tt0038928,Shadowed,5.9,265,706
tt0045652,Count the Hours!,6.2,577,707
tt0127272,The Green Finger,5.6,174,708
tt0050271,Crime of Passion,6.4,2628,709
tt0051663,Girls on the Loose,5.7,200,710
tt0046792,Blackout,6.2,592,711
tt0049210,Finger of Guilt,6.2,597,712
tt0040604,Money Madness,5.9,278,713
tt0044720,Hoodlum Empire,6.0,339,714
tt0049636,The Price of Fear,6.2,605,715
tt0032505,Gambling on the High Seas,6.0,351,716
tt0043340,The Big Night,6.3,1034,717
tt0044515,The Slasher,6.1,456,718
tt0040947,Walk a Crooked Mile,6.3,1039,719
tt0050964,Short Cut to Hell,5.9,293,720
tt0036892,The Hairy Ape,6.1,461,721
tt0037100,Murder in the Blue Room,6.0,362,722
tt0037461,The Whistler,6.3,1063,723
tt0042588,I Was a Shoplifter,6.0,368,724
tt0142340,Grief Street,5.3,146,725
tt0034732,Fingers at the Window,6.3,1098,726
tt0041790,Red Light,6.3,1103,727
tt0050087,5 Steps to Danger,6.3,1107,728
tt0049804,A Strange Adventure,5.6,202,729
tt0042496,Gambling House,6.1,486,730
tt0049961,A Woman's Devotion,5.9,317,731
tt0049846,Three Bad Sisters,5.7,234,732
tt0039023,They Made Me a Killer,5.9,320,733
