tconst,primaryTitle,averageRating,numVotes,ranking
tt0913356,The Big Fat Quiz of the Year,8.0,1116,1
tt1155413,The Big Fat Quiz of the Year,7.9,1115,2
tt1574646,The Big Fat Quiz of the Year,7.8,1653,3
tt3486614,The Big Fat Quiz of the Year,7.9,865,4
tt2484772,The Big Fat Quiz of the 00s,7.9,854,5
tt2456966,The Big Fat Quiz of the 90s,7.9,758,6
tt1343024,The Big Fat Quiz of the Year,7.8,1000,7
tt5328660,The Big Fat Quiz of Everything,7.9,637,8
tt2602958,The Big Fat Quiz of the Year,7.8,849,9
tt4392820,The Big Fat Anniversary Quiz,7.9,566,10
tt3223572,The Big Fat Quiz of the 90s,7.8,720,11
tt1807027,The Big Fat Quiz of the Year,7.7,1035,12
tt0344524,The Very Best of 'Have I Got News for You',9.1,136,13
tt0492561,The Big Fat Quiz of the Year,7.7,781,14
tt3221608,The Big Fat Quiz of the 80s,7.7,679,15
tt5300798,The Big Fat Quiz of the Year,7.7,640,16
tt4392742,The Big Fat Quiz of the Year,7.7,612,17
tt6385226,The Big Fat Quiz of the Year,7.7,544,18
tt0442655,The Big Fat Quiz of the Year,7.6,750,19
tt1141636,The Big Fat Anniversary Quiz,7.6,734,20
tt2398104,The Big Fat Quiz of the 80s,7.6,648,21
tt6400334,The Big Fat Quiz of Everything,7.7,375,22
tt0255025,Can't Smeg Won't Smeg,7.8,229,23
tt7822178,The Big Fat Quiz of Everything,7.6,334,24
tt9503284,The Big Fat Quiz of the Year,7.5,424,25
tt9506458,Big Fat Quiz of Everything,7.5,359,26
tt0293978,Wild Desk Ride,8.5,88,27
tt13262362,The Boulet Brothers' Dragula: Resurrection,7.5,266,28
tt11790846,The KIDZBOP Quiz 2,9.1,44,29
tt0321396,Battle of the Network Stars III,7.8,108,30
tt0445074,Have I Got News for You: The Best of the Guest Presenters,8.4,52,31
tt1261837,Eurovision Dance Contest 2008,8.3,50,32
tt0321394,Battle of the Network Stars,7.2,367,33
tt0169993,Have I Got News for You: The Official Pirate Video,8.7,37,34
tt1531703,Wait， Wait... Don't Tell Me!,9.5,22,35
tt6772966,American Ninja Warrior: Celebrity Edition,8.4,39,36
tt0795498,Virtually Funny,8.3,41,37
tt0170735,Unbroadcastable 'Have I Got News for You',8.2,44,38
tt0375591,Battle of the Network Stars VI,7.6,86,39
tt1035432,A Celebration of Bob Barker's 50 Years in Television,8.5,34,40
tt0340003,Battle of the Network Stars XIV,7.8,60,41
tt11451280,The Big Fat Quiz of the Year,7.2,233,42
tt8345414,Tell 'Em Steve Dave Presents: ElephANTS in the Room,9.9,15,43
