tconst,primaryTitle,averageRating,numVotes,ranking
tt0108052,Schindler's List,9.0,1388975,1
tt0112573,Braveheart,8.3,1057827,2
tt0363163,Downfall,8.2,363138,3
tt8503618,Hamilton,8.4,102307,4
tt0057115,The Great Escape,8.2,250054,5
tt2024544,12 Years a Slave,8.1,717342,6
tt2119532,Hacksaw Ridge,8.1,552508,7
tt0395169,Hotel Rwanda,8.1,362503,8
tt1504320,The King's Speech,8.0,692749,9
tt0083987,Gandhi,8.0,236431,10
tt0102138,JFK,8.0,162393,11
tt8291224,Uri: The Surgical Strike,8.2,67790,12
tt0019254,The Passion of Joan of Arc,8.2,57474,13
tt5013056,Dunkirk,7.8,684900,14
tt6316138,Ayla: The Daughter of War,8.3,41731,15
tt4573394,Endless Corridor,8.3,38261,16
tt0074119,All the President's Men,7.9,120604,17
tt0060107,Andrei Rublev,8.1,55310,18
tt4846340,Hidden Figures,7.8,241657,19
tt1398426,Straight Outta Compton,7.8,209678,20
tt1166827,Zeitgeist,8.1,49962,21
tt0074896,The Message,8.1,49131,22
tt0108358,Tombstone,7.8,156662,23
tt5895028,13th,8.2,36609,24
tt7905466,They Shall Not Grow Old,8.2,36480,25
tt0097441,Glory,7.8,139251,26
tt4044364,Citizenfour,8.0,56826,27
tt0265086,Black Hawk Down,7.7,408449,28
tt0048434,Night and Fog,8.6,20526,29
tt16747572,The Silence of Swastika,9.5,10416,30
tt0112384,Apollo 13,7.7,304118,31
tt1070874,The Trial of the Chicago 7,7.7,184701,32
tt3674140,The Salt of the Earth,8.4,22591,33
tt0015648,Battleship Potemkin,7.9,59629,34
tt4387040,Airlift,7.9,57897,35
tt0116860,"Pretty Village, Pretty Flame",8.6,17143,36
tt0053946,Inherit the Wind,8.1,31543,37
tt0870111,Frost/Nixon,7.7,110334,38
tt3682448,Bridge of Spies,7.6,319033,39
tt0093389,The Last Emperor,7.7,107512,40
tt8633462,"Quo Vadis, Aida?",8.0,35999,41
tt0104797,Malcolm X,7.7,98412,42
