tconst,primaryTitle,averageRating,numVotes,ranking
tt0078748,Alien,8.5,905997,1
tt0054215,Psycho,8.5,689619,2
tt0081505,The Shining,8.4,1052583,3
tt0084787,The Thing,8.2,440208,4
tt0070047,The Exorcist,8.1,422753,5
tt0365748,Shaun of the Dead,7.9,572710,6
tt0063522,Rosemary's Baby,8.0,224149,7
tt5052448,Get Out,7.8,643400,8
tt0093773,Predator,7.8,435802,9
tt1139797,Let the Right One In,7.9,221678,10
tt0077651,Halloween,7.7,289429,11
tt0144084,American Psycho,7.6,659704,12
tt1156398,Zombieland,7.6,596899,13
tt0387564,Saw,7.6,436461,14
tt0230600,The Others,7.6,377552,15
tt1588170,I Saw the Devil,7.8,137738,16
tt0063350,Night of the Living Dead,7.8,133533,17
tt0013442,Nosferatu,7.9,101011,18
tt0092991,Evil Dead II,7.7,174112,19
tt0077402,Dawn of the Dead,7.8,124441,20
tt0046911,Diabolique,8.1,67485,21
tt6644200,A Quiet Place,7.5,551810,22
tt1457767,The Conjuring,7.5,526585,23
tt5700672,Train to Busan,7.6,235911,24
tt0289043,28 Days Later,7.5,425945,25
tt0024216,King Kong,7.9,88061,26
tt0056869,The Birds,7.6,196658,27
tt8239946,Tumbbad,8.2,53410,28
tt0091064,The Fly,7.6,191745,29
tt3416742,What We Do in the Shadows,7.6,190704,30
tt0110148,Interview with the Vampire: The Vampire Chronicles,7.5,333315,31
tt0010323,The Cabinet of Dr. Caligari,8.0,66796,32
tt1189073,The Skin I Live In,7.6,158848,33
tt0056687,What Ever Happened to Baby Jane?,8.0,58963,34
tt0117571,Scream,7.4,365495,35
tt0462322,Grindhouse,7.5,187691,36
tt1465522,Tucker and Dale vs Evil,7.5,186765,37
tt0021884,Frankenstein,7.8,75830,38
tt0087800,A Nightmare on Elm Street,7.4,248964,39
tt1396484,It,7.3,571719,40
tt4972582,Split,7.3,519872,41
tt0103874,Bram Stoker's Dracula,7.4,226185,42
tt0083907,The Evil Dead,7.4,222560,43
tt0074285,Carrie,7.4,195313,44
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,7.3,376741,45
