tconst,primaryTitle,averageRating,numVotes,ranking
tt2582802,Whiplash,8.5,911656,1
tt0253474,The Pianist,8.5,860569,2
tt0086879,Amadeus,8.4,411287,3
tt14544192,Inside,8.6,51679,4
tt0053291,Some Like It Hot,8.2,274134,5
tt0770802,Samsara,8.4,37091,6
tt2125608,Searching for Sugar Man,8.2,70415,7
tt3783958,La La Land,8.0,619248,8
tt10366460,CODA,8.0,147738,9
tt0019760,Man with a Movie Camera,8.4,26701,10
tt0085809,Koyaanisqatsi,8.2,39964,11
tt1727824,Bohemian Rhapsody,7.9,558627,12
tt0084503,Pink Floyd: The Wall,8.0,83251,13
tt0088178,Stop Making Sense,8.6,16205,14
tt0120731,The Legend of 1900,8.0,66901,15
tt0088258,This Is Spinal Tap,7.9,143211,16
tt0108394,Three Colors: Blue,7.9,106446,17
tt0040725,The Red Shoes,8.1,37039,18
tt0077711,Autumn Sonata,8.1,36039,19
tt3544112,Sing Street,7.9,97582,20
tt0358273,Walk the Line,7.8,258119,21
tt8737152,Toma,8.7,11539,22
tt0106332,Farewell My Concubine,8.1,31029,23
tt9603082,All Too Well: The Short Film,8.4,15790,24
tt2077886,The Phantom of the Opera at the Royal Albert Hall,8.8,9567,25
tt0907657,Once,7.8,119001,26
tt5192124,Bo Burnham: Make Happy,8.3,15920,27
tt2395469,Gully Boy,7.9,41531,28
tt0372824,The Chorus,7.8,64801,29
tt0050371,A Face in the Crowd,8.2,16475,30
tt0068327,Cabaret,7.8,57316,31
tt0350258,Ray,7.7,152511,32
tt0069090,Pink Floyd: Live at Pompeii,8.6,9431,33
tt0249462,Billy Elliot,7.7,138791,34
tt5363618,Sound of Metal,7.7,138055,35
tt2870648,Amy,7.8,53545,36
tt0077838,The Last Waltz,8.1,18853,37
tt0184756,Mr. Muhsin,8.4,11252,38
tt0066580,Woodstock,8.1,17982,39
tt3210258,Bo Burnham: what.,8.3,12591,40
tt0044837,Limelight,8.0,21292,41
tt0110758,Pink Floyd: P. U. L. S. E. Live at Earls Court,9.2,5151,42
tt1517451,A Star Is Born,7.6,399460,43
tt0055852,Cléo from 5 to 7,7.9,24793,44
tt0026778,A Night at the Opera,7.8,33818,45
tt0078754,All That Jazz,7.8,33576,46
tt1754109,Les Misérables in Concert: The 25th Anniversary,8.8,6247,47
tt0101765,The Double Life of Véronique,7.7,50982,48
tt1839596,Rockstar,7.7,46568,49
tt6108090,Secret Superstar,7.8,27891,50
tt2024519,The Broken Circle Breakdown,7.7,42111,51
tt1094594,Sigur Rós: Heima,8.4,8280,52
tt0450188,La Vie En Rose,7.6,89010,53
tt1113829,George Harrison: Living in the Material World,8.1,12146,54
tt0248845,Hedwig and the Angry Inch,7.7,36619,55
tt0421082,Control,7.6,67091,56
tt11422728,Summer of Soul (...Or， When the Revolution Could Not Be Televised),8.0,12955,57
tt0424205,Joyeux Noel,7.7,30837,58
tt0117631,Shine,7.6,55457,59
tt0478209,Metal: A Headbanger's Journey,8.0,12295,60
tt1183919,Marley,7.9,14040,61
tt22010428,BTS: Permission to Dance on Stage - LA,8.5,5820,62
tt1417592,Pearl Jam Twenty,8.2,8047,63
tt0101605,The Commitments,7.6,37078,64
tt0271061,Metallica: S&M,8.8,4401,65
tt1230165,Rock On!!,7.7,22571,66
tt0107822,The Piano,7.5,91870,67
tt0018806,The Crowd,8.1,8828,68
tt9426852,Taylor Swift: Reputation Stadium Tour,8.4,6069,69
tt0120802,The Red Violin,7.6,33819,70
tt14444726,Tár,7.5,75736,71
tt0368667,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,15160,72
tt3970482,Roger Waters: The Wall,8.5,5244,73
tt0254686,The Piano Teacher,7.5,67999,74
tt6543652,Cold War,7.5,59651,75
tt0063462,The Producers,7.5,57914,76
tt0059573,A Patch of Blue,8.0,9122,77
tt0073440,Nashville,7.6,27504,78
tt0366707,Led Zeppelin,9.2,3017,79
tt2531318,The Beatles: Eight Days a Week - The Touring Years,7.8,13446,80
tt0109045,The Adventures of Priscilla， Queen of the Desert,7.5,52502,81
tt2306745,Sound City,7.8,13221,82
tt0436231,The Devil and Daniel Johnston,7.9,10321,83
tt1853563,Foo Fighters: Back and Forth,8.2,6397,84
tt0065780,Gimme Shelter,7.8,12454,85
tt1361558,Iron Maiden: Flight 666,8.3,5555,86
tt0116790,Kolya,7.7,15917,87
tt5213534,Oasis: Supersonic,7.8,12086,88
tt0061589,Bob Dylan: Dont Look Back,7.9,9728,89
tt0020697,The Blue Angel,7.7,15771,90
tt0084865,Victor/Victoria,7.6,22784,91
tt0343121,Tupac: Resurrection,7.9,9694,92
tt0146882,High Fidelity,7.4,185072,93
tt0086231,Sagara Sangamam,8.8,3483,94
tt1980929,Begin Again,7.4,161569,95
tt2042568,Inside Llewyn Davis,7.4,158573,96
tt5732482,Hans Zimmer Live in Prague,9.1,2837,97
tt0186508,Buena Vista Social Club,7.6,19857,98
tt0426931,August Rush,7.4,109359,99
tt7832124,Müslüm,7.6,19406,100
tt0158874,Queen Live at Wembley '86,9.1,2680,101
tt0110222,Kabhi Haan Kabhi Naa,7.6,18893,102
tt9151704,Burn the Stage: The Movie,8.5,4054,103
tt5777628,One More Time with Feeling,8.2,5341,104
tt1545103,Rush: Beyond the Lighted Stage,8.3,4736,105
tt0096018,Running on Empty,7.6,17093,106
tt11874226,David Byrne's American Utopia,8.2,4929,107
tt0047811,All That Heaven Allows,7.6,15805,108
tt13524234,Folklore: The Long Pond Studio Sessions,8.4,4002,109
tt1440266,Pina,7.6,15581,110
tt0117615,Shall We Dance?,7.7,11386,111
tt0049012,The Burmese Harp,8.0,6190,112
tt9850386,The Bee Gees: How Can You Mend a Broken Heart,8.1,5270,113
tt1236472,Lemmy,7.8,8482,114
tt4284010,What Happened， Miss Simone?,7.6,14422,115
tt3031654,Ennio,8.3,4147,116
tt0986329,Mungaru Male,8.4,3710,117
tt4571288,Sing,8.0,5693,118
tt1229360,It Might Get Loud,7.6,13339,119
tt0903657,Love & Mercy,7.4,41117,120
tt0387412,Metallica: Some Kind of Monster,7.5,19849,121
tt0080549,Coal Miner's Daughter,7.5,19647,122
tt0051792,The Music Room,7.9,6448,123
tt0079889,Sankarabharanam,8.9,2395,124
tt10516984,Anima,7.6,12556,125
tt0280898,Iron Maiden: Rock in Rio,9.0,2225,126
tt1320082,The Concert,7.5,18408,127
tt12780720,Dil Ko Karaar Aaya,9.5,1703,128
tt0382330,As It Is in Heaven,7.5,17824,129
tt2414166,Led Zeppelin: Celebration Day,8.7,2632,130
tt0902306,Madonna: The Confessions Tour Live from London,9.1,2014,131
tt0133189,SLC Punk!,7.4,31291,132
