tconst,primaryTitle,averageRating,numVotes,ranking
tt0114369,Se7en,8.6,1704552,1
tt0482571,The Prestige,8.5,1369216,2
tt0114814,The Usual Suspects,8.5,1107218,3
tt0054215,Psycho,8.5,689919,4
tt0209144,Memento,8.4,1267383,5
tt0047396,Rear Window,8.5,503279,6
tt15097216,Jai Bhim,8.8,207496,7
tt0078788,Apocalypse Now,8.4,684108,8
tt0364569,Oldboy,8.4,598747,9
tt0405094,The Lives of Others,8.4,397527,10
tt1130884,Shutter Island,8.2,1367320,11
tt0167404,The Sixth Sense,8.2,1013594,12
tt0033467,Citizen Kane,8.3,451749,13
tt0052357,Vertigo,8.3,411955,14
tt0119488,L.A. Confidential,8.2,594645,15
tt0053125,North by Northwest,8.3,335470,16
tt2267998,Gone Girl,8.1,1012034,17
tt0084787,The Thing,8.2,440472,18
tt1392214,Prisoners,8.1,750822,19
tt0073195,Jaws,8.1,626944,20
tt0071315,Chinatown,8.2,335688,21
tt0246578,Donnie Darko,8.0,821573,22
tt0440963,The Bourne Ultimatum,8.0,645193,23
tt0114746,12 Monkeys,8.0,630664,24
tt1856101,Blade Runner 2049,8.0,607791,25
tt1255953,Incendies,8.3,185049,26
tt1305806,The Secret in Their Eyes,8.2,214697,27
tt0022100,M,8.3,162130,28
tt2543164,Arrival,7.9,722412,29
tt0051201,Witness for the Prosecution,8.4,130036,30
tt0258463,The Bourne Identity,7.9,560102,31
tt0042876,Rashomon,8.2,173242,32
tt10272386,The Father,8.2,170530,33
tt0327056,Mystic River,7.9,468749,34
tt0353969,Memories of Murder,8.1,197153,35
tt0166924,Mulholland Drive,7.9,368092,36
tt5052448,Get Out,7.8,643891,37
tt3460252,The Hateful Eight,7.8,626029,38
tt0041959,The Third Man,8.1,175759,39
tt0425112,Hot Fuzz,7.8,518798,40
tt1568346,The Girl with the Dragon Tattoo,7.8,475632,41
tt4857264,The Invisible Guest,8.0,183566,42
tt1182345,Moon,7.8,367308,43
tt0032976,Rebecca,8.1,141176,44
tt0443706,Zodiac,7.7,564005,45
tt0033870,The Maltese Falcon,8.0,162659,46
tt0783233,Atonement,7.8,288338,47
tt0372183,The Bourne Supremacy,7.7,474513,48
tt0756683,The Man from Earth,7.9,193029,49
tt0119174,The Game,7.7,410614,50
tt8108198,Andhadhun,8.2,97540,51
tt0056058,Harakiri,8.6,61499,52
tt20850406,Sita Ramam,8.6,60796,53
tt1132620,The Girl with the Dragon Tattoo,7.8,219848,54
tt0988045,Sherlock Holmes,7.6,649681,55
tt0111495,Three Colors: Red,8.1,106578,56
tt0181689,Minority Report,7.6,566594,57
tt0409459,Watchmen,7.6,564103,58
tt4430212,Drishyam,8.2,89047,59
tt0040746,Rope,7.9,148222,60
tt5362988,Wind River,7.7,263857,61
tt0387564,Saw,7.6,436654,62
tt0454848,Inside Man,7.6,384821,63
tt0230600,The Others,7.6,377719,64
tt0117381,Primal Fear,7.7,233435,65
tt0090756,Blue Velvet,7.7,206849,66
tt0945513,Source Code,7.5,532139,67
tt1457767,The Conjuring,7.5,526852,68
tt0452623,Gone Baby Gone,7.6,280934,69
tt0287467,Talk to Her,7.9,115127,70
tt0069293,Solaris,8.0,94735,71
tt0108394,Three Colors: Blue,7.9,106375,72
tt0118971,The Devil's Advocate,7.5,385935,73
tt0443543,The Illusionist,7.5,380939,74
tt0120663,Eyes Wide Shut,7.5,355756,75
tt1924396,The Best Offer,7.8,123761,76
tt0118929,Dark City,7.6,205434,77
tt0071360,The Conversation,7.8,116213,78
tt0056869,The Birds,7.6,196761,79
tt0118884,Contact,7.5,283597,80
tt1515091,Sherlock Holmes: A Game of Shadows,7.4,466953,81
tt7668870,Searching,7.6,172973,82
tt0038355,The Big Sleep,7.9,88151,83
tt0095647,Mississippi Burning,7.8,104666,84
tt0057565,High and Low,8.4,48126,85
tt0373469,Kiss Kiss Bang Bang,7.5,231914,86
tt1189073,The Skin I Live In,7.6,158914,87
tt1821480,Kahaani,8.1,64135,88
tt1371111,Cloud Atlas,7.4,367973,89
tt0117571,Scream,7.4,365706,90
tt0056923,Charade,7.9,81493,91
tt0116922,Lost Highway,7.6,147679,92
tt0061811,In the Heat of the Night,7.9,79823,93
tt0052561,Anatomy of a Murder,8.0,68588,94
tt0091605,The Name of the Rose,7.7,112150,95
tt0104348,Glengarry Glen Ross,7.7,110708,96
tt9620292,Promising Young Woman,7.5,189255,97
tt0010323,The Cabinet of Dr. Caligari,8.0,66818,98
tt0096754,The Abyss,7.5,184091,99
tt1242460,We Need to Talk About Kevin,7.5,161256,100
tt7984734,The Lighthouse,7.4,232739,101
tt5354160,Mirror Game,9.0,27659,102
tt0217869,Unbreakable,7.3,428679,103
tt0162661,Sleepy Hollow,7.3,370589,104
tt7784604,Hereditary,7.3,344321,105
tt1149362,The White Ribbon,7.8,75592,106
tt0074285,Carrie,7.4,195418,107
tt0272152,K-PAX,7.4,188603,108
tt1038988,REC,7.4,187987,109
tt0918927,Doubt,7.5,133112,110
tt3065204,The Conjuring 2,7.3,283013,111
tt1670345,Now You See Me,7.2,680573,112
tt9484998,Palm Springs,7.4,169952,113
tt0075005,The Omen,7.5,124742,114
tt0309698,Identity,7.3,257413,115
tt1216496,Mother,7.8,67882,116
tt1189340,The Lincoln Lawyer,7.3,244957,117
tt0464141,The Orphanage,7.4,159702,118
tt0387131,The Constant Gardener,7.4,145550,119
tt1360860,About Elly,7.9,55213,120
tt0069281,Sleuth,8.0,48922,121
tt0125659,Open Your Eyes,7.7,71261,122
tt1179933,10 Cloverfield Lane,7.2,340969,123
tt3262342,Loving Vincent,7.8,60583,124
tt0138704,Pi,7.3,183030,125
tt0278504,Insomnia,7.2,303926,126
tt15501640,Drishyam 2,8.2,37840,127
tt0154506,Following,7.5,95869,128
tt0037008,Laura,7.9,49237,129
tt0344510,A Very Long Engagement,7.6,74889,130
tt0414993,The Fountain,7.2,244131,131
tt0099871,Jacob's Ladder,7.4,113214,132
tt0343818,I， Robot,7.1,556189,133
tt0186151,Frequency,7.4,111988,134
tt0070917,The Wicker Man,7.5,85668,135
tt0290673,Irreversible,7.3,141190,136
tt1937149,The Body,7.6,69311,137
tt4934950,Talvar,8.1,36610,138
tt0298130,The Ring,7.1,361262,139
tt2884206,I Origins,7.3,129361,140
tt8772262,Midsommar,7.1,355744,141
tt0030341,The Lady Vanishes,7.7,54915,142
tt10324144,Article 15,8.1,35273,143
tt8108268,The Tashkent Files,8.1,35218,144
tt0465538,Michael Clayton,7.2,170040,145
tt1139328,The Ghost Writer,7.2,167589,146
tt7282468,Burning,7.5,70316,147
tt0026029,The 39 Steps,7.6,59320,148
tt0253779,Süt Kardesler,8.8,20614,149
tt0123755,Cube,7.1,239276,150
tt1051906,The Invisible Man,7.1,239058,151
tt2404461,The Past,7.7,49917,152
tt1446714,Prometheus,7.0,623314,153
tt0105665,Twin Peaks: Fire Walk with Me,7.3,100762,154
tt2866360,Coherence,7.2,137032,155
tt0060176,Blow-Up,7.5,65115,156
tt0048728,To Catch a Thief,7.4,76424,157
tt1259521,The Cabin in the Woods,7.0,432270,158
tt2053463,Side Effects,7.1,193795,159
tt5215952,The Wailing,7.4,74162,160
tt3042408,Who Am I,7.5,60125,161
tt1650062,Super 8,7.0,361428,162
tt0790724,Jack Reacher,7.0,350894,163
tt0362225,Tell No One,7.5,56479,164
tt0393109,Brick,7.2,108358,165
tt0387898,Caché (Hidden),7.3,82570,166
tt6628394,Bad Times at the El Royale,7.1,156723,167
tt0473705,State of Play,7.1,155516,168
tt0412019,Broken Flowers,7.2,104957,169
tt0042593,In a Lonely Place,7.9,33329,170
tt0088930,Clue,7.2,102664,171
tt0096163,The Vanishing,7.7,41086,172
tt1399683,Winter's Bone,7.1,146157,173
tt9411972,Where the Crawdads Sing,7.2,100263,174
tt1148204,Orphan,7.0,240446,175
tt2234003,Calvary,7.4,62215,176
tt0253614,Saban， Son of Saban,8.7,18242,177
