tconst,primaryTitle,averageRating,numVotes,ranking
tt0109830,Forrest Gump,8.8,2144798,1
tt0118799,Life Is Beautiful,8.6,713393,2
tt0034583,Casablanca,8.5,585371,3
tt0095765,Cinema Paradiso,8.5,269436,4
tt0027977,Modern Times,8.5,249158,5
tt0338013,Eternal Sunshine of the Spotless Mind,8.3,1034386,6
tt0119217,Good Will Hunting,8.3,1007762,7
tt0211915,Amélie,8.3,771331,8
tt0021749,City Lights,8.5,189087,9
tt0052357,Vertigo,8.3,412003,10
tt0045152,Singin' in the Rain,8.3,249775,11
tt0031381,Gone with the Wind,8.2,323275,12
tt0053604,The Apartment,8.3,187237,13
tt8110330,Dil Bechara,8.4,132843,14
tt0053291,Some Like It Hot,8.2,273931,15
tt1305806,The Secret in Their Eyes,8.2,214731,16
tt0112471,Before Sunrise,8.1,321867,17
tt1010048,Slumdog Millionaire,8.0,859969,18
tt0381681,Before Sunset,8.1,275002,19
tt1798709,Her,8.0,638602,20
tt0120338,Titanic,7.9,1224315,21
tt0061722,The Graduate,8.0,280747,22
tt0075686,Annie Hall,8.0,270808,23
tt4016934,The Handmaiden,8.1,158146,24
tt0118694,In the Mood for Love,8.1,157505,25
tt0099487,Edward Scissorhands,7.9,504371,26
tt0352248,Cinderella Man,8.0,192754,27
tt7653254,Marriage Story,7.9,326104,28
tt0421715,The Curious Case of Benjamin Button,7.8,670194,29
tt1655442,The Artist,7.9,245128,30
tt0162222,Cast Away,7.8,611380,31
tt0332280,The Notebook,7.8,589923,32
tt0050986,Wild Strawberries,8.1,110335,33
tt0108399,True Romance,7.9,233978,34
tt0025316,It Happened One Night,8.1,107678,35
tt0111495,Three Colors: Red,8.1,106591,36
tt0046250,Roman Holiday,8.0,142800,37
tt0414387,Pride & Prejudice,7.8,309364,38
tt5726616,Call Me by Your Name,7.8,290267,39
tt0783233,Atonement,7.8,288373,40
tt2209418,Before Midnight,7.9,165118,41
tt1045658,Silver Linings Playbook,7.7,723119,42
tt2082197,Barfi!,8.1,84232,43
tt9052870,Chhichhore,8.3,58208,44
tt1022603,500 Days of Summer,7.7,532557,45
tt3281548,Little Women,7.8,220619,46
tt2980516,The Theory of Everything,7.7,464953,47
tt1605783,Midnight in Paris,7.7,435924,48
tt2582846,The Fault in Our Stars,7.7,388354,49
tt0388795,Brokeback Mountain,7.7,368657,50
tt0292490,Dil Chahta Hai,8.1,73945,51
tt0287467,Talk to Her,7.9,115131,52
tt0119822,As Good as It Gets,7.7,308316,53
tt1188996,My Name Is Khan,7.9,111138,54
tt0374546,Spring， Summer， Fall， Winter... and Spring,8.0,84911,55
tt0036868,The Best Years of Our Lives,8.1,67324,56
tt0038787,Notorious,7.9,103915,57
tt0485947,Mr. Nobody,7.7,239573,58
tt0079522,Manhattan,7.8,143299,59
tt0098635,When Harry Met Sally...,7.7,229226,60
tt0015324,Sherlock Jr.,8.2,52764,61
tt0314331,Love Actually,7.6,504039,62
tt0093191,Wings of Desire,8.0,73617,63
tt0112870,Dilwale Dulhania Le Jayenge,8.0,73187,64
tt1517451,A Star Is Born,7.6,399163,65
tt0907657,Once,7.8,118960,66
tt1306980,50/50,7.6,336549,67
tt0120731,The Legend of 1900,8.0,66851,68
tt2278871,Blue Is the Warmest Colour,7.7,157669,69
tt0203009,Moulin Rouge!,7.6,291870,70
tt0056923,Charade,7.9,81507,71
tt7019842,96,8.5,33340,72
tt0067185,Harold and Maude,7.9,79691,73
tt0059113,Doctor Zhivago,7.9,79614,74
tt0301357,Good Bye Lenin!,7.7,149482,75
tt0976051,The Reader,7.6,252137,76
tt0018455,Sunrise,8.1,52451,77
tt2582496,Me and Earl and the Dying Girl,7.7,134931,78
tt0416320,Match Point,7.6,222829,79
tt0032904,The Philadelphia Story,7.9,71637,80
tt0128445,Rushmore,7.6,191507,81
tt0114388,Sense and Sensibility,7.7,120506,82
tt0054698,Breakfast at Tiffany's,7.6,186002,83
tt0118843,Black Cat， White Cat,8.0,55220,84
tt0109117,Andaz Apna Apna,8.0,54282,85
