tconst,primaryTitle,averageRating,numVotes,ranking
tt0405159,Million Dollar Baby,8.1,701082,1
tt0075148,Rocky,8.1,600208,2
tt1291584,Warrior,8.1,482626,3
tt0081398,Raging Bull,8.1,363988,4
tt1424432,Senna,8.5,72872,5
tt1125849,The Wrestler,7.9,313293,6
tt0169102,Lagaan: Once Upon a Time in India,8.1,117120,7
tt0118849,Children of Heaven,8.2,76947,8
tt2356180,Bhaag Milkha Bhaag,8.2,69923,9
tt0871510,Let's Go! India,8.1,82354,10
tt0210945,Remember the Titans,7.8,222880,11
tt7775622,Free Solo,8.1,72477,12
tt0054997,The Hustler,8.0,84303,13
tt4169250,M.S. Dhoni: The Untold Story,8.0,63403,14
tt1210166,Moneyball,7.6,441140,15
tt0878804,The Blind Side,7.6,345454,16
tt3076658,Creed,7.6,298229,17
tt11580854,Sarpatta Parambarai,8.5,23919,18
tt6333060,Icarus,7.9,52190,19
tt0110057,Hoop Dreams,8.3,27214,20
tt0412080,The World's Fastest Indian,7.8,56573,21
tt0923752,The King of Kong: A Fistful of Quarters,8.0,37063,22
tt0174856,The Hurricane,7.6,99744,23
tt8948790,Jersey,8.5,19983,24
tt9620288,King Richard,7.5,123028,25
tt16419074,Air,7.5,109372,26
tt0453562,42,7.5,98842,27
tt2213054,Kai Po Che,7.8,37880,28
tt0385002,Green Street Hooligans,7.4,156131,29
tt0054248,Rocco and His Brothers,8.2,20063,30
tt7286916,The Dawn Wall,8.1,20526,31
tt0108002,Rudy,7.5,66237,32
tt0079817,Rocky II,7.3,221616,33
tt0393162,Coach Carter,7.3,161580,34
tt0095250,The Big Blue,7.5,53292,35
tt0453729,Iqbal,8.1,17332,36
tt8009428,Hustle,7.3,132841,37
tt0118147,When We Were Kings,8.0,18576,38
tt0104694,A League of Their Own,7.3,115360,39
tt14079374,14 Peaks: Nothing Is Impossible,7.7,28092,40
tt1226271,The Damned United,7.5,44897,41
tt9500372,Pocket Hercules: Naim Süleymanoglu,8.2,13016,42
tt0078902,Breaking Away,7.7,24567,43
tt18568902,Kaun Pravin Tambe?,8.4,10818,44
tt0087781,The Natural,7.4,50872,45
tt0091217,Hoosiers,7.4,49264,46
tt0329575,Seabiscuit,7.3,75201,47
tt0108065,Searching for Bobby Fischer,7.4,41266,48
tt0080487,Caddyshack,7.2,122552,49
tt2097298,"McFarland, USA",7.4,40473,50
tt0942384,Shelter,7.6,23322,51
tt8652728,Waves,7.5,28103,52
tt4640206,Sachin - A Billion Dreams,8.5,8226,53
tt2545428,Meru,7.7,18447,54
tt5433114,Diego Maradona,7.7,17679,55
tt0388980,The Greatest Game Ever Played,7.4,32150,56
tt8745676,The Swimmers,7.4,30705,57
tt0097815,Major League,7.2,73019,58
tt0479143,Rocky Balboa,7.1,225094,59
tt0390022,Friday Night Lights,7.2,65241,60
tt0076723,Slap Shot,7.3,39396,61
