tconst,primaryTitle,averageRating,numVotes,ranking
tt0102926,The Silence of the Lambs,8.6,1473683,1
tt0407887,The Departed,8.5,1361994,2
tt6751668,Parasite,8.5,862798,3
tt0054215,Psycho,8.5,690409,4
tt1345836,The Dark Knight Rises,8.4,1749134,5
tt7286456,Joker,8.4,1365217,6
tt0209144,Memento,8.4,1268166,7
tt0047396,Rear Window,8.5,503623,8
tt0105236,Reservoir Dogs,8.3,1046802,9
tt0405094,The Lives of Others,8.4,397726,10
tt1130884,Shutter Island,8.2,1368693,11
tt0266697,Kill Bill: Vol. 1,8.2,1144860,12
tt0167404,The Sixth Sense,8.2,1014154,13
tt0477348,No Country for Old Men,8.2,1006084,14
tt0095016,Die Hard,8.2,904165,15
tt0052357,Vertigo,8.3,412214,16
tt2267998,Gone Girl,8.1,1012748,17
tt0116282,Fargo,8.1,695025,18
tt0073195,Jaws,8.1,627645,19
tt0071315,Chinatown,8.2,335911,20
tt3170832,Room,8.1,433360,21
tt2084970,The Imitation Game,8.0,791734,22
tt0947798,Black Swan,8.0,791511,23
tt0401792,Sin City,8.0,780455,24
tt0378194,Kill Bill: Vol. 2,8.0,776386,25
tt0381061,Casino Royale,8.0,672859,26
tt0440963,The Bourne Ultimatum,8.0,645381,27
tt0114746,12 Monkeys,8.0,630898,28
tt0450259,Blood Diamond,8.0,565833,29
tt1136608,District 9,7.9,696809,30
tt0022100,M,8.3,162263,31
tt0245712,Amores Perros,8.1,246049,32
tt0258463,The Bourne Identity,7.9,560331,33
tt0046912,Dial M for Murder,8.2,181367,34
tt3011894,Wild Tales,8.1,206306,35
tt1074638,Skyfall,7.8,711496,36
tt0166924,Mulholland Drive,7.9,368311,37
tt5052448,Get Out,7.8,644566,38
tt0936501,Taken,7.8,616298,39
tt2872718,Nightcrawler,7.8,572714,40
tt1125849,The Wrestler,7.9,313482,41
tt0041959,The Third Man,8.1,175884,42
tt1454468,Gravity,7.7,842436,43
tt0047296,On the Waterfront,8.1,159092,44
tt4016934,The Handmaiden,8.1,158347,45
tt0055630,Yojimbo,8.2,126361,46
tt1024648,Argo,7.7,626260,47
tt0240772,Ocean's Eleven,7.7,593888,48
tt0470752,Ex Machina,7.7,563963,49
tt10366206,John Wick: Chapter 4,7.9,227618,50
tt0094226,The Untouchables,7.8,319742,51
tt0106519,Carlito's Way,7.9,225097,52
tt0119177,Gattaca,7.8,313297,53
tt0372183,The Bourne Supremacy,7.7,474679,54
tt0102138,JFK,8.0,162570,55
tt0091251,Come and See,8.4,86905,56
tt0375679,Crash,7.7,443003,57
tt0119174,The Game,7.7,410806,58
tt0361862,The Machinist,7.7,402333,59
tt0060827,Persona,8.1,124282,60
tt4912910,Mission: Impossible - Fallout,7.7,347177,61
tt0425210,Lucky Number Slevin,7.7,319618,62
tt0100157,Misery,7.8,222039,63
tt8108198,Andhadhun,8.2,97638,64
tt0289879,The Butterfly Effect,7.6,503471,65
tt0077651,Halloween,7.7,289721,66
tt0257044,Road to Perdition,7.7,276627,67
tt0104257,A Few Good Men,7.7,274602,68
