tconst,primaryTitle,averageRating,numVotes,ranking
tt0120815,Saving Private Ryan,8.6,1427672,1
tt0034583,Casablanca,8.5,585017,2
tt0078788,Apocalypse Now,8.4,683849,3
tt0095327,Grave of the Fireflies,8.5,288684,4
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,501445,5
tt0361748,Inglourious Basterds,8.3,1497118,6
tt0093058,Full Metal Jacket,8.3,760790,7
tt0082096,Das Boot,8.4,256175,8
tt0032553,The Great Dictator,8.4,229261,9
tt0457430,Pan's Labyrinth,8.2,682256,10
tt0050825,Paths of Glory,8.4,202738,11
tt8579674,1917,8.2,624429,12
tt0031381,Gone with the Wind,8.2,323104,13
tt0091763,Platoon,8.1,424177,14
tt0077416,The Deer Hunter,8.1,347477,15
tt0050212,The Bridge on the River Kwai,8.1,226133,16
tt0091251,Come and See,8.4,86623,17
tt0089881,Ran,8.2,129648,18
tt0072684,Barry Lyndon,8.1,174298,19
tt2584384,Jojo Rabbit,7.9,412156,20
tt5813916,The Mountain II,8.2,109246,21
tt0055031,Judgment at Nuremberg,8.3,80222,22
tt1016150,All Quiet on the Western Front,7.8,209225,23
tt10554232,Dara of Jasenovac,8.1,81437,24
tt0066206,Patton,7.9,105222,25
tt0036868,The Best Years of Our Lives,8.1,67276,26
tt0914798,The Boy in the Striped Pajamas,7.7,230840,27
tt0020629,All Quiet on the Western Front,8.1,65591,28
tt2713180,Fury,7.6,514304,29
tt0058946,The Battle of Algiers,8.1,62587,30
tt0059113,Doctor Zhivago,7.9,79564,31
tt0092965,Empire of the Sun,7.7,130343,32
tt0887912,The Hurt Locker,7.5,462040,33
tt0120863,The Thin Red Line,7.6,193262,34
tt0046359,Stalag 17,8.0,57192,35
tt2991224,Tangerines,8.1,47594,36
tt0035446,To Be or Not to Be,8.2,39823,37
tt0215750,Enemy at the Gates,7.5,269483,38
tt7905466,They Shall Not Grow Old,8.2,36480,39
tt1365050,Beasts of No Nation,7.7,84179,40
tt0110322,Legends of the Fall,7.5,173790,41
tt0389557,Black Book,7.7,78587,42
tt0028950,The Grand Illusion,8.1,37729,43
tt0061578,The Dirty Dozen,7.7,76329,44
tt0283509,No Man's Land,7.9,47968,45
tt0816442,The Book Thief,7.5,139137,46
tt0386064,Tae Guk Gi: The Brotherhood of War,8.0,40403,47
tt0361596,Fahrenheit 9/11,7.5,130920,48
tt0056111,Ivan's Childhood,8.0,38207,49
tt4555426,Darkest Hour,7.4,210182,50
tt0116209,The English Patient,7.4,195165,51
tt0073341,The Man Who Would Be King,7.8,50569,52
tt8633462,"Quo Vadis, Aida?",8.0,35999,53
tt0092593,"Goodbye, Children",8.0,35005,54
tt3841424,Land of Mine,7.8,43428,55
tt0080979,Kagemusha,7.9,36899,56
tt0046478,Ugetsu,8.2,24637,57
tt0065207,Where Eagles Dare,7.6,60673,58
tt0815241,Religulous,7.6,59734,59
tt0049902,A Man Escaped,8.2,23631,60
tt0213847,Malena,7.4,107155,61
tt0038890,"Rome, Open City",8.0,27776,62
tt0064040,Army of Shadows,8.1,24722,63
tt0065938,Kelly's Heroes,7.6,51806,64
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,8.3,19917,65
tt0058777,Zulu,7.7,41016,66
tt0045793,From Here to Eternity,7.6,48980,67
tt0110081,To Live,8.3,19390,68
tt4873118,The Covenant,7.5,61281,69
tt0073312,Love and Death,7.7,39688,70
tt0050634,The Cranes Are Flying,8.3,18671,71
tt0066026,M*A*S*H,7.4,74965,72
tt0462504,Rescue Dawn,7.3,108667,73
tt0460989,The Wind that Shakes the Barley,7.5,52011,74
tt1332128,Zeitgeist: Addendum,8.2,18533,75
tt0075784,A Bridge Too Far,7.4,59047,76
tt0942385,Tropic Thunder,7.1,430316,77
tt0067140,"Duck, You Sucker!",7.6,36058,78
tt0424227,Turtles Can Fly,8.0,20236,79
tt0046816,The Caine Mutiny,7.7,28775,80
tt2396589,Mudbound,7.4,51869,81
tt0096969,Born on the Fourth of July,7.2,111443,82
tt3808342,Son of Saul,7.4,50248,83
tt9617456,For Sama,8.5,12243,84
tt0108211,Stalingrad,7.5,36401,85
tt0107007,Gettysburg,7.6,30206,86
tt0037017,Lifeboat,7.6,30158,87
tt0060474,La Grande Vadrouille,7.9,19094,88
tt0090015,Shoah,8.7,9921,89
tt0765010,Brothers,7.1,136579,90
tt1289403,The Guernsey Literary and Potato Peel Pie Society,7.3,49431,91
tt0036112,The Life and Death of Colonel Blimp,8.0,15597,92
tt0280491,Bloody Sunday,7.6,25309,93
tt0067277,Johnny Got His Gun,7.8,17610,94
tt0059825,The Train,7.8,17521,95
tt3455224,Virunga,8.2,11909,96
tt0110882,Before the Rain,7.9,15402,97
tt0418763,Jarhead,7.0,197457,98
tt0078875,The Tin Drum,7.5,25078,99
tt0059274,The Hill,7.9,14487,100
tt0111579,Burnt by the Sun,7.8,15899,101
tt0052600,Ballad of a Soldier,8.2,10908,102
tt0043686,Forbidden Games,8.0,12710,103
tt0053114,The Human Condition I: No Greater Love,8.5,8716,104
tt0074695,Cross of Iron,7.4,27651,105
tt0312859,Kannathil Muthamittal,8.4,8900,106
tt0035093,Mrs. Miniver,7.6,18659,107
tt0075968,The Duellists,7.4,25087,108
tt0055233,The Human Condition III: A Soldier's Prayer,8.8,6836,109
tt0080310,Breaker Morant,7.8,14013,110
tt0048380,Mister Roberts,7.6,17691,111
tt0041996,Twelve O'Clock High,7.7,15304,112
tt0075404,The Ascent,8.2,9393,113
tt0099776,Europa Europa,7.6,16941,114
tt0059527,The Shop on Main Street,8.2,9336,115
tt0039417,Germany Year Zero,7.8,13065,116
tt0052080,Ashes and Diamonds,7.8,12764,117
tt3007512,The Water Diviner,7.0,76779,118
tt0436971,Why We Fight,8.0,10130,119
tt1668200,Sarah's Key,7.5,17626,120
tt0053115,The Human Condition II: Road to Eternity,8.5,7012,121
tt0912593,No End in Sight,8.2,8533,122
tt0063794,War and Peace,8.3,7794,123
tt0245929,Devils on the Doorstep,8.2,8214,124
tt1810683,Little Boy,7.3,23615,125
tt0054098,Mughal-E-Azam,8.1,8522,126
tt4065552,The Unknown Soldier,7.7,12062,127
tt0790712,The Messenger,7.1,35990,128
tt0054749,Two Women,7.7,11852,129
tt0090315,When the Wind Blows,7.7,11803,130
tt10521092,The Forgotten Battle,7.1,34129,131
tt1124052,City of Life and Death,7.7,11383,132
tt0052654,The Bridge,8.0,8322,133
tt6299040,The Ghazi Attack,7.5,14074,134
tt0086969,Birdy,7.2,24099,135
tt1606384,My Way,7.6,12157,136
tt0102426,Mediterraneo,7.4,15890,137
tt0033238,Waterloo Bridge,7.7,10526,138
tt0420901,Shooting Dogs,7.6,11753,139
tt0075467,The Fifth Seal,8.6,5236,140
tt9252468,Mosul,7.1,28627,141
tt0048752,The Unknown Soldier,8.0,7621,142
tt1019454,Taking Chance,7.4,14395,143
tt1396226,Twice Born,7.3,17062,144
tt0035279,Saboteur,7.1,26878,145
tt0065528,Catch-22,7.1,25764,146
tt0050585,Kanal,7.9,7749,147
tt0059894,The War Game,8.0,7035,148
tt0114671,Land and Freedom,7.5,11662,149
tt0386342,Brothers,7.5,11509,150
tt0071604,Hearts and Minds,8.2,5915,151
tt0085933,Merry Christmas Mr. Lawrence,7.2,18957,152
tt0070861,Only Old Men Are Going to Battle,8.3,5504,153
tt0114279,Richard III,7.3,15173,154
tt0387914,Innocent Voices,7.8,7979,155
tt0080610,The Last Metro,7.3,15097,156
tt0066819,The Beguiled,7.2,18367,157
tt0259072,A Time for Drunken Horses,7.7,8639,158
tt9170516,The Bombardment,7.3,14779,159
tt0015624,The Big Parade,7.9,7030,160
tt0170705,Train of Life,7.6,9448,161
tt0188030,Butterfly,7.6,9383,162
tt0086617,The Year of Living Dangerously,7.1,22168,163
tt0077362,Coming Home,7.3,14176,164
tt0104706,Lessons of Darkness,8.0,6338,165
tt0129686,Horatio Hornblower: The Duel,8.1,5823,166
tt0038823,Paisan,7.6,9080,167
tt1640680,Armadillo,7.5,10176,168
tt0049012,The Burmese Harp,8.0,6176,169
tt0383177,Aguner Poroshmoni,9.1,3288,170
tt0080437,The Big Red One,7.1,20669,171
tt0468094,The Road to Guantanamo,7.4,11418,172
tt0449573,California Dreamin',7.7,7862,173
tt0308476,The Cuckoo,7.7,7822,174
tt0170691,Tigerland,6.9,42295,175
tt0209933,Beau travail,7.3,13098,176
tt2994190,Camp X-Ray,6.9,42220,177
tt0098437,The Winter War,7.6,8480,178
tt0046889,The Dam Busters,7.4,10947,179
tt0169828,Father of a Soldier,8.4,4422,180
tt0053143,Operation Petticoat,7.2,15126,181
tt0036323,Sahara,7.5,9276,182
tt0052151,Run Silent Run Deep,7.3,12430,183
tt2125423,5 Broken Cameras,7.9,6142,184
tt14846026,Sisu,6.9,38082,185
tt9738784,Persian Lessons,7.4,10373,186
tt0150433,Earth,7.6,8005,187
tt0083131,Stripes,6.8,77098,188
tt3409392,Timbuktu,7.1,17895,189
tt0037077,The Miracle of Morgan's Creek,7.6,7761,190
tt0209180,Sky Hook,8.1,4852,191
