tconst,primaryTitle,averageRating,numVotes,ranking
tt0060196,The Good， the Bad and the Ugly,8.8,780383,1
tt1853728,Django Unchained,8.4,1607961,2
tt0064116,Once Upon a Time in the West,8.5,338308,3
tt0105695,Unforgiven,8.2,422327,4
tt0059578,For a Few Dollars More,8.2,263821,5
tt0099348,Dances with Wolves,8.0,277896,6
tt0040897,The Treasure of the Sierra Madre,8.2,128438,7
tt0058461,A Fistful of Dollars,7.9,224249,8
tt0044706,High Noon,8.0,107289,9
tt0056217,The Man Who Shot Liberty Valance,8.1,79265,10
tt1403865,True Grit,7.6,348229,11
tt0049730,The Searchers,7.9,93036,12
tt0071230,Blazing Saddles,7.7,145604,13
tt0053221,Rio Bravo,8.0,65478,14
tt0075029,The Outlaw Josey Wales,7.8,76940,15
tt0031971,Stagecoach,7.8,51464,16
tt0040724,Red River,7.8,32804,17
tt0068699,High Plains Drifter,7.4,61251,18
tt0046303,Shane,7.6,42550,19
tt0049261,Giant,7.6,40820,20
tt0105046,Of Mice and Men,7.5,45338,21
tt5478478,Hostiles,7.2,90486,22
tt0036244,The Ox-Bow Incident,8.0,24209,23
tt0089767,Pale Rider,7.3,62235,24
tt0067140,Duck， You Sucker!,7.6,36096,25
tt0091480,Manon of the Spring,8.0,23201,26
tt0065126,True Grit,7.4,49558,27
tt2494362,Bone Tomahawk,7.1,108255,28
tt0068762,Jeremiah Johnson,7.6,33357,29
tt0421238,The Proposition,7.3,53949,30
tt0057163,Hud,7.8,23071,31
tt0038762,My Darling Clementine,7.7,24727,32
tt0067411,McCabe & Mrs. Miller,7.6,26478,33
tt0051411,The Big Country,7.9,19445,34
tt0075213,The Shootist,7.6,25814,35
tt0061619,El Dorado,7.5,28856,36
tt0116905,Lone Star,7.4,30809,37
tt10293406,The Power of the Dog,6.8,183824,38
tt2910904,The Dressmaker,7.0,63269,39
tt0043137,Winchester '73,7.6,21047,40
tt0050086,3:10 to Yuma,7.6,20906,41
tt0070215,My Name Is Nobody,7.3,28393,42
tt4943998,Deadwood: The Movie,7.4,24517,43
tt4971344,The Sisters Brothers,6.9,67741,44
tt0067355,They Call Me Trinity,7.4,23756,45
tt0063032,The Great Silence,7.7,17193,46
tt0047136,Johnny Guitar,7.6,18821,47
tt12731980,Old Henry,7.2,30723,48
tt0067866,El Topo,7.2,30465,49
tt0060315,Django,7.2,29559,50
tt0061747,Hang 'Em High,7.0,41271,51
tt6217608,The Rider,7.4,19987,52
tt0096487,Young Guns,6.8,64973,53
tt0040369,Fort Apache,7.4,19019,54
tt0101587,City Slickers,6.8,60568,55
tt0015881,Greed,8.1,10413,56
tt0055184,The Misfits,7.2,22007,57
tt0070518,Pat Garrett & Billy the Kid,7.2,20343,58
tt0042531,The Gunfighter,7.7,11947,59
tt0068421,The Cowboys,7.4,15315,60
tt0041866,She Wore a Yellow Ribbon,7.2,18634,61
tt0031225,Destry Rides Again,7.6,12133,62
tt0056412,Ride the High Country,7.4,14330,63
tt9231040,First Cow,7.1,20179,64
tt0068154,Trinity Is Still My Name,7.2,16728,65
tt0061770,Hombre,7.4,13304,66
tt0065051,Support Your Local Sheriff!,7.5,12045,67
tt10696784,The Harder They Fall,6.6,67448,68
tt0059740,The Sons of Katie Elder,7.1,18438,69
tt0119314,The Horse Whisperer,6.7,42510,70
tt0050468,Gunfight at the O.K. Corral,7.1,16609,71
tt0057298,McLintock!,7.1,15914,72
tt0056195,Lonely Are the Brave,7.6,9479,73
tt0092086,Three Amigos!,6.5,79642,74
tt1210819,The Lone Ranger,6.4,239720,75
tt0044953,The Naked Spur,7.3,12156,76
tt0042895,Rio Grande,7.0,16982,77
tt0048342,The Man from Laramie,7.3,11471,78
tt0029747,Way Out West,7.6,8719,79
tt2650978,The Dark Valley,7.1,13918,80
tt0066831,Big Jake,7.1,13705,81
tt2398231,The Homesman,6.6,34449,82
tt0055257,One-Eyed Jacks,7.1,12514,83
tt0045591,Calamity Jane,7.2,10431,84
tt0059711,Shenandoah,7.3,9169,85
tt0100994,Young Guns II,6.5,37764,86
tt0248408,Manitou's Shoe,6.7,19568,87
tt0042286,Broken Arrow,7.2,9276,88
tt0052993,Last Train from Gun Hill,7.3,8389,89
tt0059017,Cat Ballou,6.8,15581,90
tt0069035,The New Land,8.0,4926,91
tt0040064,3 Godfathers,7.1,10051,92
tt1549920,The Last Stand,6.3,142796,93
tt0047647,Vera Cruz,7.0,10732,94
tt0063501,The Big Gundown,7.4,6724,95
tt0080855,Heaven's Gate,6.7,16173,96
tt0064208,Death Rides a Horse,7.1,8827,97
tt0051899,Man of the West,7.1,8583,98
tt3375370,The Gunfighter,8.0,4276,99
tt0073636,Rooster Cogburn,6.8,12647,100
tt0048055,The Far Country,7.1,8226,101
tt0033253,The Westerner,7.3,6477,102
tt0051087,The Tin Star,7.3,6245,103
tt0049743,7 Men from Now,7.4,5718,104
tt0066301,Rio Lobo,6.7,13113,105
tt0040978,Yellow Sky,7.4,5477,106
tt0065547,Chisum,6.8,10500,107
tt0821638,Bury My Heart at Wounded Knee,7.1,7078,108
tt0062472,The War Wagon,6.8,10403,109
tt0051047,The Tall T,7.3,5699,110
tt0060748,Nevada Smith,6.9,8754,111
tt0067770,Red Sun,6.8,10107,112
tt0039111,The Yearling,7.2,6207,113
tt0053434,Warlock,7.1,6684,114
tt0054292,Sergeant Rutledge,7.4,5043,115
tt0054757,The Comancheros,6.8,9639,116
tt0014358,The Pilgrim,7.3,5418,117
tt0054127,North to Alaska,6.9,8159,118
tt0066049,A Man Called Horse,6.8,9080,119
tt19860606,1883: The Road West,8.7,2302,120
tt0053220,Ride Lonesome,7.1,6038,121
tt0066612,Compañeros,7.3,4754,122
tt0063293,The Mercenary,7.1,5709,123
tt0068768,Joe Kidd,6.4,19920,124
tt0031235,Dodge City,7.1,5574,125
tt0069436,Ulzana's Raid,7.0,6205,126
tt0051433,The Bravados,7.0,6126,127
tt0038499,Duel in the Sun,6.7,9148,128
tt0060165,A Big Hand for the Little Lady,7.3,4483,129
tt0044205,Westward the Women,7.6,3522,130
tt0074740,Keoma,7.0,5907,131
tt0050407,Forty Guns,7.0,5812,132
tt0061709,Day of Anger,7.1,5211,133
tt0057812,7 Faces of Dr. Lao,7.1,5208,134
tt0043117,Wagon Master,7.1,5208,134
tt0052724,Day of the Outlaw,7.3,4209,136
tt0063811,Will Penny,7.1,5032,137
tt0107004,Geronimo: An American Legend,6.5,12660,138
tt0072735,Breakheart Pass,6.7,8200,139
tt0067333,Lawman,7.0,5373,140
tt0081696,Urban Cowboy,6.4,15938,141
tt0066390,Soldier Blue,6.9,5943,142
tt0015863,Go West,7.1,4730,143
tt0113617,Last of the Dogmen,6.9,5741,144
tt0074906,The Missouri Breaks,6.5,11396,145
tt0054428,The Unforgiven,6.6,9110,146
tt0039152,Angel and the Badman,6.8,6368,147
tt0052876,The Hanging Tree,7.1,4461,148
tt0061429,A Bullet for the General,7.0,4830,149
tt0042490,The Furies,7.3,3607,150
tt0031507,Jesse James,7.0,4765,151
tt0067809,Support Your Local Gunfighter,6.8,5974,152
tt2510028,Frontera,6.6,8238,153
tt0048233,Jubal,7.1,4182,154
tt5655222,The Hero,6.5,10114,155
tt2271563,Forsaken,6.4,13153,156
tt2557490,A Million Ways to Die in the West,6.1,193979,157
tt0045070,Rancho Notorious,6.9,5089,158
tt0066448,There Was a Crooked Man...,6.9,5039,159
tt0055558,Two Rode Together,6.7,6638,160
tt0068786,Junior Bonner,6.7,6619,161
tt0032536,Go West,6.8,5650,162
tt0039737,Pursued,7.2,3575,163
tt0212132,The Tracker,7.3,3187,164
tt0057940,Cheyenne Autumn,6.7,6072,165
tt0044419,The Big Sky,6.9,4585,166
tt0053729,Comanche Station,7.0,4079,167
tt0032273,Boom Town,7.1,3613,168
tt0068245,Bad Company,6.9,4455,169
tt0171410,The Jack Bull,6.8,4986,170
tt0216048,Oklahoma!,7.8,2102,171
tt0065542,The Cheyenne Social Club,6.8,4828,172
tt0049653,The Rainmaker,6.9,4156,173
tt0049201,The Fastest Gun Alive,7.1,3360,174
tt0064916,Sabata,6.7,5383,175
tt0041253,Colorado Territory,7.2,3023,176
tt0046808,Broken Lance,6.9,4069,177
tt0032080,Union Pacific,7.1,3239,178
tt0402348,Love's Enduring Promise,7.0,3554,179
tt0061636,Face to Face,7.1,3213,180
tt0049434,The Last Wagon,7.0,3500,181
tt9738716,The World to Come,6.4,9413,182
tt0052002,No Name on the Bullet,7.2,2881,183
tt0057687,Winnetou,6.8,4384,184
tt0218127,Crossfire Trail,7.0,3457,185
tt0066907,Chato's Land,6.6,5915,186
tt0043959,Rawhide,7.1,2988,187
tt0042998,Stars in My Crown,7.4,2305,188
tt0158131,Purgatory,6.8,4120,189
tt0067204,The Hired Hand,6.9,3595,190
tt0329390,Monte Walsh,7.1,2859,191
tt0037343,Tall in the Saddle,6.9,3358,192
tt0048340,Man Without a Star,6.8,3736,193
tt0067921,Valdez Is Coming,6.7,4273,194
tt0011439,The Mark of Zorro,7.1,2665,195
tt0062262,The Shooting,6.5,6038,196
tt0066093,Monte Walsh,7.0,2912,197
tt5923026,Marlina the Murderer in Four Acts,6.9,3241,198
tt0063557,The Scalphunters,6.7,4075,199
tt0040175,Blood on the Moon,6.9,3129,200
tt0056452,The Treasure of the Silver Lake,6.8,3444,201
tt0048789,The Violent Men,6.9,3049,202
tt0062708,Bandolero!,6.5,5473,203
tt0069834,Cahill U.S. Marshal,6.4,6915,204
tt8846176,Concrete Cowboy,6.3,9359,205
tt0060747,Neulovimye mstiteli,7.4,1892,206
tt0067388,Man in the Wilderness,6.8,3279,207
tt0040679,The Paleface,6.6,4380,208
tt0061787,Hour of the Gun,6.6,4343,209
tt0079020,Que Viva Mexico,7.4,1822,210
tt1530983,Red Hill,6.3,8904,211
tt0050296,Decision at Sundown,6.8,3195,212
tt0486420,Love's Long Journey,7.1,2308,213
tt0012543,The Paleface,6.8,3116,214
tt0072653,The Apple Dumpling Gang,6.4,6237,215
tt0101609,Conagher,7.2,1997,216
tt0055073,The Last Sunset,6.7,3442,217
tt0051437,Buchanan Rides Alone,6.8,2997,218
tt0032828,My Little Chickadee,6.8,2975,219
tt1484114,Reel Injun,7.5,1575,220
tt0051496,Cowboy,6.7,3343,221
tt0064860,Ace High,6.5,4604,222
tt0052190,The Sheepman,6.8,2858,223
tt0033226,Virginia City,6.8,2839,224
tt0038395,Canyon Passage,6.9,2517,225
tt0035369,The Spoilers,6.7,3128,226
tt0034384,Western Union,6.7,3082,227
tt4400994,The Ballad of Lefty Brown,6.3,7176,228
tt0017463,3 Bad Men,7.5,1419,229
tt0032983,The Return of Frank James,6.6,3536,230
tt0042395,Devil's Doorway,7.2,1761,231
tt0059250,The Hallelujah Trail,6.5,4231,232
tt0048691,The Tall Men,6.7,2991,233
tt0051848,The Law and Jake Wade,6.8,2606,234
tt0093811,The Quick and the Dead,6.9,2314,235
tt0067072,Evil Roy Slade,7.1,1852,236
tt0091091,Millionaires' Express,7.0,2033,237
tt0051690,Gunman's Walk,7.0,2031,238
tt3020666,Unbranded,7.3,1548,239
tt0056982,Business People,7.6,1257,240
tt3608930,In a Valley of Violence,6.1,20040,241
tt0060355,Duel at Diablo,6.5,3939,242
tt0218378,The Claim,6.3,6513,243
tt0071976,Rebellion in Patagonia,7.6,1223,244
tt0048806,Wichita,6.9,2169,245
tt0045177,Son of Paleface,6.8,2415,246
tt0041497,I Shot Jesse James,6.8,2414,247
tt0053825,Flaming Star,6.5,3787,248
