tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0903747,Breaking Bad,5,790455,9.6,1
tt2560140,Attack on Titan,3,561358,9.5,2
tt2560140,Attack on Titan,4,969779,9.5,3
tt7366338,Chernobyl,1,259274,9.5,4
tt0944947,Game of Thrones,6,722360,9.4,5
tt0944947,Game of Thrones,4,432749,9.3,6
tt3032476,Better Call Saul,6,351344,9.3,7
tt4158110,Mr. Robot,4,154559,9.4,8
tt7660850,Succession,4,112510,9.4,9
tt2560140,Attack on Titan,2,208316,9.3,10
tt2356777,True Detective,1,181070,9.3,11
tt0944947,Game of Thrones,3,397737,9.2,12
tt0903747,Breaking Bad,4,371355,9.1,13
tt0944947,Game of Thrones,7,418885,9.1,14
tt3032476,Better Call Saul,5,155815,9.2,15
tt1475582,Sherlock,2,106953,9.2,16
tt0944947,Game of Thrones,1,397290,9.0,17
tt13661118,Not Me,1,61472,9.3,18
tt5753856,Dark,2,103923,9.2,19
tt8111088,The Mandalorian,2,241559,9.0,20
tt11126994,Arcane,1,125666,9.1,21
tt5753856,Dark,3,120254,9.1,22
tt14650074,Dhindora,1,110737,9.1,23
tt0944947,Game of Thrones,5,408500,8.9,24
tt2243973,Hannibal,2,90180,9.1,25
tt9335498,Demon Slayer: Kimetsu no Yaiba,2,101726,9.1,26
tt1839578,Person of Interest,5,54934,9.3,27
tt4158110,Mr. Robot,3,76868,9.1,28
tt0475784,Westworld,1,192288,8.9,29
tt8317568,Broken But Beautiful,3,49227,9.3,30
tt0944947,Game of Thrones,2,333760,8.9,31
tt0417299,Avatar: The Last Airbender,3,105856,9.0,32
tt2861424,Rick and Morty,3,164998,8.9,33
tt4052886,Lucifer,4,69148,9.1,34
tt1839578,Person of Interest,4,79316,9.1,35
tt0185906,Band of Brothers,1,85534,9.0,36
tt3398228,BoJack Horseman,6,76009,9.1,37
tt2560140,Attack on Titan,1,381040,8.8,38
tt3322312,Daredevil,3,96992,9.0,39
tt1839578,Person of Interest,3,77699,9.0,40
tt10233448,Vinland Saga,1,73046,9.1,41
tt0903747,Breaking Bad,2,324220,8.8,42
tt1641384,Young Justice,2,59327,9.1,43
tt0773262,Dexter,4,70137,9.0,44
tt3322312,Daredevil,2,119374,8.9,45
tt0903747,Breaking Bad,3,331255,8.8,46
tt7657124,The Heroes,1,125489,8.9,47
tt2802850,Fargo,1,97733,8.9,48
tt4574334,Stranger Things,4,224700,8.8,49
tt0460681,Supernatural,5,117640,8.9,50
tt1475582,Sherlock,3,102203,8.9,51
tt1632701,Suits,5,49526,9.1,52
tt3032476,Better Call Saul,3,128625,8.9,53
tt7660850,Succession,3,63347,9.0,54
tt4574334,Stranger Things,1,185162,8.8,55
tt11198330,House of the Dragon,1,479076,8.7,56
tt0988818,Gintama,4,34792,9.3,57
tt7660850,Succession,2,65718,9.0,58
tt2802850,Fargo,2,78407,8.9,59
tt0458290,Star Wars: The Clone Wars,7,90783,8.9,60
tt3398228,BoJack Horseman,5,61150,9.0,61
tt1865718,Gravity Falls,2,61277,9.0,62
tt2699128,The Leftovers,2,56826,9.0,63
tt1641384,Young Justice,1,81277,8.9,64
tt0903747,Breaking Bad,1,208424,8.7,65
tt14392248,Aspirants,1,32380,9.3,66
tt3032476,Better Call Saul,1,174486,8.7,67
tt0388629,One Piece,1,1100852,8.6,68
tt2442560,Peaky Blinders,4,53121,9.0,69
tt0455275,Prison Break,1,107586,8.8,70
tt0412142,House,4,59163,8.9,71
tt2861424,Rick and Morty,2,143323,8.8,72
tt10233448,Vinland Saga,2,52199,9.0,73
tt0141842,The Sopranos,6,132390,8.8,74
tt1641384,Young Justice,3,71508,8.9,75
tt1190634,The Boys,3,121358,8.8,76
tt0141842,The Sopranos,3,90232,8.8,77
tt2699128,The Leftovers,3,42511,9.0,78
tt3322312,Daredevil,1,144352,8.7,79
tt3581920,The Last of Us,1,784036,8.6,80
tt4158110,Mr. Robot,1,119119,8.7,81
tt5348176,Barry,2,42651,9.0,82
tt7441658,Black Clover,4,27423,9.3,83
tt0248654,Six Feet Under,5,29820,9.2,84
tt3107288,The Flash,1,166194,8.7,85
tt1710308,Regular Show,2,90089,8.8,86
tt9544034,The Family Man,2,40107,9.0,87
tt2193021,Arrow,2,118790,8.7,88
tt0773262,Dexter,1,84534,8.8,89
tt5675620,The Punisher,1,97800,8.7,90
tt0460681,Supernatural,4,120787,8.7,91
tt8420184,The Last Dance,1,34800,9.1,92
tt0141842,The Sopranos,5,80044,8.8,93
tt3032476,Better Call Saul,4,113069,8.7,94
tt1439629,Community,3,102652,8.7,95
tt0460681,Supernatural,2,134149,8.7,96
tt1839578,Person of Interest,2,68877,8.8,97
tt0417299,Avatar: The Last Airbender,2,88253,8.7,98
tt0411008,Lost,4,83976,8.7,99
tt0411008,Lost,1,165413,8.6,100
tt7657124,The Heroes,2,80225,8.7,101
tt0773262,Dexter,2,64884,8.8,102
tt0773262,Dexter,7,62751,8.8,103
tt2243973,Hannibal,3,75102,8.7,104
tt1710308,Regular Show,8,76890,8.7,105
tt2359704,JoJo's Bizarre Adventure,4,46823,8.9,106
tt5555260,This Is Us,1,60842,8.8,107
tt1439629,Community,2,115031,8.6,108
tt6741278,Invincible,1,65789,8.8,109
tt6763664,The Haunting of Hill House,1,92401,8.7,110
tt1856010,House of Cards,2,64214,8.8,111
tt2861424,Rick and Morty,1,163557,8.6,112
tt2707408,Narcos,2,52257,8.8,113
tt5753856,Dark,1,127590,8.6,114
tt9140554,Loki,1,154034,8.6,115
tt8772296,Euphoria,2,61036,8.8,116
tt0108778,Friends,10,89362,8.7,117
tt3398228,BoJack Horseman,4,59823,8.8,118
tt14986406,Bleach: Thousand-Year Blood War,1,48170,8.8,119
tt8806524,Star Trek: Picard,3,47113,8.8,120
tt0303461,Firefly,1,69072,8.7,121
tt1475582,Sherlock,1,100611,8.6,122
tt0108778,Friends,5,124584,8.6,123
tt12343534,Jujutsu Kaisen,1,75079,8.7,124
tt1190634,The Boys,2,103452,8.6,125
tt1520211,The Walking Dead,1,107649,8.6,126
tt4508902,One Punch Man,1,50517,8.8,127
tt0141842,The Sopranos,1,105977,8.6,128
tt0411008,Lost,3,131927,8.6,129
tt5555260,This Is Us,2,49254,8.8,130
tt0141842,The Sopranos,2,88890,8.6,131
tt4158110,Mr. Robot,2,86339,8.6,132
tt0460681,Supernatural,11,84057,8.6,133
tt3230854,The Expanse,3,43051,8.8,134
tt1520211,The Walking Dead,5,220371,8.5,135
tt1839578,Person of Interest,1,85152,8.6,136
tt4179452,The Last Kingdom,3,31971,8.9,137
tt1190634,The Boys,1,109485,8.6,138
tt4574334,Stranger Things,3,168974,8.5,139
tt0460681,Supernatural,3,94921,8.6,140
tt0396991,LazyTown,4,13293,9.6,141
tt2442560,Peaky Blinders,2,52808,8.7,142
tt0994314,Code Geass,2,28690,9.0,143
tt8111088,The Mandalorian,1,228867,8.5,144
tt0411008,Lost,5,85578,8.6,145
tt1442449,Spartacus,3,33331,8.9,146
tt2442560,Peaky Blinders,3,48439,8.7,147
tt0412142,House,6,61463,8.7,148
tt3398228,BoJack Horseman,3,57383,8.7,149
tt7049682,Watchmen,1,73115,8.6,150
tt3032476,Better Call Saul,2,119633,8.5,151
tt3107288,The Flash,2,118876,8.5,152
tt4093826,Twin Peaks,1,85952,8.6,153
tt2431438,Sense8,2,40764,8.8,154
tt4052886,Lucifer,2,83604,8.6,155
tt2395695,Cosmos: A Spacetime Odyssey,1,26472,9.0,156
tt0306414,The Wire,3,48818,8.7,157
tt1710308,Regular Show,3,112672,8.5,158
tt2707408,Narcos,1,63943,8.6,159
tt0306414,The Wire,4,48964,8.7,160
tt1710308,Regular Show,6,75590,8.6,161
tt1641384,Young Justice,4,36425,8.8,162
tt2193021,Arrow,3,113116,8.5,163
tt4288182,Atlanta,2,36366,8.8,164
tt3061046,Steven Universe,5,36665,8.8,165
tt1124373,Sons of Anarchy,7,39163,8.8,166
tt1567432,Teen Wolf,3,39264,8.8,167
tt2306299,Vikings,4,108632,8.5,168
tt0206512,SpongeBob SquarePants,2,26078,9.0,169
tt5071412,Ozark,3,51860,8.7,170
tt5687612,Fleabag,2,27595,8.9,171
tt3006802,Outlander,1,82615,8.6,172
tt8788458,The Promised Neverland,1,24659,9.0,173
tt0386676,The Office,3,140397,8.5,174
