tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt2560140,Attack on Titan,3,561108,9.5,1
tt2560140,Attack on Titan,4,969335,9.5,2
tt0944947,Game of Thrones,6,722199,9.4,3
tt0944947,Game of Thrones,4,432599,9.3,4
tt0944947,Game of Thrones,3,397593,9.2,5
tt2560140,Attack on Titan,2,208197,9.3,6
tt0944947,Game of Thrones,7,418809,9.1,7
tt0944947,Game of Thrones,1,397140,9.0,8
tt0944947,Game of Thrones,5,408408,8.9,9
tt8111088,The Mandalorian,2,241530,9.0,10
tt0944947,Game of Thrones,2,333650,8.9,11
tt11126994,Arcane,1,125619,9.1,12
tt2560140,Attack on Titan,1,380701,8.8,13
tt9335498,Demon Slayer: Kimetsu no Yaiba,2,101603,9.1,14
tt11198330,House of the Dragon,1,478960,8.7,15
tt0417299,Avatar: The Last Airbender,3,105815,9.0,16
tt0388629,One Piece,1,1097146,8.6,17
tt13661118,Not Me,1,61467,9.3,18
tt3322312,Daredevil,2,119374,8.9,19
tt3581920,The Last of Us,1,783714,8.6,20
tt3322312,Daredevil,3,96947,9.0,21
tt1839578,Person of Interest,4,79304,9.1,22
tt1839578,Person of Interest,5,54932,9.3,23
tt1839578,Person of Interest,3,77689,9.0,24
tt10233448,Vinland Saga,1,72825,9.1,25
tt3107288,The Flash,1,166131,8.7,26
tt1641384,Young Justice,2,59312,9.1,27
tt3322312,Daredevil,1,144327,8.7,28
tt0458290,Star Wars: The Clone Wars,7,90748,8.9,29
tt0455275,Prison Break,1,107516,8.8,30
tt1190634,The Boys,3,121270,8.8,31
tt1641384,Young Justice,1,81277,8.9,32
tt2193021,Arrow,2,118782,8.7,33
tt1641384,Young Justice,3,71505,8.9,34
tt5675620,The Punisher,1,97793,8.7,35
tt1710308,Regular Show,2,90036,8.8,36
tt9140554,Loki,1,154022,8.6,37
tt0417299,Avatar: The Last Airbender,2,88222,8.7,38
tt10233448,Vinland Saga,2,51656,9.0,39
tt8111088,The Mandalorian,1,228830,8.5,40
tt1839578,Person of Interest,2,68863,8.8,41
tt0988818,Gintama,4,34793,9.3,42
tt1710308,Regular Show,8,76884,8.7,43
tt1190634,The Boys,2,103375,8.6,44
tt5348176,Barry,2,42586,9.0,45
tt1190634,The Boys,1,109411,8.6,46
tt6741278,Invincible,1,65737,8.8,47
tt3107288,The Flash,2,118842,8.5,48
tt12343534,Jujutsu Kaisen,1,74962,8.7,49
tt1710308,Regular Show,3,112660,8.5,50
tt9544034,The Family Man,2,40098,9.0,51
tt2193021,Arrow,3,113109,8.5,52
tt1839578,Person of Interest,1,85142,8.6,53
tt2306299,Vikings,4,108591,8.5,54
