tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt2560140,Attack on Titan,3,561226,9.5,1
tt2560140,Attack on Titan,4,969550,9.5,2
tt0944947,Game of Thrones,6,722311,9.4,3
tt0944947,Game of Thrones,4,432672,9.3,4
tt0944947,Game of Thrones,3,397669,9.2,5
tt0944947,Game of Thrones,7,418871,9.1,6
tt2560140,Attack on Titan,2,208269,9.3,7
tt0944947,Game of Thrones,1,397216,9.0,8
tt0944947,Game of Thrones,5,408474,8.9,9
tt8111088,The Mandalorian,2,241551,9.0,10
tt0944947,Game of Thrones,2,333708,8.9,11
tt2560140,Attack on Titan,1,380917,8.8,12
tt11126994,Arcane,1,125646,9.1,13
tt2861424,Rick and Morty,3,164958,8.9,14
tt9335498,Demon Slayer: Kimetsu no Yaiba,2,101675,9.1,15
tt11198330,House of the Dragon,1,479041,8.7,16
tt0388629,One Piece,1,1098694,8.6,17
tt0417299,Avatar: The Last Airbender,3,105839,9.0,18
tt3581920,The Last of Us,1,783837,8.6,19
tt10233448,Vinland Saga,1,72946,9.1,20
tt2861424,Rick and Morty,2,143296,8.8,21
tt3107288,The Flash,1,166156,8.7,22
tt0458290,Star Wars: The Clone Wars,7,90760,8.9,23
tt1641384,Young Justice,2,59319,9.1,24
tt1641384,Young Justice,1,81277,8.9,25
tt0411008,Lost,1,165414,8.6,26
tt2193021,Arrow,2,118786,8.7,27
tt1865718,Gravity Falls,2,61240,9.0,28
tt1641384,Young Justice,3,71505,8.9,29
tt1710308,Regular Show,2,90055,8.8,30
tt2861424,Rick and Morty,1,163529,8.6,31
tt9140554,Loki,1,154031,8.6,32
tt0417299,Avatar: The Last Airbender,2,88240,8.7,33
tt8111088,The Mandalorian,1,228856,8.5,34
tt0411008,Lost,4,83995,8.7,35
tt10233448,Vinland Saga,2,51883,9.0,36
tt0411008,Lost,3,131951,8.6,37
tt1710308,Regular Show,8,76887,8.7,38
tt3107288,The Flash,2,118846,8.5,39
tt6741278,Invincible,1,65754,8.8,40
tt12343534,Jujutsu Kaisen,1,75012,8.7,41
tt1710308,Regular Show,3,112662,8.5,42
tt0303461,Firefly,1,69067,8.7,43
tt2193021,Arrow,3,113112,8.5,44
tt0411008,Lost,2,129690,8.5,45
tt2306299,Vikings,4,108615,8.5,46
tt0411008,Lost,5,85591,8.6,47
tt2098220,Hunter x Hunter,1,185004,8.4,48
tt2359704,JoJo's Bizarre Adventure,4,46778,8.9,49
tt9335498,Demon Slayer: Kimetsu no Yaiba,1,101811,8.5,50
tt1710308,Regular Show,6,75588,8.6,51
tt1355642,Fullmetal Alchemist: Brotherhood,1,116539,8.5,52
tt14986406,Bleach: Thousand-Year Blood War,1,48137,8.8,53
tt8806524,Star Trek: Picard,3,47033,8.8,54
tt7441658,Black Clover,4,27417,9.3,55
tt2861424,Rick and Morty,4,120833,8.4,56
tt1710308,Regular Show,7,94268,8.5,57
tt0436992,Doctor Who,4,107201,8.4,58
tt5180504,The Witcher,1,159857,8.3,59
tt2364582,Agents of S.H.I.E.L.D.,4,59534,8.6,60
tt9253284,Andor,1,148641,8.3,61
tt1710308,Regular Show,4,101094,8.4,62
tt1442449,Spartacus,3,33317,8.9,63
tt1641384,Young Justice,4,36425,8.8,64
tt3061046,Steven Universe,5,36641,8.8,65
tt0411008,Lost,6,93161,8.4,66
tt1710308,Regular Show,5,98081,8.3,67
tt0436992,Doctor Who,3,116772,8.3,68
tt2193021,Arrow,1,123158,8.3,69
tt2306299,Vikings,2,57726,8.5,70
tt2306299,Vikings,3,54648,8.5,71
tt2364582,Agents of S.H.I.E.L.D.,2,76477,8.4,72
tt2364582,Agents of S.H.I.E.L.D.,3,64885,8.5,73
tt2364582,Agents of S.H.I.E.L.D.,5,53912,8.5,74
tt1710308,Regular Show,1,41591,8.7,75
tt2193021,Arrow,5,77804,8.4,76
tt1442449,Spartacus,1,49030,8.6,77
tt0436992,Doctor Who,,68945,8.4,78
tt13146488,Peacemaker,1,56226,8.5,79
tt1695360,The Legend of Korra,3,31739,8.8,80
tt8788458,The Promised Neverland,1,24659,9.0,81
tt0417299,Avatar: The Last Airbender,1,94510,8.3,82
tt2359704,JoJo's Bizarre Adventure,5,31599,8.8,83
tt5607616,Re: Zero， Starting Life in Another World,2,26192,8.9,84
tt2560140,Attack on Titan,,41592,8.5,85
tt13616990,Chainsaw Man,1,38332,8.6,86
tt0213338,Cowboy Bebop,1,75537,8.3,87
tt0396991,LazyTown,4,13293,9.6,88
tt1636691,Generator Rex,3,25587,8.8,89
tt0436992,Doctor Who,5,95192,8.2,90
tt0436992,Doctor Who,9,84347,8.2,91
tt6342474,Boruto: Naruto Next Generations,1,146325,8.1,92
tt8050756,The Owl House,2,20756,9.0,93
tt0976192,The Spectacular Spider-Man,2,24321,8.8,94
tt0976192,The Spectacular Spider-Man,1,25945,8.8,95
tt3061046,Steven Universe,3,30910,8.6,96
tt5626028,My Hero Academia,3,37124,8.5,97
tt0458290,Star Wars: The Clone Wars,5,65943,8.2,98
tt2359704,JoJo's Bizarre Adventure,3,39289,8.4,99
tt5626028,My Hero Academia,4,36540,8.5,100
tt10234724,Moon Knight,1,117586,8.1,101
tt0436992,Doctor Who,6,92399,8.1,102
tt8416494,Doom Patrol,1,39603,8.4,103
tt0988824,Naruto: Shippuden,1,252060,8.0,104
tt1865718,Gravity Falls,1,56699,8.2,105
tt7745956,She-Ra and the Princesses of Power,5,16349,9.1,106
tt5626028,My Hero Academia,6,23407,8.7,107
tt1442449,Spartacus,2,29896,8.5,108
tt0149460,Futurama,5,43218,8.3,109
tt1843230,Once Upon a Time,3,36062,8.4,110
tt9335498,Demon Slayer: Kimetsu no Yaiba,3,25618,8.6,111
tt1695360,The Legend of Korra,1,31672,8.5,112
tt1312171,The Umbrella Academy,2,41173,8.3,113
tt12590266,Cyberpunk: Edgerunners,1,36466,8.4,114
tt1636691,Generator Rex,2,21945,8.7,115
tt7016936,Killing Eve,1,36203,8.4,116
tt1305826,Adventure Time,7,34969,8.4,117
tt0278238,Samurai Jack,5,12823,9.3,118
tt2364582,Agents of S.H.I.E.L.D.,7,27255,8.5,119
tt13668894,The Book of Boba Fett,1,141717,8.0,120
tt1636691,Generator Rex,1,24290,8.6,121
tt5180504,The Witcher,2,84074,8.1,122
tt3061046,Steven Universe,2,31588,8.4,123
tt2359704,JoJo's Bizarre Adventure,2,45941,8.2,124
tt1758429,Spartacus: Gods of the Arena,1,23387,8.6,125
tt2930604,Star Wars: Rebels,2,50206,8.2,126
tt0103359,Batman: The Animated Series,1,117232,8.0,127
tt3107288,The Flash,3,94268,8.0,128
tt1843230,Once Upon a Time,1,53201,8.2,129
tt1305826,Adventure Time,5,78436,8.1,130
tt0407362,Battlestar Galactica,4,35191,8.3,131
tt12063450,To Your Eternity,1,15730,8.9,132
tt11192306,Superman & Lois,1,33207,8.3,133
tt1043813,Titans,1,46709,8.2,134
tt2193021,Arrow,8,25268,8.5,135
tt1695360,The Legend of Korra,4,25790,8.5,136
tt2930604,Star Wars: Rebels,4,30555,8.4,137
tt11247158,The Legend of Vox Machina,1,23480,8.5,138
tt2375692,Black Sails,3,17957,8.7,139
tt6994156,Close Enough,1,23072,8.5,140
tt0436992,Doctor Who,1,104371,8.0,141
tt2193021,Arrow,7,48962,8.2,142
tt6994156,Close Enough,2,21928,8.6,143
tt2364582,Agents of S.H.I.E.L.D.,1,98663,8.0,144
tt2375692,Black Sails,2,21073,8.6,145
