tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt2560140,Attack on Titan,3,561226,9.5,1
tt2560140,Attack on Titan,4,969550,9.5,2
tt2560140,Attack on Titan,2,208269,9.3,3
tt11126994,Arcane,1,125646,9.1,4
tt9335498,Demon Slayer: Kimetsu no Yaiba,2,101675,9.1,5
tt2560140,Attack on Titan,1,380917,8.8,6
tt2861424,Rick and Morty,3,164958,8.9,7
tt0417299,Avatar: The Last Airbender,3,105839,9.0,8
tt3398228,BoJack Horseman,6,75999,9.1,9
tt7657124,The Heroes,1,125483,8.9,10
tt0388629,One Piece,1,1098694,8.6,11
tt10233448,Vinland Saga,1,72946,9.1,12
tt1641384,Young Justice,2,59319,9.1,13
tt0458290,Star Wars: The Clone Wars,7,90760,8.9,14
tt2861424,Rick and Morty,2,143296,8.8,15
tt1641384,Young Justice,1,81277,8.9,16
tt3398228,BoJack Horseman,5,61147,9.0,17
tt1865718,Gravity Falls,2,61240,9.0,18
tt1641384,Young Justice,3,71505,8.9,19
tt1710308,Regular Show,2,90055,8.8,20
tt10233448,Vinland Saga,2,51883,9.0,21
tt0988818,Gintama,4,34797,9.3,22
tt2861424,Rick and Morty,1,163529,8.6,23
tt0417299,Avatar: The Last Airbender,2,88240,8.7,24
tt7657124,The Heroes,2,80220,8.7,25
tt1710308,Regular Show,8,76887,8.7,26
tt6741278,Invincible,1,65754,8.8,27
tt12343534,Jujutsu Kaisen,1,75012,8.7,28
tt7441658,Black Clover,4,27417,9.3,29
tt2359704,JoJo's Bizarre Adventure,4,46778,8.9,30
tt3398228,BoJack Horseman,4,59798,8.8,31
tt1710308,Regular Show,3,112662,8.5,32
tt14986406,Bleach: Thousand-Year Blood War,1,48137,8.8,33
tt4508902,One Punch Man,1,50503,8.8,34
tt1710308,Regular Show,6,75588,8.6,35
tt9335498,Demon Slayer: Kimetsu no Yaiba,1,101811,8.5,36
tt3398228,BoJack Horseman,3,57360,8.7,37
tt2098220,Hunter x Hunter,1,185004,8.4,38
tt1355642,Fullmetal Alchemist: Brotherhood,1,116539,8.5,39
tt2861424,Rick and Morty,4,120833,8.4,40
tt1710308,Regular Show,7,94268,8.5,41
tt1641384,Young Justice,4,36425,8.8,42
tt0994314,Code Geass,2,28686,9.0,43
tt3061046,Steven Universe,5,36641,8.8,44
tt0121955,South Park,8,48261,8.6,45
tt1710308,Regular Show,1,41591,8.7,46
tt0206512,SpongeBob SquarePants,2,26074,9.0,47
tt0096697,The Simpsons,6,83271,8.4,48
tt0121955,South Park,5,50093,8.6,49
tt1710308,Regular Show,4,101094,8.4,50
tt0096697,The Simpsons,7,79735,8.4,51
tt8788458,The Promised Neverland,1,24659,9.0,52
tt0121955,South Park,11,49234,8.6,53
tt1695360,The Legend of Korra,3,31739,8.8,54
tt1710308,Regular Show,5,98081,8.3,55
tt0096697,The Simpsons,5,75846,8.4,56
tt5607616,Re: Zero， Starting Life in Another World,2,26192,8.9,57
tt2359704,JoJo's Bizarre Adventure,5,31599,8.8,58
tt0096697,The Simpsons,8,81376,8.3,59
tt0096697,The Simpsons,4,79208,8.3,60
tt0877057,Death Note,1,154180,8.2,61
tt2560140,Attack on Titan,,41592,8.5,62
tt13616990,Chainsaw Man,1,38332,8.6,63
tt0121955,South Park,6,52604,8.4,64
tt1636691,Generator Rex,3,25587,8.8,65
tt0417299,Avatar: The Last Airbender,1,94510,8.3,66
tt8050756,The Owl House,2,20756,9.0,67
tt7678620,Bluey,2,18449,9.1,68
tt0976192,The Spectacular Spider-Man,2,24321,8.8,69
tt0976192,The Spectacular Spider-Man,1,25945,8.8,70
tt0121955,South Park,10,49954,8.4,71
tt0213338,Cowboy Bebop,1,75537,8.3,72
tt13196080,Tokyo Revengers,1,28538,8.7,73
tt0121955,South Park,9,44697,8.4,74
tt0206512,SpongeBob SquarePants,3,22062,8.8,75
tt3061046,Steven Universe,3,30910,8.6,76
tt0121955,South Park,7,46189,8.4,77
tt5626028,My Hero Academia,3,37124,8.5,78
tt7745956,She-Ra and the Princesses of Power,5,16349,9.1,79
tt0434706,Monster,1,48999,8.3,80
tt2359704,JoJo's Bizarre Adventure,3,39289,8.4,81
tt5626028,My Hero Academia,4,36540,8.5,82
tt7657124,The Heroes,3,18895,8.9,83
tt1910272,Steins;Gate,1,34704,8.5,84
tt0096697,The Simpsons,3,85833,8.2,85
tt5626028,My Hero Academia,6,23407,8.7,86
tt0278238,Samurai Jack,5,12823,9.3,87
tt6342474,Boruto: Naruto Next Generations,1,146325,8.1,88
tt0206512,SpongeBob SquarePants,1,28173,8.6,89
tt9335498,Demon Slayer: Kimetsu no Yaiba,3,25618,8.6,90
tt0458290,Star Wars: The Clone Wars,5,65943,8.2,91
tt1636691,Generator Rex,2,21945,8.7,92
tt1695360,The Legend of Korra,1,31672,8.5,93
tt0149460,Futurama,5,43218,8.3,94
tt12590266,Cyberpunk: Edgerunners,1,36466,8.4,95
tt1865718,Gravity Falls,1,56699,8.2,96
tt1305826,Adventure Time,7,34969,8.4,97
tt1636691,Generator Rex,1,24290,8.6,98
tt7078180,Violet Evergarden,1,19122,8.8,99
tt3398228,BoJack Horseman,2,53577,8.2,100
tt3061046,Steven Universe,2,31588,8.4,101
tt0988818,Gintama,2,20128,8.7,102
tt12063450,To Your Eternity,1,15730,8.9,103
tt0988824,Naruto: Shippuden,1,252060,8.0,104
tt2359704,JoJo's Bizarre Adventure,2,45941,8.2,105
tt1695360,The Legend of Korra,4,25790,8.5,106
tt11247158,The Legend of Vox Machina,1,23480,8.5,107
tt2930604,Star Wars: Rebels,2,50206,8.2,108
tt6994156,Close Enough,1,23072,8.5,109
tt6517102,Castlevania,4,17028,8.8,110
tt2930604,Star Wars: Rebels,4,30555,8.4,111
tt6994156,Close Enough,2,21928,8.6,112
tt0988818,Gintama,1,64284,8.1,113
tt1305826,Adventure Time,5,78436,8.1,114
tt5897304,Mob Psycho 100,2,14074,8.9,115
tt0103359,Batman: The Animated Series,1,117232,8.0,116
tt1305826,Adventure Time,8,33687,8.3,117
tt7441658,Black Clover,2,28705,8.4,118
tt0096697,The Simpsons,2,86940,8.0,119
tt2861424,Rick and Morty,6,56759,8.1,120
tt1695360,The Legend of Korra,2,33796,8.3,121
tt13293588,Mushoku Tensei: Jobless Reincarnation,1,27329,8.3,122
tt3061046,Steven Universe,1,72345,8.0,123
tt0214341,Dragon Ball Z,4,46881,8.1,124
tt0121955,South Park,4,46788,8.1,125
tt0112159,Neon Genesis Evangelion,1,49115,8.1,126
tt0458290,Star Wars: The Clone Wars,4,67440,8.0,127
tt3718778,Over the Garden Wall,1,20477,8.4,128
tt0121955,South Park,13,40126,8.1,129
tt3895150,Your Lie in April,1,16957,8.5,130
tt0149460,Futurama,3,40937,8.1,131
tt20723374,Tales of the Jedi,1,27135,8.2,132
tt0121955,South Park,14,37545,8.1,133
tt5626028,My Hero Academia,2,33556,8.2,134
tt13409432,Ranking of Kings,1,14037,8.7,135
tt1305826,Adventure Time,10,18556,8.4,136
tt3061046,Steven Universe,4,28731,8.2,137
tt2930604,Star Wars: Rebels,3,43761,8.1,138
tt1305826,Adventure Time,6,60111,8.0,139
tt10332508,Primal,1,12170,8.8,140
tt13706018,Spy x Family,1,29745,8.2,141
tt5514358,Steins;Gate 0,1,13622,8.6,142
tt7658402,Harley Quinn,2,16790,8.5,143
tt3398540,Haikyu!!,4,12248,8.7,144
