tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt8420184,The Last Dance,1,34801,9.1,1
tt7137906,When They See Us,1,23386,9.0,2
tt1442449,Spartacus,3,33317,8.9,3
tt2707408,Narcos,2,52249,8.8,4
tt12392504,Scam 1992: The Harshad Mehta Story,1,19500,9.0,5
tt2707408,Narcos,1,63916,8.6,6
tt2707408,Narcos,3,40241,8.6,7
tt1442449,Spartacus,1,49030,8.6,8
tt4786824,The Crown,2,45130,8.6,9
tt2788432,American Crime Story,1,36007,8.6,10
tt4786824,The Crown,1,54053,8.5,11
tt1758429,Spartacus: Gods of the Arena,1,23387,8.6,12
tt4786824,The Crown,4,38402,8.5,13
tt1442449,Spartacus,2,29896,8.5,14
tt4786824,The Crown,3,46566,8.5,15
tt9735318,The Beatles: Get Back,1,5126,9.1,16
tt1984119,Feud,1,9422,8.7,17
tt11639952,Young Rock,1,22936,8.4,18
tt18363546,Ukraine on Fire 2,1,2178,9.9,19
tt13111040,The Offer,1,11152,8.5,20
tt7211618,Gentleman Jack,1,6580,8.6,21
tt2094262,Da Vinci's Demons,2,10010,8.5,22
tt11639952,Young Rock,2,8575,8.5,23
tt2063241,Farouk Omar,1,2862,9.2,24
tt0364151,American Masters,19,12547,8.3,25
tt4301160,Black Bird,1,14424,8.3,26
tt4299972,The Jinx: The Life and Deaths of Robert Durst,1,5911,8.5,27
tt0074006,I， Claudius,1,4483,8.6,28
tt5673782,Genius,1,7792,8.3,29
tt10244600,Winning Time: The Rise of the Lakers Dynasty,1,9476,8.2,30
tt13207736,Monsters,1,46119,8.0,31
tt2788432,American Crime Story,2,22064,8.0,32
tt5618256,Manhunt,1,12722,8.1,33
tt2235759,The Great,2,6040,8.3,34
tt8682948,The Act,1,7485,8.2,35
tt2094262,Da Vinci's Demons,1,10047,8.1,36
tt0472027,John Adams,1,5423,8.2,37
tt5137338,Victoria,1,6271,8.2,38
tt10383046,Veneno,1,2218,8.7,39
tt5137338,Victoria,2,5510,8.2,40
tt11000902,Our Flag Means Death,1,16752,7.9,41
tt8518136,Dickinson,1,6999,8.1,42
tt1815138,Mokhtarnameh,1,2666,8.4,43
tt8518136,Dickinson,3,3732,8.2,44
tt9113406,Wu-Tang: An American Saga,2,2546,8.4,45
tt10975574,Julia,1,2589,8.4,46
tt6958022,The Defiant Ones,1,1690,8.7,47
tt6866266,Escape at Dannemora,1,6534,8.0,48
tt9244556,Mrs. America,1,5821,8.0,49
tt2235759,The Great,1,10579,7.9,50
tt0085107,Wagner,1,897,9.2,51
tt10198576,Century of Cinema,1,6837,8.0,52
tt2788432,American Crime Story,3,9892,7.9,53
tt12222224,The Choice,1,1402,8.7,54
tt9113406,Wu-Tang: An American Saga,1,3434,8.1,55
tt13679628,McCartney 3，2，1,1,1066,8.9,56
tt8746478,Fosse/Verdon,1,3633,8.1,57
tt11291234,Dogru Kariyer,1,533,10.0,58
tt17921714,A Small Light,1,1856,8.4,59
tt11639952,Young Rock,3,4033,8.0,60
tt14586350,Love & Death,1,8597,7.9,61
