tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt7660850,Succession,4,112510,9.4,1
tt14650074,Dhindora,1,110737,9.1,2
tt3398228,BoJack Horseman,6,76009,9.1,3
tt0988818,Gintama,4,34792,9.3,4
tt2861424,Rick and Morty,3,164998,8.9,5
tt1632701,Suits,5,49526,9.1,6
tt7660850,Succession,3,63347,9.0,7
tt0248654,Six Feet Under,5,29820,9.2,8
tt7660850,Succession,2,65718,9.0,9
tt3398228,BoJack Horseman,5,61150,9.0,10
tt1865718,Gravity Falls,2,61277,9.0,11
tt5348176,Barry,2,42651,9.0,12
tt9544034,The Family Man,2,40107,9.0,13
tt0396991,LazyTown,4,13293,9.6,14
tt2861424,Rick and Morty,2,143323,8.8,15
tt1190634,The Boys,3,121358,8.8,16
tt5555260,This Is Us,1,60842,8.8,17
tt1439629,Community,3,102652,8.7,18
tt3398228,BoJack Horseman,4,59823,8.8,19
tt4508902,One Punch Man,1,50517,8.8,20
tt5555260,This Is Us,2,49254,8.8,21
tt0206512,SpongeBob SquarePants,2,26078,9.0,22
tt1439629,Community,2,115031,8.6,23
tt5687612,Fleabag,2,27595,8.9,24
tt0108778,Friends,10,89362,8.7,25
tt4288182,Atlanta,2,36366,8.8,26
tt2861424,Rick and Morty,1,163557,8.6,27
tt1190634,The Boys,2,103452,8.6,28
tt0108778,Friends,5,124584,8.6,29
tt3398228,BoJack Horseman,3,57383,8.7,30
tt1632701,Suits,4,38269,8.8,31
tt0472954,It's Always Sunny in Philadelphia,4,43497,8.7,32
tt1190634,The Boys,1,109485,8.6,33
tt0484803,Hollyoaks: Let Loose,1,7675,9.8,34
tt5348176,Barry,3,31161,8.8,35
tt0472954,It's Always Sunny in Philadelphia,10,32003,8.8,36
tt0121955,South Park,8,48286,8.6,37
tt1586680,Shameless,4,27006,8.8,38
tt14452776,The Bear,2,14818,9.1,39
tt5555260,This Is Us,4,26835,8.8,40
tt0193676,Freaks and Geeks,1,34376,8.7,41
tt0098904,Seinfeld,4,94908,8.5,42
tt5555260,This Is Us,6,25898,8.8,43
tt0206512,SpongeBob SquarePants,3,22064,8.8,44
tt14261264,Dracula,1,35857,8.7,45
tt0386676,The Office,3,140397,8.5,46
tt10986410,Ted Lasso,1,68854,8.5,47
tt4635276,Master of None,2,21729,8.8,48
tt0386676,The Office,5,143243,8.5,49
tt0098904,Seinfeld,5,83545,8.5,50
tt0121955,South Park,5,50128,8.6,51
tt0386676,The Office,4,84270,8.5,52
tt0098904,Seinfeld,8,74907,8.5,53
tt0098904,Seinfeld,7,77090,8.5,54
tt0121955,South Park,11,49259,8.6,55
tt0472954,It's Always Sunny in Philadelphia,5,34948,8.6,56
