tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0903747,Breaking Bad,5,790209,9.6,1
tt3032476,Better Call Saul,6,351133,9.3,2
tt4158110,Mr. Robot,4,154523,9.4,3
tt2356777,True Detective,1,181010,9.3,4
tt0903747,Breaking Bad,4,371197,9.1,5
tt3032476,Better Call Saul,5,155721,9.2,6
tt1475582,Sherlock,2,106934,9.2,7
tt5753856,Dark,2,103908,9.2,8
tt13661118,Not Me,1,61472,9.3,9
tt5753856,Dark,3,120229,9.1,10
tt2243973,Hannibal,2,90164,9.1,11
tt4158110,Mr. Robot,3,76836,9.1,12
tt1839578,Person of Interest,5,54932,9.3,13
tt4052886,Lucifer,4,69145,9.1,14
tt1839578,Person of Interest,4,79309,9.1,15
tt3322312,Daredevil,3,96990,9.0,16
tt0903747,Breaking Bad,2,324059,8.8,17
tt1839578,Person of Interest,3,77690,9.0,18
tt3322312,Daredevil,2,119381,8.9,19
tt0773262,Dexter,4,70120,9.0,20
tt0903747,Breaking Bad,3,331109,8.8,21
tt2802850,Fargo,1,97733,8.9,22
tt3032476,Better Call Saul,3,128549,8.9,23
tt1475582,Sherlock,3,102189,8.9,24
tt2802850,Fargo,2,78405,8.9,25
tt0903747,Breaking Bad,1,208320,8.7,26
tt3032476,Better Call Saul,1,174370,8.7,27
tt0455275,Prison Break,1,107520,8.8,28
tt0141842,The Sopranos,6,132303,8.8,29
tt2442560,Peaky Blinders,4,53108,9.0,30
tt1190634,The Boys,3,121327,8.8,31
tt3322312,Daredevil,1,144359,8.7,32
tt0141842,The Sopranos,3,90181,8.8,33
tt4158110,Mr. Robot,1,119092,8.7,34
tt5348176,Barry,2,42610,9.0,35
tt2193021,Arrow,2,118786,8.7,36
tt0773262,Dexter,1,84520,8.8,37
tt5675620,The Punisher,1,97795,8.7,38
tt3032476,Better Call Saul,4,112993,8.7,39
tt0141842,The Sopranos,5,80009,8.8,40
tt1839578,Person of Interest,2,68872,8.8,41
tt0773262,Dexter,2,64859,8.8,42
tt2243973,Hannibal,3,75098,8.7,43
tt0773262,Dexter,7,62750,8.8,44
tt5753856,Dark,1,127570,8.6,45
tt2707408,Narcos,2,52253,8.8,46
tt1475582,Sherlock,1,100587,8.6,47
tt1190634,The Boys,2,103415,8.6,48
tt0141842,The Sopranos,1,105870,8.6,49
tt0141842,The Sopranos,2,88848,8.6,50
tt4158110,Mr. Robot,2,86303,8.6,51
tt1839578,Person of Interest,1,85145,8.6,52
tt1190634,The Boys,1,109464,8.6,53
tt2442560,Peaky Blinders,2,52800,8.7,54
tt3032476,Better Call Saul,2,119551,8.5,55
tt2442560,Peaky Blinders,3,48431,8.7,56
tt7049682,Watchmen,1,73107,8.6,57
tt4093826,Twin Peaks,1,85946,8.6,58
tt4052886,Lucifer,2,83595,8.6,59
tt2707408,Narcos,1,63938,8.6,60
tt2193021,Arrow,3,113112,8.5,61
tt0306414,The Wire,3,48784,8.7,62
tt0306414,The Wire,4,48950,8.7,63
tt1124373,Sons of Anarchy,7,39155,8.8,64
tt5071412,Ozark,3,51854,8.7,65
tt0306414,The Wire,5,38000,8.8,66
tt2442560,Peaky Blinders,5,46730,8.7,67
tt2017109,Banshee,3,23745,9.0,68
tt7137906,When They See Us,1,23382,9.0,69
tt0098936,Twin Peaks,1,52753,8.6,70
tt0306414,The Wire,1,68454,8.5,71
tt0773262,Dexter,5,53979,8.6,72
tt6468322,Money Heist,2,41323,8.7,73
tt5348176,Barry,3,31120,8.8,74
tt0455275,Prison Break,2,78921,8.5,75
tt4052886,Lucifer,3,126940,8.4,76
tt11006642,Walker,2,27863,8.8,77
tt2401256,The Night Of,1,33883,8.7,78
tt1124373,Sons of Anarchy,4,32905,8.7,79
tt2442560,Peaky Blinders,6,49693,8.5,80
tt2243973,Hannibal,1,80692,8.4,81
tt3749900,Gotham,2,68270,8.5,82
tt0141842,The Sopranos,4,77864,8.4,83
tt2707408,Narcos,3,40241,8.6,84
tt12392504,Scam 1992: The Harshad Mehta Story,1,19510,9.0,85
tt4052886,Lucifer,1,80039,8.4,86
tt2442560,Peaky Blinders,1,62232,8.4,87
tt2149175,The Americans,6,18457,9.0,88
tt1124373,Sons of Anarchy,5,30719,8.7,89
tt2193021,Arrow,5,77804,8.4,90
tt10155688,Mare of Easttown,1,40199,8.5,91
tt1124373,Sons of Anarchy,2,34098,8.6,92
tt1124373,Sons of Anarchy,6,32279,8.6,93
tt2788432,American Crime Story,1,36008,8.6,94
tt0306414,The Wire,2,51116,8.5,95
tt0773262,Dexter,3,55405,8.4,96
tt2467372,Brooklyn Nine-Nine,5,66729,8.4,97
tt5348176,Barry,4,29725,8.6,98
tt2193021,Arrow,1,123158,8.3,99
tt5675620,The Punisher,2,59526,8.4,100
tt3205802,How to Get Away with Murder,2,29820,8.6,101
tt1796960,Homeland,2,39930,8.5,102
tt4052886,Lucifer,5,66130,8.4,103
tt0285331,24,5,30888,8.6,104
tt2357547,Jessica Jones,1,72893,8.3,105
tt3920596,Big Little Lies,1,37314,8.5,106
tt2802850,Fargo,3,53308,8.4,107
tt5290382,Mindhunter,2,46123,8.4,108
tt1124373,Sons of Anarchy,3,34190,8.5,109
tt1796960,Homeland,8,26721,8.6,110
tt0877057,Death Note,1,154180,8.2,111
tt6468322,Money Heist,3,61324,8.3,112
tt5290382,Mindhunter,1,66531,8.3,113
tt0285331,24,2,35657,8.5,114
