tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0428152,Recipe TV Featuring the World's Greatest Chefs,11,5250,10.0,1
tt0428152,Recipe TV Featuring the World's Greatest Chefs,8,5074,10.0,2
tt0428152,Recipe TV Featuring the World's Greatest Chefs,9,4777,10.0,3
tt0428152,Recipe TV Featuring the World's Greatest Chefs,10,4754,9.9,4
tt0428152,Recipe TV Featuring the World's Greatest Chefs,,4292,10.0,5
tt16401516,Roadfood,1,6557,9.5,6
tt8420184,The Last Dance,1,34801,9.1,7
tt5491994,Planet Earth II,1,20735,9.0,8
tt2395695,Cosmos: A Spacetime Odyssey,1,26472,9.0,9
tt9253866,Our Planet,1,13521,9.0,10
tt10541088,Clarkson's Farm,2,7413,9.0,11
tt0795176,Planet Earth,1,33519,8.8,12
tt0416349,Beautiful Homes & Great Estates,,1446,10.0,13
tt9735318,The Beatles: Get Back,1,5127,9.1,14
tt2416950,Beautiful Homes,1,1407,10.0,15
tt10802170,The Rehearsal,1,10895,8.9,16
tt2297757,Nathan for You,4,7763,8.9,17
tt6769208,Blue Planet II,1,7711,8.9,18
tt0081846,Cosmos,1,7136,8.9,19
tt2297757,Nathan for You,3,6550,8.9,20
tt11170862,Cosmos: Possible Worlds,1,9633,8.8,21
tt9805708,Seven Worlds One Planet,1,3335,9.1,22
tt0149314,Unplugged,4,2092,9.3,23
tt10541088,Clarkson's Farm,1,9827,8.7,24
tt0071075,The World at War,1,9841,8.7,25
tt7554866,Men in Kilts: A Roadtrip with Sam and Graham,1,3602,8.9,26
tt1877514,The Vietnam War,1,7456,8.6,27
tt2297757,Nathan for You,2,6537,8.7,28
tt1725143,MyDestination.TV,10,900,10.0,29
tt0416349,Beautiful Homes & Great Estates,12,855,10.0,30
tt9130692,Dynasties,1,2476,8.9,31
tt1725143,MyDestination.TV,7,808,10.0,32
tt1725143,MyDestination.TV,8,793,10.0,33
tt5189670,Making a Murderer,1,15223,8.5,34
tt1725143,MyDestination.TV,6,791,10.0,35
tt1725143,MyDestination.TV,9,790,10.0,36
tt14734548,9/11: One Day in America,1,1451,9.2,37
tt0416349,Beautiful Homes & Great Estates,11,758,10.0,38
tt2297757,Nathan for You,1,7729,8.5,39
tt0416349,Beautiful Homes & Great Estates,9,740,10.0,40
tt4299972,The Jinx: The Life and Deaths of Robert Durst,1,5911,8.5,41
tt1533395,Life,1,5593,8.5,42
tt0416349,Beautiful Homes & Great Estates,8,680,10.0,43
tt4192748,The Challenge Show,5,689,10.0,44
tt0416349,Beautiful Homes & Great Estates,10,670,10.0,45
tt6244192,Leah Remini: Scientology and the Aftermath,1,2106,8.8,46
tt0135096,The Living Planet,1,1673,8.9,47
tt0098769,The Civil War,1,3241,8.6,48
tt14599438,Jeen-yuhs: A Kanye Trilogy,1,3865,8.5,49
tt0364151,American Masters,19,12547,8.3,50
tt5167198,The Hunt,1,1682,8.9,51
tt9331982,The Imagineering Story,1,1569,8.9,52
tt6244192,Leah Remini: Scientology and the Aftermath,2,1662,8.8,53
tt1806234,Human Planet,1,3144,8.5,54
tt0111893,The Beatles Anthology,1,1748,8.8,55
tt1508238,Apocalypse: The Second World War,1,2278,8.6,56
tt10219322,A Perfect Planet,1,1521,8.9,57
tt1725143,MyDestination.TV,,567,10.0,58
tt2402569,Cold Justice,2,1078,9.1,59
tt10324164,Prehistoric Planet,1,3993,8.4,60
tt10801534,How to with John Wilson,1,2987,8.5,61
tt2211065,The Other Sport,1,1877,8.7,62
tt2571774,Africa,1,2897,8.5,63
tt9103932,Greatest Events of WWII in Colour,1,4737,8.3,64
tt4295140,Chef's Table,2,2604,8.5,65
tt13950332,While the Rest of Us Die: Secrets of America's Shadow Government,1,1096,9.0,66
tt6958022,The Defiant Ones,1,1690,8.7,67
tt16986646,The Green Planet,1,1106,9.0,68
tt12162902,Disney Gallery: The Mandalorian,1,3228,8.4,69
tt2092588,Frozen Planet,1,5881,8.3,70
tt0416349,Beautiful Homes & Great Estates,7,488,10.0,71
tt0383795,The Joy of Painting,1,767,9.3,72
tt0108700,Baseball,1,1909,8.6,73
tt6244192,Leah Remini: Scientology and the Aftermath,3,1167,8.9,74
tt0053548,Winston Churchill: The Valiant Years,1,556,9.7,75
tt9708550,Country Music,1,1438,8.7,76
tt13679628,McCartney 3，2，1,1,1066,8.9,77
tt19896784,Light & Magic,1,1738,8.6,78
tt9805678,Frozen Planet II,1,1056,8.9,79
tt15012798,All or Nothing: Arsenal,1,2762,8.4,80
tt10801534,How to with John Wilson,2,1666,8.6,81
tt11318602,Don't F**k with Cats: Hunting an Internet Killer,1,4494,8.3,82
tt9244578,Rise of Empires: Ottoman,2,2743,8.4,83
tt0296310,The Blue Planet,1,5766,8.2,84
tt10394800,The Planets,1,1337,8.7,85
