tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt8111088,The Mandalorian,2,241551,9.0,1
tt4052886,Lucifer,4,69145,9.1,2
tt4574334,Stranger Things,4,224627,8.8,3
tt0460681,Supernatural,5,117596,8.9,4
tt4574334,Stranger Things,1,185109,8.8,5
tt2699128,The Leftovers,2,56816,9.0,6
tt2699128,The Leftovers,3,42477,9.0,7
tt0460681,Supernatural,4,120764,8.7,8
tt0460681,Supernatural,2,134115,8.7,9
tt0411008,Lost,1,165414,8.6,10
tt0411008,Lost,4,83995,8.7,11
tt9140554,Loki,1,154031,8.6,12
tt0411008,Lost,3,131951,8.6,13
tt4574334,Stranger Things,3,168947,8.5,14
tt8111088,The Mandalorian,1,228856,8.5,15
tt0460681,Supernatural,11,84048,8.6,16
tt0460681,Supernatural,3,94900,8.6,17
tt0411008,Lost,5,85591,8.6,18
tt4052886,Lucifer,2,83595,8.6,19
tt0411008,Lost,2,129690,8.5,20
tt3006802,Outlander,1,82569,8.6,21
tt0460681,Supernatural,6,93968,8.5,22
tt1567432,Teen Wolf,3,39265,8.8,23
tt5323298,Naagin,6,26014,8.9,24
tt2632424,The Originals,1,37047,8.7,25
tt3006802,Outlander,2,44767,8.6,26
tt4574334,Stranger Things,2,191959,8.4,27
tt4052886,Lucifer,3,126940,8.4,28
tt0460681,Supernatural,13,71239,8.5,29
tt3006802,Outlander,3,40434,8.7,30
tt0460681,Supernatural,7,88282,8.4,31
tt4052886,Lucifer,1,80039,8.4,32
tt0411008,Lost,6,93161,8.4,33
tt1405406,The Vampire Diaries,2,40652,8.6,34
tt1405406,The Vampire Diaries,3,41886,8.6,35
tt0118276,Buffy the Vampire Slayer,3,81076,8.4,36
tt0460681,Supernatural,1,150895,8.3,37
tt0162065,Angel,5,43670,8.5,38
tt2699128,The Leftovers,1,55459,8.4,39
tt9059350,Warrior Nun,2,44285,8.5,40
tt2632424,The Originals,3,23195,8.8,41
tt4052886,Lucifer,5,66130,8.4,42
tt2632424,The Originals,2,25910,8.7,43
tt0460681,Supernatural,10,86810,8.3,44
tt12411074,Paranormal,1,43241,8.4,45
tt0460681,Supernatural,8,90220,8.3,46
tt1405406,The Vampire Diaries,4,40633,8.4,47
tt7078180,Violet Evergarden,1,19122,8.8,48
tt3006802,Outlander,4,29787,8.5,49
tt1843230,Once Upon a Time,3,36062,8.4,50
tt3487382,Forever,1,28096,8.5,51
