tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt13606528,Drag Race España,2,8178,8.9,1
tt2301351,RuPaul's Drag Race All Stars,7,13378,8.8,2
tt2301351,RuPaul's Drag Race All Stars,2,4456,8.9,3
tt13606528,Drag Race España,1,5627,8.7,4
tt1353056,RuPaul's Drag Race,6,5127,8.4,5
tt7865962,Run BTS!,3,1167,9.1,6
tt0239195,Survivor,31,2813,8.5,7
tt2301351,RuPaul's Drag Race All Stars,6,9313,8.2,8
tt1353056,RuPaul's Drag Race,14,13072,8.1,9
tt9780442,RuPaul's Drag Race UK,2,5637,8.2,10
tt0239195,Survivor,40,3203,8.3,11
tt1353056,RuPaul's Drag Race,9,5470,8.2,12
tt15245094,Drag Race Philippines,1,4544,8.2,13
tt1353056,RuPaul's Drag Race,5,4546,8.2,14
tt20871052,Drag Race France,1,2749,8.3,15
tt0239195,Survivor,7,3679,8.2,16
tt7967262,The Titan Games,1,2188,8.4,17
tt7017872,Movie Trivia Schmoedown,4,857,9.0,18
tt0239195,Survivor,20,2420,8.3,19
tt0239195,Survivor,37,4400,8.1,20
tt0072541,Match Game PM,1,743,9.0,21
tt7865962,Run BTS!,2,752,9.0,22
tt4934214,Taskmaster,7,1926,8.3,23
tt6609270,Dorehami,5,432,9.8,24
tt6103712,Australian Survivor,5,1087,8.6,25
tt9780442,RuPaul's Drag Race UK,1,3023,8.1,26
tt1353056,RuPaul's Drag Race,4,4084,8.0,27
tt0239195,Survivor,28,2375,8.1,28
tt1353056,RuPaul's Drag Race,12,7640,7.9,29
tt0042168,What's My Line?,4,1592,8.3,30
tt23743442,The Traitors UK,1,1136,8.4,31
tt9780442,RuPaul's Drag Race UK,4,4345,7.9,32
tt6103712,Australian Survivor,4,1028,8.5,33
tt4934214,Taskmaster,4,1605,8.2,34
tt0159881,Jeopardy!,36,1240,8.3,35
tt7017872,Movie Trivia Schmoedown,3,514,9.1,36
tt4934214,Taskmaster,1,1538,8.2,37
tt15940712,Drag Race Italia,2,2216,8.1,38
tt6289132,The Boulet Brothers' Dragula,4,1184,8.3,39
tt0239195,Survivor,10,2588,8.0,40
tt4934214,Taskmaster,5,1513,8.2,41
tt0042168,What's My Line?,5,1664,8.1,42
tt11382554,Canada's Drag Race,2,3866,7.9,43
tt0042168,What's My Line?,7,1702,8.1,44
tt6103712,Australian Survivor,8,938,8.4,45
tt0042168,What's My Line?,11,1338,8.2,46
tt0384746,Kenny vs. Spenny,4,1028,8.3,47
tt1353056,RuPaul's Drag Race,8,3027,7.9,48
tt0239195,Survivor,34,1955,8.0,49
tt4803766,Alone,7,883,8.4,50
tt0239195,Survivor,33,2477,7.9,51
tt6103712,Australian Survivor,7,774,8.4,52
tt2933118,The Quest,1,485,8.9,53
tt0072541,Match Game PM,2,460,8.9,54
tt4934214,Taskmaster,11,1580,8.0,55
tt0163507,Whose Line Is It Anyway?,5,1651,8.0,56
tt4934214,Taskmaster,2,1136,8.1,57
tt0042168,What's My Line?,6,1963,7.9,58
tt0239195,Survivor,38,3885,7.8,59
tt0159881,Jeopardy!,37,780,8.3,60
tt0239195,Survivor,6,3388,7.8,61
tt0239195,Survivor,25,3148,7.8,62
tt0163507,Whose Line Is It Anyway?,3,2026,7.9,63
tt4934214,Taskmaster,3,1041,8.1,64
tt0163507,Whose Line Is It Anyway?,2,2263,7.9,65
tt6103712,Australian Survivor,6,877,8.2,66
tt4934214,Taskmaster,13,1184,8.0,67
tt6103712,Australian Survivor,2,787,8.3,68
tt0163507,Whose Line Is It Anyway?,1,1829,7.9,69
tt1353056,RuPaul's Drag Race,3,4227,7.7,70
tt4934214,Taskmaster,14,1055,8.1,71
tt4934214,Taskmaster,9,1487,7.9,72
tt0042168,What's My Line?,8,1639,7.9,73
tt1353056,RuPaul's Drag Race,7,4126,7.7,74
tt4934214,Taskmaster,12,1290,8.0,75
tt0159881,Jeopardy!,35,908,8.1,76
tt0042168,What's My Line?,10,1236,8.0,77
tt1353056,RuPaul's Drag Race,10,4962,7.7,78
tt0239195,Survivor,16,1885,7.8,79
tt0239195,Survivor,8,2818,7.7,80
tt22084446,The Boulet Brothers' Dragula: Titans,1,985,8.0,81
tt0384746,Kenny vs. Spenny,3,1099,8.0,82
tt2487370,Whose Line Is It Anyway?,5,190,10.0,83
tt2487370,Whose Line Is It Anyway?,4,190,10.0,83
tt2487370,Whose Line Is It Anyway?,6,190,10.0,83
tt2487370,Whose Line Is It Anyway?,3,189,10.0,86
tt0163507,Whose Line Is It Anyway?,4,1504,7.9,87
tt2378536,The Hero,1,292,9.1,88
tt2487370,Whose Line Is It Anyway?,2,188,10.0,89
tt2487370,Whose Line Is It Anyway?,1,188,10.0,89
tt0042168,What's My Line?,18,1195,7.9,91
tt0239195,Survivor,13,1949,7.8,92
tt2487370,Whose Line Is It Anyway?,7,190,10.0,93
