tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt7366338,Chernobyl,1,259274,9.5,1
tt0185906,Band of Brothers,1,85534,9.0,2
tt7657124,The Heroes,1,125489,8.9,3
tt8420184,The Last Dance,1,34800,9.1,4
tt4179452,The Last Kingdom,3,31971,8.9,5
tt7657124,The Heroes,2,80225,8.7,6
tt9471404,The Chosen,1,13411,9.1,7
tt4179452,The Last Kingdom,5,27745,8.8,8
tt7657124,The Heroes,3,18895,8.9,9
tt4179452,The Last Kingdom,4,29236,8.7,10
tt4179452,The Last Kingdom,2,25794,8.7,11
tt4786824,The Crown,2,45140,8.6,12
tt4786824,The Crown,1,54068,8.5,13
tt4786824,The Crown,4,38414,8.5,14
tt4786824,The Crown,3,46571,8.5,15
tt4179452,The Last Kingdom,1,31585,8.5,16
tt9471404,The Chosen,2,5741,9.2,17
tt0071075,The World at War,1,9841,8.7,18
tt9140342,It's a Sin,1,6976,8.8,19
tt0348914,Deadwood,1,24787,8.3,20
tt0348914,Deadwood,2,18346,8.3,21
tt9471404,The Chosen,3,3053,9.4,22
tt0348914,Deadwood,3,16585,8.4,23
tt1877514,The Vietnam War,1,7456,8.6,24
tt2937900,The Knick,1,12529,8.4,25
tt7211618,Gentleman Jack,1,6580,8.6,26
tt2937900,The Knick,2,9085,8.5,27
tt13773600,Rashash,1,5760,8.6,28
tt2063241,Farouk Omar,1,2862,9.2,29
tt2543328,TURN: Washington's Spies,3,3866,8.8,30
tt2874692,When Calls the Heart,1,8404,8.3,31
tt2543328,TURN: Washington's Spies,2,4108,8.7,32
tt0074006,I， Claudius,1,4485,8.6,33
tt2543328,TURN: Washington's Spies,4,3304,8.8,34
tt5673782,Genius,1,7799,8.3,35
tt1983079,Call the Midwife,3,4009,8.6,36
tt2874692,When Calls the Heart,4,4544,8.5,37
tt2874692,When Calls the Heart,3,4545,8.5,38
tt1983079,Call the Midwife,2,4340,8.4,39
tt8788222,Scott the Woz,5,1772,9.2,40
tt9103932,Greatest Events of WWII in Colour,1,4738,8.4,41
tt1983079,Call the Midwife,5,3551,8.5,42
tt8740790,Bridgerton,2,14672,8.0,43
tt0098769,The Civil War,1,3241,8.6,44
tt10324164,Prehistoric Planet,1,3994,8.4,45
tt12632132,Uyanis: Büyük Selcuklu,1,2912,8.6,46
tt2874692,When Calls the Heart,2,4247,8.4,47
tt2543328,TURN: Washington's Spies,1,5517,8.2,48
tt0472027,John Adams,1,5423,8.2,49
tt14473896,Barbaros: Sword of the Mediterranean,1,3309,8.5,50
tt1983079,Call the Midwife,7,3347,8.4,51
tt1983079,Call the Midwife,4,3598,8.4,52
tt5137338,Victoria,1,6271,8.2,53
tt2874692,When Calls the Heart,5,4473,8.3,54
tt6244192,Leah Remini: Scientology and the Aftermath,1,2106,8.8,55
tt5137338,Victoria,2,5512,8.2,56
tt1508238,Apocalypse: The Second World War,1,2280,8.6,57
tt0758790,The Tudors,2,6766,8.1,58
tt6040674,Waco,1,5501,8.1,59
tt1983079,Call the Midwife,6,3283,8.4,60
tt1983079,Call the Midwife,8,2923,8.4,61
tt9244578,Rise of Empires: Ottoman,1,6677,8.1,62
tt2262456,The Hollow Crown,1,5513,8.1,63
tt1983079,Call the Midwife,1,3355,8.3,64
