tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt2243973,Hannibal,2,90156,9.1,1
tt4574334,Stranger Things,4,224569,8.8,2
tt4574334,Stranger Things,1,185067,8.8,3
tt0460681,Supernatural,5,117570,8.9,4
tt0460681,Supernatural,4,120755,8.7,5
tt0460681,Supernatural,2,134074,8.7,6
tt1520211,The Walking Dead,5,220254,8.5,7
tt6763664,The Haunting of Hill House,1,92371,8.7,8
tt4574334,Stranger Things,3,168912,8.5,9
tt2243973,Hannibal,3,75076,8.7,10
tt1520211,The Walking Dead,1,107573,8.6,11
tt0460681,Supernatural,3,94882,8.6,12
tt0460681,Supernatural,11,84044,8.6,13
tt1520211,The Walking Dead,3,202508,8.4,14
tt1520211,The Walking Dead,4,220833,8.4,15
tt1520211,The Walking Dead,2,181293,8.4,16
tt4093826,Twin Peaks,1,85947,8.6,17
tt0460681,Supernatural,6,93955,8.5,18
tt4574334,Stranger Things,2,191905,8.4,19
tt1520211,The Walking Dead,6,241217,8.3,20
tt0460681,Supernatural,13,71234,8.5,21
tt0460681,Supernatural,7,88261,8.4,22
tt2243973,Hannibal,1,80678,8.4,23
tt0460681,Supernatural,1,150858,8.3,24
tt2632424,The Originals,1,37025,8.7,25
tt1844624,American Horror Story,2,66482,8.4,26
tt0460681,Supernatural,10,86806,8.3,27
tt1405406,The Vampire Diaries,2,40650,8.6,28
tt1405406,The Vampire Diaries,3,41885,8.6,29
tt0460681,Supernatural,8,90203,8.3,30
tt1520211,The Walking Dead,9,142090,8.1,31
tt12411074,Paranormal,1,43241,8.4,32
tt0460681,Supernatural,9,87124,8.2,33
tt1405406,The Vampire Diaries,4,40633,8.4,34
tt2632424,The Originals,2,25905,8.7,35
tt2632424,The Originals,3,23188,8.8,36
tt0460681,Supernatural,14,50717,8.3,37
tt0460681,Supernatural,12,65795,8.1,38
tt4189022,Ash vs Evil Dead,1,31952,8.4,39
tt1405406,The Vampire Diaries,1,48301,8.2,40
tt1751634,The Sandman,1,83199,8.0,41
tt1844624,American Horror Story,1,70142,8.0,42
tt2188671,Bates Motel,5,16383,8.7,43
tt2628232,Penny Dreadful,2,22976,8.4,44
tt2188671,Bates Motel,4,16894,8.7,45
tt1520211,The Walking Dead,11,150853,7.9,46
tt1844624,American Horror Story,8,39477,8.1,47
tt7908628,What We Do in the Shadows,1,26932,8.3,48
tt1844624,American Horror Story,4,52798,8.0,49
tt1844624,American Horror Story,3,58872,8.0,50
tt1405406,The Vampire Diaries,8,19900,8.4,51
tt4189022,Ash vs Evil Dead,2,21139,8.4,52
tt7908628,What We Do in the Shadows,2,20430,8.4,53
tt2628232,Penny Dreadful,3,18402,8.4,54
tt8550800,The Outsider,1,37699,8.1,55
tt2708480,The Terror,1,26037,8.2,56
tt2628232,Penny Dreadful,1,25782,8.2,57
tt1405406,The Vampire Diaries,6,27872,8.2,58
tt4189022,Ash vs Evil Dead,3,17124,8.4,59
tt1405406,The Vampire Diaries,5,31780,8.1,60
tt13315156,First Kill,1,48944,7.9,61
tt0460681,Supernatural,15,93338,7.8,62
tt2188671,Bates Motel,3,16984,8.4,63
tt9319668,1899,1,37695,8.0,64
tt2193041,Beauty and the Beast,1,22976,8.2,65
tt0052520,The Twilight Zone,1,145854,7.7,66
tt1520211,The Walking Dead,7,217631,7.7,67
tt2632424,The Originals,5,13721,8.5,68
tt2632424,The Originals,4,12253,8.6,69
tt2188671,Bates Motel,2,18291,8.3,70
tt6548228,Castle Rock,1,24810,8.1,71
tt10970552,The Haunting of Bly Manor,1,39959,7.9,72
tt10574558,Midnight Mass,1,27379,8.0,73
