tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt4288182,Atlanta,2,36354,8.8,1
tt9735318,The Beatles: Get Back,1,5127,9.1,2
tt4288182,Atlanta,4,15023,8.7,3
tt4288182,Atlanta,1,32818,8.4,4
tt12562262,Emanet,1,2032,9.7,5
tt8531222,Dave,1,9668,8.5,6
tt0159876,Great Performances,24,2768,9.1,7
tt0149314,Unplugged,4,2092,9.3,8
tt1327801,Glee,1,39188,8.2,9
tt1327801,Glee,2,33633,8.2,10
tt0364151,American Masters,19,12547,8.3,11
tt8531222,Dave,3,3922,8.7,12
tt4592410,The Get Down,1,5780,8.5,13
tt0353049,Chappelle's Show,2,7452,8.3,14
tt4288182,Atlanta,3,22837,8.1,15
tt12562262,Emanet,3,1229,9.6,16
tt1327801,Glee,3,29794,8.1,17
tt0863046,Flight of the Conchords,1,8999,8.2,18
tt14599438,Jeen-yuhs: A Kanye Trilogy,1,3865,8.5,19
tt3228904,Empire,1,9139,8.2,20
tt17158756,Bocchi the Rock!,1,3630,8.4,21
tt0863046,Flight of the Conchords,2,5784,8.2,22
tt8531222,Dave,2,7070,8.2,23
tt9886006,Kono Oto Tomare!,1,1344,9.1,24
tt0111893,The Beatles Anthology,1,1748,8.8,25
tt8749198,Daisy Jones & The Six,1,8623,8.1,26
tt12441596,Above All That Is Random,1,795,9.6,27
tt3186130,Vinyl,1,8655,8.0,28
tt20859904,Beavis and Butt-Head,1,3068,8.3,29
tt9814458,Bandish Bandits,1,2057,8.5,30
tt1327801,Glee,6,13167,7.9,31
tt3228904,Empire,2,7371,8.0,32
tt9708550,Country Music,1,1438,8.7,33
tt2281375,Nashville,5,3225,8.2,34
tt1279972,Treme,1,3040,8.2,35
tt13679628,McCartney 3，2，1,1,1066,8.9,36
tt5955168,Classic Albums,6,2885,8.2,37
tt8746478,Fosse/Verdon,1,3633,8.1,38
tt3502172,Mozart in the Jungle,3,3635,8.1,39
tt0839188,Metalocalypse,2,2703,8.1,40
tt3502172,Mozart in the Jungle,1,6267,7.9,41
tt0839188,Metalocalypse,1,4319,8.0,42
tt0353049,Chappelle's Show,1,7690,7.9,43
tt0149314,Unplugged,7,928,8.9,44
tt8107988,Carole & Tuesday,1,1595,8.4,45
tt1327801,Glee,5,21942,7.8,46
tt1279972,Treme,2,2278,8.1,47
tt3893538,Sonic Highways,1,1120,8.5,48
tt1327801,Glee,4,24353,7.7,49
tt4270458,Roadies,1,2256,8.1,50
tt0060010,The Monkees,1,3946,7.9,51
tt20859904,Beavis and Butt-Head,2,1068,8.5,52
tt1551948,Dance Academy,2,1043,8.5,53
tt0105950,Beavis and Butt-Head,4,4892,7.8,54
tt1637574,Conan,1,4199,7.9,55
tt2281375,Nashville,4,3193,7.9,56
tt0063894,The Dick Cavett Show,,1057,8.4,57
tt1433495,I'm in the Band,1,569,9.1,58
tt2281375,Nashville,2,4438,7.8,59
tt1978940,Metal Evolution,1,1379,8.2,60
tt1922746,The Hillywood Show,,561,9.1,61
tt0839188,Metalocalypse,3,1187,8.3,62
tt3502172,Mozart in the Jungle,2,3954,7.8,63
tt0060010,The Monkees,2,2784,7.9,64
tt0070992,Happy Days,2,3808,7.8,65
tt1279972,Treme,3,1715,8.0,66
tt4130418,Hip-Hop Evolution,1,997,8.3,67
tt9022950,The Kelly Clarkson Show,1,539,8.9,68
