tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0159876,Great Performances,24,2768,9.1,1
tt10314462,Zoey's Extraordinary Playlist,1,9864,8.4,2
tt0416394,The Mighty Boosh,2,2584,8.7,3
tt4592410,The Get Down,1,5779,8.5,4
tt1227926,Dr. Horrible's Sing-Along Blog,1,2784,8.6,5
tt2136443,The Playlist,1,671,9.1,6
tt0863046,Flight of the Conchords,1,9000,8.2,7
tt0863046,Flight of the Conchords,2,5784,8.2,8
tt4094300,Crazy Ex-Girlfriend,3,4031,8.3,9
tt4094300,Crazy Ex-Girlfriend,4,4571,8.2,10
tt9022950,The Kelly Clarkson Show,1,539,8.9,11
tt4094300,Crazy Ex-Girlfriend,2,4279,8.2,12
tt0416394,The Mighty Boosh,3,1899,8.3,13
tt2487370,Whose Line Is It Anyway?,5,190,10.0,14
tt2487370,Whose Line Is It Anyway?,4,190,10.0,14
tt2487370,Whose Line Is It Anyway?,6,190,10.0,14
tt2487370,Whose Line Is It Anyway?,3,189,10.0,17
tt2487370,Whose Line Is It Anyway?,1,188,10.0,18
tt2487370,Whose Line Is It Anyway?,2,188,10.0,18
tt2487370,Whose Line Is It Anyway?,7,190,10.0,20
tt2487370,Whose Line Is It Anyway?,8,190,9.9,21
tt0416394,The Mighty Boosh,1,3203,8.2,22
tt0159876,Great Performances,36,743,8.5,23
tt4094300,Crazy Ex-Girlfriend,1,8114,8.0,24
tt11808942,Schmigadoon!,2,1885,8.1,25
tt1943276,How to Rock,1,391,8.6,26
tt0159876,Great Performances,37,1097,8.2,27
tt21099140,Christina Grimmie Zeldaxlove 64,1,111,9.9,28
tt0159876,Great Performances,26,580,8.3,29
tt0069627,Schoolhouse Rock!,2,573,8.3,30
tt4079084,Princess Rap Battle,1,492,8.4,31
tt22505564,Sami,1,103,9.9,32
tt1019690,The Metropolitan Opera HD Live,5,464,8.4,33
tt7759016,Encore!,1,695,8.3,34
tt0159876,Great Performances,34,522,8.4,35
tt5779222,Julie's Greenroom,1,174,9.1,36
tt2487370,Whose Line Is It Anyway?,9,95,9.9,37
tt0165042,Live from Lincoln Center,15,155,9.1,38
tt0165042,Live from Lincoln Center,6,121,9.4,39
tt7913450,Soundtrack,1,635,8.2,40
tt1019690,The Metropolitan Opera HD Live,1,325,8.5,41
tt0159876,Great Performances,13,318,8.5,42
tt0159876,Great Performances,33,466,8.3,43
tt9654086,Go! Live Your Way,1,228,8.7,44
tt0159876,Great Performances,18,170,8.9,45
tt0165042,Live from Lincoln Center,43,323,8.4,46
tt7679210,Stories from Norway,1,199,8.7,47
tt0159876,Great Performances,38,534,8.2,48
tt7334966,Sanders Sides,2,109,9.1,49
tt0159876,Great Performances,23,444,8.2,50
tt0165042,Live from Lincoln Center,40,168,8.6,51
tt1019690,The Metropolitan Opera HD Live,3,375,8.2,52
tt12397680,Fraggle Rock: Back to the Rock,1,376,8.2,53
tt0335704,The Metropolitan Opera Presents,7,147,8.7,54
tt0335704,The Metropolitan Opera Presents,14,137,8.7,55
tt0165042,Live from Lincoln Center,35,81,9.2,56
tt0159876,Great Performances,31,544,8.1,57
tt12524686,The Diary of the Great Perica,1,153,8.5,58
tt0098772,Cop Rock,1,208,8.4,59
tt0165042,Live from Lincoln Center,31,78,9.1,60
tt0159876,Great Performances,22,376,8.2,61
tt0335704,The Metropolitan Opera Presents,8,129,8.6,62
tt0098826,Hull High,1,56,9.4,63
tt0335704,The Metropolitan Opera Presents,13,107,8.7,64
tt0335704,The Metropolitan Opera Presents,20,68,9.1,65
tt0335704,The Metropolitan Opera Presents,19,116,8.6,66
tt1005814,RBD: La familia,1,90,8.8,67
tt1019690,The Metropolitan Opera HD Live,6,396,8.1,68
tt0108825,The Julekalender,1,363,8.1,69
tt0159876,Great Performances,19,168,8.4,70
tt0129719,Süsü， a sárkány kalandjai,1,79,8.8,71
tt0069627,Schoolhouse Rock!,4,541,8.1,72
tt17525252,Up Here,1,340,8.1,73
tt21304664,VGLY,1,144,8.4,74
tt0335704,The Metropolitan Opera Presents,6,106,8.6,75
tt8736020,#LikeMe,1,192,8.3,76
tt0335704,The Metropolitan Opera Presents,2,108,8.5,77
tt1019690,The Metropolitan Opera HD Live,13,278,8.2,78
tt0165042,Live from Lincoln Center,38,198,8.3,79
tt1019690,The Metropolitan Opera HD Live,7,306,8.1,80
tt9654086,Go! Live Your Way,2,139,8.4,81
tt1019690,The Metropolitan Opera HD Live,10,259,8.1,82
tt0159876,Great Performances,14,261,8.1,83
tt6428288,Yildizlar Sahidim,1,31,9.7,84
tt1019690,The Metropolitan Opera HD Live,14,257,8.1,85
tt0335704,The Metropolitan Opera Presents,16,105,8.4,86
tt0335704,The Metropolitan Opera Presents,9,126,8.3,87
tt10314462,Zoey's Extraordinary Playlist,2,5871,7.9,88
tt0159876,Great Performances,42,365,8.0,89
tt0928368,The Pyjamas,1,49,8.8,90
tt1019690,The Metropolitan Opera HD Live,9,267,8.1,91
tt8510382,High School Musical: The Musical: The Series,1,4870,7.9,92
tt7334966,Sanders Sides,1,81,8.4,93
tt1019690,The Metropolitan Opera HD Live,8,280,8.1,94
tt0165042,Live from Lincoln Center,21,30,9.3,95
tt0185797,The DuPont Show of the Week,2,54,8.7,96
tt0335704,The Metropolitan Opera Presents,5,48,8.7,97
tt0335704,The Metropolitan Opera Presents,3,83,8.4,98
tt0159876,Great Performances,3,253,8.1,99
tt0335704,The Metropolitan Opera Presents,10,31,9.1,100
tt0335704,The Metropolitan Opera Presents,1,37,8.9,101
tt0090521,The Singing Detective,1,617,8.0,102
tt1019690,The Metropolitan Opera HD Live,4,272,8.0,103
tt0165042,Live from Lincoln Center,41,82,8.3,104
tt0165042,Live from Lincoln Center,2,25,9.2,105
tt0159876,Great Performances,28,573,8.0,106
tt0335704,The Metropolitan Opera Presents,23,25,9.2,107
tt1447723,The Fresh Beat Band,2,27,9.1,108
tt6163070,StoryBots Super Songs,1,22,9.3,109
tt15496116,Doce,1,66,8.4,110
tt0335704,The Metropolitan Opera Presents,11,128,8.1,111
tt0335704,The Metropolitan Opera Presents,4,139,8.1,112
tt0335704,The Metropolitan Opera Presents,26,39,8.7,113
tt6834120,Jenni Rivera: Mariposa de Barrio,1,32,8.8,114
tt9889392,In Our Blood,1,49,8.4,115
tt4138414,Señales del fin del mundo,1,29,8.8,116
tt0159876,Great Performances,10,48,8.4,117
tt0165042,Live from Lincoln Center,30,31,8.7,118
tt0159876,Great Performances,47,460,8.0,119
tt0165042,Live from Lincoln Center,44,59,8.3,120
tt0165042,Live from Lincoln Center,1,29,8.7,121
