tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt2356777,True Detective,1,181070,9.3,1
tt1475582,Sherlock,2,106953,9.2,2
tt5753856,Dark,2,103923,9.2,3
tt5753856,Dark,3,120254,9.1,4
tt0475784,Westworld,1,192288,8.9,5
tt0773262,Dexter,4,70137,9.0,6
tt1475582,Sherlock,3,102203,8.9,7
tt2699128,The Leftovers,2,56826,9.0,8
tt0412142,House,4,59163,8.9,9
tt2699128,The Leftovers,3,42511,9.0,10
tt0773262,Dexter,1,84534,8.8,11
tt0773262,Dexter,2,64884,8.8,12
tt0773262,Dexter,7,62751,8.8,13
tt6763664,The Haunting of Hill House,1,92401,8.7,14
tt5753856,Dark,1,127590,8.6,15
tt1475582,Sherlock,1,100611,8.6,16
tt3230854,The Expanse,3,43051,8.8,17
tt0412142,House,6,61463,8.7,18
tt7049682,Watchmen,1,73115,8.6,19
tt2431438,Sense8,2,40764,8.8,20
tt0412142,House,5,66718,8.6,21
tt5323298,Naagin,6,26039,8.9,22
tt0475784,Westworld,2,125037,8.4,23
tt0098936,Twin Peaks,1,52770,8.6,24
tt0412142,House,2,75069,8.5,25
tt0412142,House,3,70581,8.5,26
tt0773262,Dexter,5,53987,8.6,27
tt11280740,Severance,1,57950,8.6,28
tt0412142,House,1,81516,8.5,29
tt2401256,The Night Of,1,33890,8.7,30
tt2661044,The 100,2,72847,8.5,31
tt2085059,Black Mirror,3,310340,8.3,32
tt1837492,13 Reasons Why,1,83444,8.4,33
tt2149175,The Americans,6,18470,9.0,34
tt10155688,Mare of Easttown,1,40218,8.5,35
tt2661044,The 100,5,38121,8.6,36
tt0773262,Dexter,3,55417,8.4,37
tt2699128,The Leftovers,1,55473,8.4,38
tt3205802,How to Get Away with Murder,2,29821,8.6,39
tt3230854,The Expanse,2,42428,8.5,40
tt1796960,Homeland,2,39930,8.5,41
tt3920596,Big Little Lies,1,37321,8.5,42
tt2431438,Sense8,1,55851,8.4,43
tt5290382,Mindhunter,2,46125,8.4,44
tt1796960,Homeland,8,26725,8.6,45
tt0412142,House,8,53002,8.4,46
tt3647998,Taboo,1,36252,8.5,47
tt5290382,Mindhunter,1,66538,8.3,48
tt1475582,Sherlock,4,116832,8.2,49
tt3205802,How to Get Away with Murder,1,39749,8.4,50
tt0412142,House,7,53797,8.3,51
tt3230854,The Expanse,4,28306,8.5,52
tt0098936,Twin Peaks,2,89559,8.2,53
tt1119644,Fringe,3,44902,8.3,54
tt2188671,Bates Motel,5,16382,8.7,55
tt1119644,Fringe,2,55029,8.3,56
tt1119644,Fringe,5,25647,8.5,57
tt4635282,The OA,2,18332,8.7,58
tt2188671,Bates Motel,4,16897,8.7,59
tt2356777,True Detective,3,55832,8.2,60
