tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt18412104,The Comments Section with Brett Cooper,,2782,9.1,1
tt3530232,Last Week Tonight with John Oliver,2,12443,8.4,2
tt9566030,Pew News,1,2418,8.9,3
tt3530232,Last Week Tonight with John Oliver,3,10331,8.3,4
tt3530232,Last Week Tonight with John Oliver,4,8989,8.3,5
tt3530232,Last Week Tonight with John Oliver,1,8627,8.3,6
tt21268648,Unapologetic with Amala Ekpunobi,,1365,9.4,7
tt3530232,Last Week Tonight with John Oliver,6,8891,8.2,8
tt5106590,IMDb Originals,3,6377,8.2,9
tt3530232,Last Week Tonight with John Oliver,7,8437,8.1,10
tt3530232,Last Week Tonight with John Oliver,5,8210,8.1,11
tt18412104,The Comments Section with Brett Cooper,1,1175,8.7,12
tt3530232,Last Week Tonight with John Oliver,9,6352,7.8,13
tt3530232,Last Week Tonight with John Oliver,8,7169,7.7,14
tt1850596,Eye on Entertainment,7,1655,8.1,15
tt0355108,The Morning Program,,380,10.0,16
tt8080054,Patriot Act with Hasan Minhaj,1,1868,7.9,17
tt11759280,Pseudo-Intellectual with Lauren Chen,,1483,8.1,18
tt0133302,Frontline,32,1777,8.0,19
tt8080054,Patriot Act with Hasan Minhaj,2,1364,8.1,20
tt1850596,Eye on Entertainment,8,595,8.9,21
tt12054924,Some Good News,1,415,9.5,22
tt8429428,Weekend Box Office,1,2896,7.7,23
tt0115147,The Daily Show,20,5020,7.5,24
tt8429428,Weekend Box Office,2,2895,7.6,25
tt0458254,The Colbert Report,8,2711,7.6,26
tt8080054,Patriot Act with Hasan Minhaj,6,1090,8.1,27
tt8080054,Patriot Act with Hasan Minhaj,3,1093,8.0,28
tt6987966,The Jim Jefferies Show,1,1139,8.0,29
tt0133302,Frontline,38,2114,7.7,30
tt0458254,The Colbert Report,9,2724,7.6,31
tt0458254,The Colbert Report,10,1696,7.7,32
tt8080054,Patriot Act with Hasan Minhaj,4,1042,8.0,33
tt2782710,Vice,1,926,8.1,34
tt0498878,Attack of the Show!,,547,8.6,35
tt8080054,Patriot Act with Hasan Minhaj,5,1053,7.9,36
tt1850596,Eye on Entertainment,6,325,9.4,37
tt8129446,Lights Out with David Spade,1,1223,7.8,38
tt3530232,Last Week Tonight with John Oliver,10,1686,7.6,39
tt0133302,Frontline,22,590,8.3,40
tt0115147,The Daily Show,19,5125,7.3,41
tt0103396,Dateline NBC,29,1229,7.7,42
tt0133302,Frontline,3,478,8.5,43
tt0133302,Frontline,26,805,8.0,44
tt0133302,Frontline,14,525,8.4,45
tt0133302,Frontline,24,758,8.0,46
tt0133302,Frontline,16,470,8.4,47
tt0133302,Frontline,28,1025,7.7,48
tt0458254,The Colbert Report,7,1859,7.5,49
tt0103396,Dateline NBC,27,1233,7.6,50
tt0458254,The Colbert Report,,1579,7.5,51
tt0458254,The Colbert Report,5,1590,7.5,52
tt0133302,Frontline,31,903,7.8,53
tt0458254,The Colbert Report,2,3375,7.3,54
tt2782710,Vice,2,646,8.0,55
tt0103396,Dateline NBC,26,1002,7.7,56
tt0103396,Dateline NBC,28,881,7.7,57
tt17051300,Office Hours with Georgia Howe,1,262,9.2,58
tt0133302,Frontline,33,1043,7.6,59
tt2782710,Vice,5,837,7.7,60
tt0133302,Frontline,27,821,7.7,61
tt2782710,Vice,6,840,7.7,62
tt2782710,Vice,3,911,7.7,63
tt7305166,The Opposition with Jordan Klepper,1,1229,7.5,64
tt0133302,Frontline,41,710,7.8,65
tt9122526,IMDbrief,2,4096,7.2,66
tt21802150,Kurdistan International Independent Film Festival,,231,9.2,67
tt2782710,Vice,4,717,7.8,68
tt5106590,IMDb Originals,4,774,7.7,69
tt0133302,Frontline,30,596,7.8,70
tt19178430,Will & Amala LIVE,,199,9.4,71
tt0133302,Frontline,34,1043,7.5,72
