tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0398571,Starting Over,3,3675,9.6,1
tt10541088,Clarkson's Farm,2,7413,9.0,2
tt13606528,Drag Race España,2,8178,8.9,3
tt2301351,RuPaul's Drag Race All Stars,7,13379,8.8,4
tt2301351,RuPaul's Drag Race All Stars,2,4457,8.9,5
tt10541088,Clarkson's Farm,1,9827,8.7,6
tt1602156,Atlantis Rising: The Making of 'Atlantis Down',1,1514,9.4,7
tt7554866,Men in Kilts: A Roadtrip with Sam and Graham,1,3602,8.9,8
tt26493973,Jinny's Kitchen,1,5961,8.7,9
tt13606528,Drag Race España,1,5634,8.7,10
tt0401969,Playing It Straight,1,791,9.8,11
tt2100976,Impractical Jokers,3,5981,8.5,12
tt7259746,Queer Eye,3,2990,8.7,13
tt4317218,Wake Up Call,1,745,9.7,14
tt0339968,Scare Tactics,1,851,9.5,15
tt2100976,Impractical Jokers,2,5968,8.4,16
tt2402569,Cold Justice,2,1078,9.1,17
tt0339968,Scare Tactics,3,753,9.5,18
tt1353056,RuPaul's Drag Race,6,5127,8.4,19
tt11291234,Dogru Kariyer,1,533,10.0,20
tt0239195,Survivor,31,2813,8.5,21
tt9078346,D'Astrain at the Cinema,1,589,9.7,22
tt7259746,Queer Eye,4,2341,8.5,23
tt21411166,Drag Race Philippines: Untucked!,1,1165,8.9,24
tt12564744,Selena + Chef,1,1014,9.0,25
tt2100976,Impractical Jokers,5,4136,8.3,26
tt2100976,Impractical Jokers,1,5253,8.2,27
tt0239195,Survivor,40,3203,8.3,28
tt2100976,Impractical Jokers,4,4694,8.3,29
tt0251497,Big Brother,4,1605,8.6,30
tt9780442,RuPaul's Drag Race UK,2,5639,8.2,31
tt2301351,RuPaul's Drag Race All Stars,6,9314,8.2,32
tt15245094,Drag Race Philippines,1,4545,8.2,33
tt1353056,RuPaul's Drag Race,5,4546,8.2,34
tt1353056,RuPaul's Drag Race,9,5470,8.2,35
tt1353056,RuPaul's Drag Race,14,13072,8.1,36
tt20871052,Drag Race France,1,2753,8.3,37
tt2402569,Cold Justice,3,953,8.9,38
tt7259746,Queer Eye,1,4532,8.2,39
tt8210210,Director's Trademarks,1,2031,8.4,40
tt1342711,Man v. Food,4,918,8.9,41
tt1926538,Excused,1,1148,8.7,42
tt0339968,Scare Tactics,5,686,9.2,43
tt2100976,Impractical Jokers,6,3724,8.2,44
tt0239195,Survivor,7,3679,8.2,45
tt7967262,The Titan Games,1,2188,8.4,46
tt11289784,Unus Annus,1,6852,8.1,47
tt0460625,Beauty and the Geek,4,678,9.1,48
tt7259746,Queer Eye,2,3261,8.2,49
tt2100976,Impractical Jokers,8,3438,8.2,50
tt0239195,Survivor,20,2420,8.3,51
tt12564744,Selena + Chef,3,512,9.4,52
tt2136443,The Playlist,1,671,9.1,53
tt6103712,Australian Survivor,5,1087,8.6,54
tt1926538,Excused,2,865,8.8,55
tt12564744,Selena + Chef,2,578,9.2,56
tt0239195,Survivor,37,4400,8.1,57
tt12564744,Selena + Chef,4,429,9.6,58
tt1588754,RuPaul's Drag Race: Untucked!,14,1235,8.5,59
tt14924628,Você Nunca Esteve Sozinha: O Doc de Juliette,1,725,8.9,60
tt7259746,Queer Eye,6,2009,8.2,61
tt9780442,RuPaul's Drag Race UK,1,3024,8.1,62
tt1353056,RuPaul's Drag Race,4,4084,8.0,63
tt15697242,Unstoppable with NBK,1,423,9.4,64
tt0983411,Exposed,3,305,10.0,65
tt23743442,The Traitors UK,1,1136,8.4,66
tt2402569,Cold Justice,1,540,9.1,67
tt0239195,Survivor,28,2375,8.1,68
tt11285856,We're Here,1,970,8.5,69
tt6103712,Australian Survivor,4,1028,8.5,70
tt0339968,Scare Tactics,2,383,9.5,71
tt0339968,Scare Tactics,,437,9.3,72
tt1353056,RuPaul's Drag Race,12,7641,7.9,73
tt6422944,Impractical Jokers: Inside Jokes,1,788,8.6,74
tt6289132,The Boulet Brothers' Dragula,4,1184,8.3,75
tt0176095,The Challenge,38,754,8.6,76
tt1342711,Man v. Food,1,1200,8.3,77
tt1342711,Man v. Food,2,1136,8.3,78
tt12824922,Long Way Up,1,2084,8.1,79
tt9780442,RuPaul's Drag Race UK,4,4347,7.9,80
tt1342711,Man v. Food,3,878,8.5,81
tt21278628,Cowboys of Thunder,1,270,10.0,82
tt15940712,Drag Race Italia,2,2216,8.1,83
tt8373190,The Proposal,1,409,9.2,84
tt15697242,Unstoppable with NBK,2,351,9.5,85
tt0239195,Survivor,10,2588,8.0,86
tt7311010,Returning the Favor,2,345,9.4,87
tt7259746,Queer Eye,5,1855,8.1,88
tt0384746,Kenny vs. Spenny,4,1028,8.3,89
tt6103712,Australian Survivor,8,939,8.4,90
tt0398571,Starting Over,,336,9.4,91
tt5547946,Ride with Norman Reedus,1,560,8.7,92
tt1319900,Ghost Adventures,11,1102,8.3,93
tt0458270,It Takes a Thief,1,319,9.5,94
tt10577856,IMDb Cheat Sheet,1,698,8.5,95
tt0176095,The Challenge,35,546,8.7,96
tt4803766,Alone,7,883,8.4,97
tt0176095,The Challenge,36,645,8.6,98
tt6103712,Australian Survivor,7,774,8.4,99
tt2100976,Impractical Jokers,7,3190,7.9,100
tt11382554,Canada's Drag Race,2,3868,7.9,101
tt2776888,Big Brother Canada,11,422,9.0,102
tt1353056,RuPaul's Drag Race,8,3027,7.9,103
tt0239195,Survivor,34,1955,8.0,104
tt0883772,Man vs. Wild,3,985,8.2,105
tt8893550,Car Masters: Rust to Riches,1,1094,8.2,106
tt0983411,Exposed,2,232,10.0,107
tt0883772,Man vs. Wild,1,1568,8.0,108
tt12585152,Down to Earth with Zac Efron,1,2313,7.9,109
tt7653274,All or Nothing: Manchester City,1,2189,7.9,110
tt0239195,Survivor,33,2477,7.9,111
tt2776888,Big Brother Canada,10,469,8.8,112
tt10971532,Queer Eye: We're in Japan!,1,698,8.4,113
tt1319900,Ghost Adventures,21,694,8.4,114
tt5895884,World of Dance,2,498,8.7,115
tt0339968,Scare Tactics,4,631,8.5,116
tt7554866,Men in Kilts: A Roadtrip with Sam and Graham,2,213,10.0,117
tt12540060,Say I Do,1,377,9.0,118
tt0176095,The Challenge,30,450,8.8,119
tt0251497,Big Brother,7,1070,8.1,120
tt2100976,Impractical Jokers,9,2714,7.9,121
tt6103712,Australian Survivor,6,877,8.2,122
tt11363282,The Real Housewives of Salt Lake City,2,545,8.6,123
tt0106111,Real Stories of the Highway Patrol,,264,9.5,124
tt6103712,Australian Survivor,2,794,8.3,125
tt8893550,Car Masters: Rust to Riches,2,1019,8.1,126
tt1319900,Ghost Adventures,13,1060,8.1,127
tt0239195,Survivor,38,3885,7.8,128
tt2343157,Vanderpump Rules,10,546,8.5,129
tt0239195,Survivor,25,3148,7.8,130
tt0239195,Survivor,6,3388,7.8,131
tt3816666,Running Wild with Bear Grylls,6,624,8.4,132
tt0446242,Passport to Europe,1,1451,8.0,133
tt0398571,Starting Over,2,417,8.7,134
tt11904786,Love on the Spectrum,2,572,8.4,135
tt2402569,Cold Justice,5,642,8.3,136
tt0398571,Starting Over,1,365,8.9,137
tt7759016,Encore!,1,695,8.3,138
tt0176095,The Challenge,31,425,8.7,139
tt21348558,In the Soop: Friendcation,1,1904,7.9,140
tt5512658,Paranormal Lockdown,2,507,8.5,141
tt2378536,The Hero,1,292,9.1,142
tt0285335,The Amazing Race,1,1305,8.0,143
tt1319900,Ghost Adventures,19,524,8.4,144
tt0446242,Passport to Europe,,2102,7.8,145
tt0176095,The Challenge,33,519,8.4,146
tt22084446,The Boulet Brothers' Dragula: Titans,1,985,8.0,147
tt1353056,RuPaul's Drag Race,3,4227,7.7,148
tt0384746,Kenny vs. Spenny,3,1099,8.0,149
tt13191804,In the SOOP BTS Ver.,1,335,8.9,150
tt2776888,Big Brother Canada,1,406,8.6,151
tt0446622,Hard Knocks,13,345,8.8,152
tt0239195,Survivor,16,1885,7.8,153
tt11904786,Love on the Spectrum,1,708,8.2,154
tt2951514,FantomWorks,2,239,9.3,155
tt6103712,Australian Survivor,3,525,8.4,156
tt0285335,The Amazing Race,33,901,8.1,157
tt1353056,RuPaul's Drag Race,7,4126,7.7,158
tt5547946,Ride with Norman Reedus,2,350,8.8,159
tt0239195,Survivor,8,2818,7.7,160
tt0883772,Man vs. Wild,2,1010,8.0,161
tt1353056,RuPaul's Drag Race,10,4961,7.7,162
tt5547946,Ride with Norman Reedus,3,324,8.8,163
tt16369694,Queer Eye: Germany,1,268,9.1,164
tt0239195,Survivor,13,1949,7.8,165
tt1319900,Ghost Adventures,16,743,8.1,166
tt0176095,The Challenge,14,355,8.7,167
tt4816364,BattleBots,3,524,8.3,168
tt0176095,The Challenge,32,559,8.3,169
tt5512658,Paranormal Lockdown,1,389,8.6,170
tt1068912,Ice Road Truckers,1,421,8.5,171
tt1877368,The Great British Baking Show,5,998,8.0,172
tt0239195,Survivor,30,1700,7.8,173
tt9199798,Dogs,1,1048,7.9,174
tt4803766,Alone,6,721,8.1,175
tt11285856,We're Here,3,360,8.6,176
tt0239195,Survivor,32,2249,7.7,177
tt20883058,On Patrol: Live,1,407,8.5,178
tt1353056,RuPaul's Drag Race,2,3334,7.7,179
tt0458270,It Takes a Thief,2,197,9.5,180
tt1319900,Ghost Adventures,17,916,8.0,181
tt1663641,Face Off,7,456,8.4,182
tt16385150,Shark Tank India,1,771,8.0,183
tt0103520,The Real World,3,346,8.6,184
tt14721926,Trixie Motel,1,505,8.3,185
tt0423652,The First 48,,643,8.1,186
tt0176095,The Challenge,34,489,8.3,187
tt4680444,Forged in Fire,5,727,8.1,188
tt9278032,Rhythm + Flow,1,738,8.0,189
tt1319900,Ghost Adventures,14,938,7.9,190
tt0239195,Survivor,9,3190,7.6,191
tt0475900,Anthony Bourdain: No Reservations,2,954,7.9,192
tt2301351,RuPaul's Drag Race All Stars,5,3468,7.6,193
tt2343157,Vanderpump Rules,4,424,8.4,194
tt0759364,America's Got Talent,9,1102,7.9,195
tt4816364,BattleBots,4,381,8.5,196
tt7259746,Queer Eye,7,402,8.4,197
tt1319900,Ghost Adventures,15,1332,7.8,198
tt5917270,Survivor South Africa,9,326,8.6,199
tt1070665,Scott Baio Is 45... And Single,2,222,9.1,200
tt1319900,Ghost Adventures,20,733,8.0,201
tt2402569,Cold Justice,4,341,8.5,202
tt11285856,We're Here,2,785,8.0,203
tt1353056,RuPaul's Drag Race,15,9030,7.6,204
tt0883772,Man vs. Wild,4,784,8.0,205
tt1877368,The Great British Baking Show,6,912,7.9,206
tt0239195,Survivor,11,1516,7.7,207
tt1588754,RuPaul's Drag Race: Untucked!,4,469,8.2,208
tt10589968,The Secret of Skinwalker Ranch,3,915,7.9,209
tt7686456,Jersey Shore Family Vacation,4,605,8.1,210
tt11048090,Legendary,1,900,7.9,211
tt6685272,The Repair Shop,1,370,8.4,212
tt3816666,Running Wild with Bear Grylls,2,659,8.0,213
tt14192040,RuPaul's Drag Race Down Under,2,2577,7.6,214
tt1319900,Ghost Adventures,12,1023,7.8,215
tt2776888,Big Brother Canada,9,418,8.3,216
tt0383126,MythBusters,5,3299,7.6,217
tt0447591,I Married a Princess,1,188,9.3,218
tt2343157,Vanderpump Rules,5,422,8.3,219
tt0251497,Big Brother,14,919,7.9,220
tt9165752,Songland,1,384,8.3,221
tt9170584,Gordon， Gino & Fred's Road Trip,2,324,8.5,222
tt0176095,The Challenge,13,411,8.3,223
tt12821318,WWE's Most Wanted Treasures,1,490,8.2,224
tt0319931,American Idol,20,475,8.2,225
tt1319900,Ghost Adventures,,294,8.6,226
tt7467448,The Healer (TV Series 2017),1,141,9.7,227
tt1877368,The Great British Baking Show,4,894,7.8,228
tt15790598,Queen of the Universe,1,531,8.1,229
tt8911552,Hyperdrive,1,835,7.9,230
tt4803766,Alone,5,651,8.0,231
tt0475900,Anthony Bourdain: No Reservations,1,831,7.9,232
tt5917270,Survivor South Africa,8,282,8.6,233
tt0475900,Anthony Bourdain: No Reservations,5,1089,7.8,234
tt0472023,So You Think You Can Dance,14,284,8.6,235
tt1800864,Gold Rush,8,858,7.8,236
tt10648730,The Strongest Man in History,1,220,8.9,237
tt1588754,RuPaul's Drag Race: Untucked!,3,509,8.1,238
tt5547946,Ride with Norman Reedus,4,197,9.1,239
tt2165920,Journey to a Dream,1,144,9.6,240
tt12585152,Down to Earth with Zac Efron,2,502,8.1,241
tt0883772,Man vs. Wild,7,437,8.2,242
tt6103712,Australian Survivor,1,849,7.8,243
tt0383126,MythBusters,6,2594,7.6,244
tt1877368,The Great British Baking Show,3,770,7.9,245
tt8893550,Car Masters: Rust to Riches,3,632,8.0,246
tt0285335,The Amazing Race,31,870,7.8,247
tt9165706,Gordon Ramsay: Uncharted,2,496,8.1,248
tt0319931,American Idol,21,468,8.1,249
tt0285335,The Amazing Race,34,1028,7.8,250
tt1433870,MasterChef Australia,3,927,6.3,6135
tt0313038,The Bachelor,4,126,3.8,6136
tt1960255,Geordie Shore,16,132,3.9,6137
tt1756927,American Restoration,3,666,6.2,6138
tt0313038,The Bachelor,13,195,4.8,6139
