tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt13661118,Not Me,1,61472,9.3,1
tt8317568,Broken But Beautiful,3,49227,9.3,2
tt5555260,This Is Us,1,60811,8.8,3
tt5555260,This Is Us,2,49210,8.8,4
tt0108778,Friends,10,89340,8.7,5
tt0108778,Friends,5,124581,8.6,6
tt3006802,Outlander,1,82569,8.6,7
tt3006802,Outlander,2,44767,8.6,8
tt3006802,Outlander,3,40434,8.7,9
tt5555260,This Is Us,4,26817,8.8,10
tt5555260,This Is Us,6,25865,8.8,11
tt10638036,Heartstopper,1,22719,8.8,12
tt0108778,Friends,4,122300,8.4,13
tt0413573,Grey's Anatomy,2,42812,8.5,14
tt0108778,Friends,6,118337,8.4,15
tt0460649,How I Met Your Mother,2,90226,8.4,16
tt0413573,Grey's Anatomy,5,33621,8.6,17
tt0108778,Friends,8,108271,8.4,18
tt0108778,Friends,2,132981,8.3,19
tt0413573,Grey's Anatomy,6,32285,8.5,20
tt0108778,Friends,3,129257,8.3,21
tt3006802,Outlander,4,29787,8.5,22
tt5697728,Kuch Rang Pyar Ke Aise Bhi,1,6628,9.5,23
tt0108778,Friends,7,106660,8.3,24
tt1843230,Once Upon a Time,3,36062,8.4,25
tt12451520,It's Okay to Not Be Okay,1,14745,8.7,26
tt9522300,Kaguya-sama: Love is War,3,8961,9.1,27
tt5555260,This Is Us,3,27606,8.5,28
tt10562574,Theory of Love,1,8760,9.1,29
tt0898266,The Big Bang Theory,2,97631,8.2,30
tt0898266,The Big Bang Theory,3,91506,8.2,31
tt0384766,Rome,2,19665,8.5,32
tt0460649,How I Met Your Mother,1,102284,8.2,33
tt3006802,Outlander,5,25332,8.4,34
tt9522300,Kaguya-sama: Love is War,2,8841,9.0,35
tt0460649,How I Met Your Mother,3,75262,8.2,36
tt0108778,Friends,1,152040,8.2,37
tt1606375,Downton Abbey,6,14024,8.6,38
tt0460649,How I Met Your Mother,4,87232,8.2,39
tt14664414,Young Royals,1,11680,8.7,40
tt5288312,Skam,3,7759,9.0,41
tt0413573,Grey's Anatomy,8,28499,8.3,42
tt0384766,Rome,1,27667,8.3,43
tt0108778,Friends,9,96531,8.1,44
tt0460649,How I Met Your Mother,5,88209,8.1,45
tt7335184,You,2,38770,8.2,46
tt1606375,Downton Abbey,2,18388,8.4,47
tt0368530,One Tree Hill,3,9913,8.7,48
tt1843230,Once Upon a Time,1,53201,8.2,49
tt0413573,Grey's Anatomy,3,34853,8.2,50
tt0460649,How I Met Your Mother,6,83488,8.1,51
tt2879552,11.22.63,1,27914,8.3,52
tt1843230,Once Upon a Time,4,33401,8.2,53
tt1606375,Downton Abbey,1,16928,8.4,54
tt13660938,Bad Buddy,1,8460,8.7,55
tt0368530,One Tree Hill,4,9148,8.7,56
tt10850932,Crash Landing on You,1,8493,8.7,57
tt11228748,The King: Eternal Monarch,1,8726,8.7,58
tt0413573,Grey's Anatomy,9,26614,8.2,59
tt0460649,How I Met Your Mother,7,85609,8.1,60
tt1606375,Downton Abbey,3,17235,8.3,61
tt0898266,The Big Bang Theory,4,88531,8.1,62
tt1442437,Modern Family,6,53077,8.1,63
tt0898266,The Big Bang Theory,1,83683,8.1,64
tt0413573,Grey's Anatomy,14,26114,8.2,65
tt0413573,Grey's Anatomy,12,25783,8.2,66
tt1442437,Modern Family,1,71262,8.0,67
tt1843230,Once Upon a Time,2,38599,8.1,68
tt2193041,Beauty and the Beast,1,22977,8.2,69
tt1578873,Pretty Little Liars,2,21324,8.2,70
tt2193041,Beauty and the Beast,2,14681,8.3,71
tt5555260,This Is Us,5,22023,8.2,72
tt9059760,Normal People,1,21638,8.2,73
tt1578873,Pretty Little Liars,3,19363,8.2,74
tt0108757,ER,8,10521,8.4,75
tt4312318,Matter of Respect,1,21003,8.2,76
tt1606375,Downton Abbey,5,13704,8.3,77
tt1442437,Modern Family,2,59376,8.0,78
tt9522300,Kaguya-sama: Love is War,1,7696,8.5,79
tt0413573,Grey's Anatomy,15,24454,8.1,80
tt0413573,Grey's Anatomy,4,20822,8.1,81
tt0898266,The Big Bang Theory,6,84870,8.0,82
tt0898266,The Big Bang Theory,5,86432,8.0,83
tt12439466,You Knock on My Door,1,41066,8.0,84
tt0108757,ER,6,10738,8.3,85
tt13304700,Snowdrop,1,9459,8.4,86
tt0362359,The O.C.,1,17913,8.2,87
tt0368530,One Tree Hill,1,11117,8.3,88
tt0413573,Grey's Anatomy,1,16204,8.2,89
tt1442437,Modern Family,4,52667,8.0,90
tt0434735,Yabanci Damat,2,2226,9.8,91
tt7335184,You,1,43853,8.0,92
tt1442437,Modern Family,5,51241,8.0,93
tt0460649,How I Met Your Mother,8,87637,7.9,94
