tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0475784,Westworld,1,192288,8.9,1
tt0303461,Firefly,1,69072,8.7,2
tt0475784,Westworld,2,125037,8.4,3
tt3230854,The Expanse,3,43051,8.8,4
tt2085059,Black Mirror,3,310340,8.3,5
tt0436992,Doctor Who,4,107206,8.4,6
tt2431438,Sense8,2,40764,8.8,7
tt11280740,Severance,1,57950,8.6,8
tt2661044,The 100,2,72847,8.5,9
tt0436992,Doctor Who,3,116777,8.3,10
tt0436992,Doctor Who,,68949,8.4,11
tt1844624,American Horror Story,2,66501,8.4,12
tt5834204,The Handmaid's Tale,2,53356,8.4,13
tt5114356,Legion,1,36057,8.6,14
tt2661044,The 100,5,38121,8.6,15
tt2431438,Sense8,1,55851,8.4,16
tt3230854,The Expanse,2,42428,8.5,17
tt0436992,Doctor Who,5,95202,8.2,18
tt0436992,Doctor Who,9,84353,8.2,19
tt5834204,The Handmaid's Tale,1,51235,8.3,20
tt2085059,Black Mirror,2,206088,8.1,21
tt1119644,Fringe,2,55029,8.3,22
tt2085059,Black Mirror,1,178476,8.0,23
tt0436992,Doctor Who,6,92399,8.1,24
tt1119644,Fringe,3,44902,8.3,25
tt3230854,The Expanse,4,28306,8.5,26
tt0813715,Heroes,1,49305,8.2,27
tt13668894,The Book of Boba Fett,1,141722,8.0,28
tt1119644,Fringe,5,25647,8.5,29
tt3230854,The Expanse,5,30899,8.4,30
tt1119644,Fringe,4,42824,8.2,31
tt2085059,Black Mirror,4,283566,7.9,32
tt0475784,Westworld,3,75200,8.0,33
tt0436992,Doctor Who,1,104376,8.0,34
tt2661044,The 100,6,32549,8.3,35
tt5834204,The Handmaid's Tale,3,51553,8.1,36
tt2661044,The 100,4,40728,8.2,37
tt2261227,Altered Carbon,1,46613,8.1,38
tt1844624,American Horror Story,1,70155,8.0,39
tt0436992,Doctor Who,2,109577,7.9,40
tt1844624,American Horror Story,8,39487,8.1,41
tt1119644,Fringe,1,53894,8.0,42
tt1844624,American Horror Story,4,52811,8.0,43
tt1844624,American Horror Story,3,58890,8.0,44
tt5114356,Legion,2,23156,8.3,45
tt14688458,Silo,1,30285,8.1,46
tt2234222,Orphan Black,1,20239,8.3,47
tt5834204,The Handmaid's Tale,4,28778,8.1,48
tt2661044,The 100,1,63750,7.9,49
tt1740299,The Man in the High Castle,2,19880,8.3,50
tt3230854,The Expanse,1,40035,8.0,51
tt5651844,Travelers,3,12165,8.6,52
tt0436992,Doctor Who,7,95203,7.8,53
tt0092455,Star Trek: The Next Generation,5,87949,7.8,54
tt0475784,Westworld,4,36837,8.0,55
tt7949218,See,1,31415,8.0,56
tt0436992,Doctor Who,8,84598,7.8,57
tt2234222,Orphan Black,2,15379,8.3,58
tt5114356,Legion,3,12539,8.5,59
tt3230854,The Expanse,6,15066,8.3,60
tt2234222,Orphan Black,3,13347,8.4,61
tt0092455,Star Trek: The Next Generation,6,79348,7.7,62
tt2234222,Orphan Black,4,11794,8.5,63
tt0060028,Star Trek,1,132232,7.7,64
tt12327578,Star Trek: Strange New Worlds,1,42629,7.8,65
tt2402207,The Last Ship,2,13301,8.3,66
tt1740299,The Man in the High Castle,1,27194,8.0,67
tt2618986,Wayward Pines,1,20194,8.1,68
tt3743822,Fear the Walking Dead,3,56218,7.8,69
tt1844624,American Horror Story,5,42495,7.8,70
tt7772588,For All Mankind,1,17609,8.1,71
tt0436992,Doctor Who,10,60266,7.7,72
tt0092455,Star Trek: The Next Generation,3,92957,7.7,73
tt7772588,For All Mankind,2,14490,8.2,74
tt2402207,The Last Ship,3,10661,8.3,75
tt2234222,Orphan Black,5,10261,8.4,76
tt9900092,Motherland: Fort Salem,1,14783,8.1,77
tt1844624,American Horror Story,9,26342,7.9,78
tt5651844,Travelers,1,17665,8.0,79
tt5651844,Travelers,2,13814,8.1,80
tt4643084,Counterpart,1,11771,8.2,81
tt0092455,Star Trek: The Next Generation,4,86797,7.6,82
tt9170108,Raised by Wolves,1,38051,7.7,83
tt9900092,Motherland: Fort Salem,2,8378,8.4,84
tt1135300,Dollhouse,2,9467,8.3,85
tt0112178,Star Trek: Voyager,4,48760,7.7,86
tt7772588,For All Mankind,3,11955,8.1,87
tt8694364,Years and Years,1,8279,8.3,88
tt3743822,Fear the Walking Dead,6,45821,7.6,89
tt1740299,The Man in the High Castle,3,13647,8.0,90
tt1844624,American Horror Story,6,35806,7.7,91
tt3743822,Fear the Walking Dead,1,41895,7.6,92
tt0061287,The Prisoner,1,14111,7.9,93
tt5834204,The Handmaid's Tale,5,16754,7.9,94
tt2661044,The 100,3,112101,7.5,95
tt2384811,Utopia,1,7101,8.4,96
tt1135300,Dollhouse,1,13867,7.9,97
tt0094517,Mystery Science Theater 3000,6,13187,7.9,98
tt2384811,Utopia,2,5428,8.6,99
tt4643084,Counterpart,2,7018,8.3,100
tt8291284,The Peripheral,1,22443,7.7,101
tt0060028,Star Trek,2,89113,7.5,102
tt2402207,The Last Ship,1,13036,7.9,103
tt8466564,Obi-Wan Kenobi,1,136899,7.5,104
tt4122068,Humans,1,9155,8.1,105
tt7826376,Upload,1,18111,7.8,106
tt5580146,Maniac,1,24540,7.7,107
tt0094517,Mystery Science Theater 3000,5,12611,7.9,108
tt7949218,See,2,15037,7.8,109
tt1441135,Flashforward,1,14156,7.8,110
tt0094535,Red Dwarf,5,5488,8.5,111
tt0094517,Mystery Science Theater 3000,9,12074,7.9,112
tt2660734,The Tomorrow People,1,9681,8.0,113
tt0094517,Mystery Science Theater 3000,4,12301,7.9,114
tt1286039,Stargate Universe,2,12663,7.8,115
tt12327578,Star Trek: Strange New Worlds,2,6202,8.3,116
tt0094535,Red Dwarf,3,5603,8.3,117
tt0813715,Heroes,2,16953,7.7,118
tt0094535,Red Dwarf,2,5649,8.3,119
tt2657262,Star-Crossed,1,8770,8.0,120
tt0094517,Mystery Science Theater 3000,10,8164,8.0,121
tt8134186,Devs,1,13121,7.8,122
tt0112178,Star Trek: Voyager,5,47021,7.5,123
tt0094535,Red Dwarf,6,5091,8.3,124
tt0112178,Star Trek: Voyager,7,40756,7.5,125
tt1132290,Warehouse 13,4,8857,7.9,126
tt8421350,Manifest,1,28793,7.5,127
tt0094535,Red Dwarf,4,5123,8.2,128
tt0115082,3rd Rock from the Sun,1,9319,7.8,129
tt0115082,3rd Rock from the Sun,4,6956,7.9,130
tt8421350,Manifest,4,11086,7.7,131
tt1740299,The Man in the High Castle,4,14602,7.6,132
tt1132290,Warehouse 13,3,6664,7.9,133
tt1954347,Continuum,2,7574,7.8,134
tt0115082,3rd Rock from the Sun,2,9351,7.7,135
tt1954347,Continuum,3,6195,7.9,136
tt1227926,Dr. Horrible's Sing-Along Blog,1,2784,8.6,137
tt6632666,Project Blue Book,2,4654,8.1,138
tt9475088,Vader: A Star Wars Theory Fan Series,1,2330,8.8,139
tt1236246,Runaways,2,15868,7.6,140
tt1132290,Warehouse 13,2,7197,7.8,141
tt9170108,Raised by Wolves,2,12576,7.6,142
tt4122068,Humans,2,4990,8.0,143
tt1954347,Continuum,1,8659,7.7,144
tt0094517,Mystery Science Theater 3000,11,7977,7.8,145
tt2732442,Star Trek Continues,1,3764,8.2,146
tt1821681,Touch,1,7520,7.8,147
tt6156584,Snowpiercer,2,12132,7.6,148
tt9900092,Motherland: Fort Salem,3,5034,8.0,149
tt6632666,Project Blue Book,1,7262,7.8,150
tt0115082,3rd Rock from the Sun,5,6250,7.9,151
tt8421350,Manifest,2,14850,7.6,152
tt0094517,Mystery Science Theater 3000,7,11458,7.6,153
tt0115082,3rd Rock from the Sun,3,8348,7.7,154
tt12204810,The End,1,3107,8.3,155
tt0094535,Red Dwarf,1,6316,7.8,156
