tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt10986410,Ted Lasso,1,68716,8.5,1
tt5712554,The Grand Tour,3,23069,8.7,2
tt10986410,Ted Lasso,3,72751,8.4,3
tt0368530,One Tree Hill,3,9907,8.7,4
tt0368530,One Tree Hill,4,9148,8.7,5
tt10986410,Ted Lasso,2,83024,8.2,6
tt15222080,Blue Lock,1,14518,8.3,7
tt0758745,Friday Night Lights,5,6049,8.6,8
tt1628033,Top Gear,22,4490,8.8,9
tt5712554,The Grand Tour,5,4877,8.7,10
tt0758745,Friday Night Lights,4,6215,8.6,11
tt22185582,Sixer,1,4748,8.7,12
tt8226360,A League of Their Own,1,13200,8.3,13
tt0368530,One Tree Hill,9,4456,8.7,14
tt5712554,The Grand Tour,1,32756,8.2,15
tt5712554,The Grand Tour,2,16168,8.2,16
tt5770786,GLOW,2,10805,8.3,17
tt0368530,One Tree Hill,6,8178,8.4,18
tt0368530,One Tree Hill,1,11115,8.3,19
tt3673794,Kingdom,2,5308,8.5,20
tt1628033,Top Gear,21,3775,8.7,21
tt0368530,One Tree Hill,5,6397,8.4,22
tt1628033,Top Gear,19,3769,8.6,23
tt0758745,Friday Night Lights,3,5861,8.4,24
tt10244600,Winning Time: The Rise of the Lakers Dynasty,1,9476,8.2,25
tt6554240,Heels,1,4733,8.4,26
tt3673794,Kingdom,3,2748,8.8,27
tt0368530,One Tree Hill,2,8637,8.2,28
tt2348803,Kuroko's Basketball,2,3329,8.6,29
tt1628033,Top Gear,12,2806,8.6,30
tt2348803,Kuroko's Basketball,3,2786,8.6,31
tt5712554,The Grand Tour,4,12263,8.1,32
tt2891574,Ballers,2,12620,8.1,33
tt1628033,Top Gear,10,3354,8.5,34
tt1628033,Top Gear,9,2995,8.5,35
tt1628033,Top Gear,14,2539,8.6,36
tt0758745,Friday Night Lights,1,17040,8.0,37
tt1628033,Top Gear,15,2669,8.5,38
tt0368530,One Tree Hill,8,5930,8.2,39
tt0866442,Eastbound & Down,4,3696,8.3,40
tt1344204,Blue Mountain State,3,4477,8.2,41
tt2211065,The Other Sport,1,1877,8.7,42
tt3673794,Kingdom,1,3578,8.3,43
tt15012798,All or Nothing: Arsenal,1,2762,8.4,44
tt1628033,Top Gear,16,2824,8.4,45
tt1480684,The League,2,5301,8.1,46
tt0108700,Baseball,1,1909,8.6,47
tt1628033,Top Gear,20,2228,8.5,48
tt0368530,One Tree Hill,7,6151,8.1,49
tt1628033,Top Gear,13,1974,8.5,50
tt2891574,Ballers,3,11072,7.9,51
tt1480684,The League,3,4549,8.1,52
tt8289930,Formula 1: Drive to Survive,3,9321,7.9,53
tt1411815,One Outs,1,1073,8.9,54
tt14674086,Welcome to Wrexham,1,9878,7.9,55
tt5770786,GLOW,1,13153,7.9,56
tt8289930,Formula 1: Drive to Survive,2,8123,7.9,57
tt1480684,The League,4,4104,8.1,58
tt0165961,Sports Night,1,3733,8.1,59
tt7414406,All American,1,4300,8.0,60
tt1628033,Top Gear,18,2971,8.1,61
tt4680240,Club de Cuervos,4,951,8.9,62
tt3592032,Ping Pong the Animation,1,1650,8.4,63
tt7414406,All American,2,3059,8.1,64
tt11347692,The Test: A New Era for Australia's Team,1,1061,8.7,65
tt1344204,Blue Mountain State,1,5849,7.9,66
tt1628033,Top Gear,17,1855,8.3,67
tt1344204,Blue Mountain State,2,4595,8.0,68
tt7414406,All American,3,3392,8.0,69
tt1480684,The League,1,3001,8.0,70
tt9402026,Run with the Wind,1,1388,8.4,71
tt0866442,Eastbound & Down,1,4367,7.9,72
tt12269504,Undertaker: The Last Ride,1,959,8.6,73
tt4171176,Lucha Underground,1,1564,8.3,74
tt8289930,Formula 1: Drive to Survive,1,9306,7.8,75
tt0096560,Coach,2,1360,8.3,76
tt5770786,GLOW,3,8546,7.8,77
tt1628033,Top Gear,7,1788,8.2,78
tt0866442,Eastbound & Down,3,3566,7.9,79
tt7414406,All American,4,2271,8.1,80
tt2891574,Ballers,4,10003,7.8,81
tt0758745,Friday Night Lights,2,7856,7.8,82
tt1628033,Top Gear,8,1889,8.1,83
tt1628033,Top Gear,11,1517,8.2,84
tt6112414,Inside Edge,2,1570,8.2,85
tt0165961,Sports Night,2,2876,8.0,86
tt1178714,Beijing 2008: Games of the XXIX Olympiad,1,1246,8.3,87
tt0866442,Eastbound & Down,2,3521,7.9,88
tt0096560,Coach,7,1110,8.3,89
tt2348803,Kuroko's Basketball,1,3842,7.9,90
