tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt6056560,LeagueOne: In the Spotlight!,1,3290,10.0,1
tt5712554,The Grand Tour,3,23069,8.7,2
tt18412104,The Comments Section with Brett Cooper,,2782,9.1,3
tt0360314,Unscrewed with Martin Sargent,2,1682,9.6,4
tt5712554,The Grand Tour,5,4900,8.7,5
tt3530232,Last Week Tonight with John Oliver,2,12443,8.4,6
tt5712554,The Grand Tour,2,16168,8.2,7
tt5712554,The Grand Tour,1,32757,8.2,8
tt3530232,Last Week Tonight with John Oliver,3,10331,8.3,9
tt3530232,Last Week Tonight with John Oliver,4,8989,8.3,10
tt3530232,Last Week Tonight with John Oliver,1,8627,8.3,11
tt0240295,The Screen Savers,,1030,9.9,12
tt21268648,Unapologetic with Amala Ekpunobi,,1365,9.4,13
tt24484654,Desi Vibes with Shehnaaz Gill,1,1244,9.6,14
tt6111552,Content Cop,3,1552,9.2,15
tt3530232,Last Week Tonight with John Oliver,6,8891,8.2,16
tt5712554,The Grand Tour,4,12267,8.1,17
tt2244495,The Eric Andre Show,3,2387,8.7,18
tt3530232,Last Week Tonight with John Oliver,7,8436,8.1,19
tt12661310,The George Lucas Talk Show,1,2117,8.6,20
tt2244495,The Eric Andre Show,4,2069,8.7,21
tt3530232,Last Week Tonight with John Oliver,5,8210,8.1,22
tt2244495,The Eric Andre Show,5,2043,8.6,23
tt6111552,Content Cop,2,2317,8.5,24
tt19638434,FRO Thizzle Reviews,1,1015,9.2,25
tt9426096,A Celebrity's Guide to Giving,1,667,9.8,26
tt13555182,The Hollywood Moment,1,596,10.0,27
tt12564744,Selena + Chef,1,1014,9.0,28
tt3412000,IMDb: What to Watch,2,3060,8.1,29
tt2089467,Talking Dead,7,1476,8.5,30
tt2089467,Talking Dead,5,1777,8.4,31
tt2244495,The Eric Andre Show,2,2125,8.2,32
tt7829834,My Next Guest Needs No Introduction with David Letterman,3,2475,8.2,33
tt11291234,Dogru Kariyer,1,533,10.0,34
tt18412104,The Comments Section with Brett Cooper,1,1175,8.7,35
tt7829834,My Next Guest Needs No Introduction with David Letterman,1,3362,8.0,36
tt2089467,Talking Dead,6,1496,8.4,37
tt3530232,Last Week Tonight with John Oliver,9,6351,7.8,38
tt1535002,Between Two Ferns with Zach Galifianakis,1,5334,7.8,39
tt4215716,Thronecast,6,538,9.8,40
tt2244495,The Eric Andre Show,1,2761,8.0,41
tt1637574,Conan,1,4199,7.9,42
tt1553644,The Ricky Gervais Show,1,2156,8.1,43
tt2089467,Talking Dead,4,1167,8.5,44
tt1553644,The Ricky Gervais Show,2,1667,8.2,45
tt3530232,Last Week Tonight with John Oliver,8,7169,7.7,46
tt6407712,Norm Macdonald Live,1,724,9.0,47
tt2360717,Satyamev Jayate,1,1209,8.4,48
tt2176287,Comedy Bang! Bang!,2,1542,8.2,49
tt0055708,The Tonight Show Starring Johnny Carson,,8071,7.7,50
tt8139862,Norm Macdonald Has a Show,1,2222,8.0,51
tt0445883,Koffee with Karan,1,1774,8.1,52
tt3787912,Best of the Worst,2,1066,8.5,53
tt6609270,Dorehami,5,432,9.8,54
tt0063894,The Dick Cavett Show,,1057,8.4,55
tt1850596,Eye on Entertainment,7,1655,8.1,56
tt12564744,Selena + Chef,3,512,9.4,57
tt12564744,Selena + Chef,2,578,9.2,58
tt2314952,Comedians in Cars Getting Coffee,1,4662,7.7,59
tt2089467,Talking Dead,8,1005,8.4,60
tt3787912,Best of the Worst,5,983,8.5,61
tt1637574,Conan,2,2792,7.8,62
tt0474499,Howard Stern on Demand,,2225,7.9,63
tt2089467,Talking Dead,3,1002,8.4,64
tt5897920,Your Movie Sucks,11,556,9.1,65
tt1553644,The Ricky Gervais Show,3,1528,8.1,66
tt27684786,The Porkotyler Show,1,359,10.0,67
tt12564744,Selena + Chef,4,429,9.6,68
tt11759280,Pseudo-Intellectual with Lauren Chen,,1483,8.1,69
tt2176287,Comedy Bang! Bang!,4,1200,8.2,70
tt8080054,Patriot Act with Hasan Minhaj,1,1868,7.9,71
tt12054924,Some Good News,1,415,9.5,72
tt1850596,Eye on Entertainment,8,595,8.9,73
tt8080054,Patriot Act with Hasan Minhaj,2,1364,8.1,74
tt8363486,Power Rangers Anti Bullying,1,349,9.9,75
tt15697242,Unstoppable with NBK,1,423,9.4,76
tt25378820,Suchwita,1,1985,7.8,77
tt1915208,Piper's Picks TV,1,6105,7.6,78
tt3787912,Best of the Worst,1,1031,8.2,79
tt2089467,Talking Dead,2,1032,8.2,80
tt0240295,The Screen Savers,8,318,10.0,81
tt9022950,The Kelly Clarkson Show,1,539,8.9,82
tt0063894,The Dick Cavett Show,6,559,8.8,83
tt2314952,Comedians in Cars Getting Coffee,7,2212,7.7,84
tt3787912,Best of the Worst,6,766,8.4,85
tt8080054,Patriot Act with Hasan Minhaj,6,1090,8.1,86
tt3787912,Best of the Worst,3,719,8.5,87
tt2089467,Talking Dead,1,885,8.2,88
tt4215716,Thronecast,1,779,8.4,89
tt8615966,13 Reasons Why: Beyond the Reasons,1,1802,7.8,90
tt2348531,Half in the Bag,6,1098,8.1,91
tt2348531,Half in the Bag,1,1388,7.9,92
tt8041298,IMDb Me,1,589,8.6,93
tt0458254,The Colbert Report,8,2711,7.6,94
tt8080054,Patriot Act with Hasan Minhaj,3,1093,8.0,95
tt0115147,The Daily Show,20,5020,7.5,96
tt15697242,Unstoppable with NBK,2,351,9.5,97
tt2348531,Half in the Bag,7,856,8.2,98
tt0055708,The Tonight Show Starring Johnny Carson,27,518,8.7,99
tt6987966,The Jim Jefferies Show,1,1139,8.0,100
tt2176287,Comedy Bang! Bang!,3,910,8.1,101
tt1637574,Conan,11,549,8.6,102
tt8080054,Patriot Act with Hasan Minhaj,4,1042,8.0,103
tt2176287,Comedy Bang! Bang!,1,971,8.0,104
tt1850596,Eye on Entertainment,6,325,9.4,105
tt0458254,The Colbert Report,10,1696,7.7,106
tt0498878,Attack of the Show!,,547,8.6,107
tt0458254,The Colbert Report,9,2724,7.6,108
tt0204091,Hour Magazine,,255,10.0,109
tt2314952,Comedians in Cars Getting Coffee,6,2541,7.6,110
tt0055708,The Tonight Show Starring Johnny Carson,30,1307,7.8,111
tt0924651,The Graham Norton Show,14,797,8.2,112
tt0075505,Fernwood Tonight,1,523,8.6,113
tt1657563,Check It Out! with Dr. Steve Brule,3,585,8.4,114
tt8080054,Patriot Act with Hasan Minhaj,5,1053,7.9,115
tt0924651,The Graham Norton Show,20,934,8.0,116
tt2348531,Half in the Bag,8,895,8.0,117
tt0320037,Jimmy Kimmel Live!,10,339,9.2,118
tt8129446,Lights Out with David Spade,1,1223,7.8,119
tt11945438,Steve Austin's Broken Skull Sessions,1,1382,7.7,120
tt1657563,Check It Out! with Dr. Steve Brule,2,599,8.3,121
tt0169455,Inside the Actors Studio,12,578,8.4,122
tt0924651,The Graham Norton Show,22,1212,7.8,123
