tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0903747,Breaking Bad,5,790209,9.6,1
tt7366338,Chernobyl,1,259244,9.5,2
tt4158110,Mr. Robot,4,154523,9.4,3
tt0903747,Breaking Bad,4,371197,9.1,4
tt0903747,Breaking Bad,2,324059,8.8,5
tt0903747,Breaking Bad,3,331109,8.8,6
tt4158110,Mr. Robot,3,76836,9.1,7
tt2802850,Fargo,1,97733,8.9,8
tt0903747,Breaking Bad,1,208320,8.7,9
tt2802850,Fargo,2,78405,8.9,10
tt4158110,Mr. Robot,1,119092,8.7,11
tt1520211,The Walking Dead,5,220317,8.5,12
tt1520211,The Walking Dead,1,107614,8.6,13
tt4158110,Mr. Robot,2,86303,8.6,14
tt1520211,The Walking Dead,3,202621,8.4,15
tt1520211,The Walking Dead,4,220901,8.4,16
tt1520211,The Walking Dead,2,181360,8.4,17
tt1520211,The Walking Dead,6,241283,8.3,18
tt0306414,The Wire,3,48784,8.7,19
tt0306414,The Wire,4,48950,8.7,20
tt5071412,Ozark,3,51854,8.7,21
tt0306414,The Wire,1,68454,8.5,22
tt1124373,Sons of Anarchy,7,39155,8.8,23
tt0306414,The Wire,5,38000,8.8,24
tt1837492,13 Reasons Why,1,83444,8.4,25
tt1124373,Sons of Anarchy,4,32905,8.7,26
tt5834204,The Handmaid's Tale,2,53356,8.4,27
tt0306414,The Wire,2,51116,8.5,28
tt1124373,Sons of Anarchy,2,34098,8.6,29
tt2802850,Fargo,3,53308,8.4,30
tt1124373,Sons of Anarchy,5,30719,8.7,31
tt1124373,Sons of Anarchy,6,32279,8.6,32
tt1520211,The Walking Dead,9,142113,8.1,33
tt5834204,The Handmaid's Tale,1,51234,8.3,34
tt1124373,Sons of Anarchy,3,34190,8.5,35
tt3647998,Taboo,1,36247,8.5,36
tt5071412,Ozark,2,45712,8.3,37
tt0118421,Oz,4,30829,8.5,38
tt5071412,Ozark,4,60547,8.2,39
tt5071412,Ozark,1,61748,8.2,40
tt0286486,The Shield,7,25746,8.5,41
tt1124373,Sons of Anarchy,1,40335,8.3,42
tt5834204,The Handmaid's Tale,3,51551,8.1,43
tt5057054,Tom Clancy's Jack Ryan,1,31352,8.3,44
tt7493974,Bodyguard,1,25298,8.3,45
tt0118421,Oz,1,19355,8.5,46
tt0286486,The Shield,5,22763,8.3,47
tt1520211,The Walking Dead,11,150901,7.9,48
tt0286486,The Shield,3,30331,8.2,49
tt0286486,The Shield,1,30746,8.1,50
tt2234222,Orphan Black,1,20229,8.3,51
tt1740299,The Man in the High Castle,2,19877,8.3,52
tt5834204,The Handmaid's Tale,4,28778,8.1,53
tt7235466,9-1-1,2,17946,8.3,54
tt1837642,Revenge,1,21580,8.2,55
tt11743610,The Terminal List,1,22466,8.2,56
tt0286486,The Shield,2,27155,8.1,57
tt0118421,Oz,6,15183,8.4,58
tt0118421,Oz,3,15637,8.4,59
tt0286486,The Shield,6,20759,8.2,60
tt2234222,Orphan Black,2,15379,8.3,61
tt7431994,The Pit,1,9721,8.7,62
tt27862209,Rafuchakkar,1,8590,8.8,63
tt15222080,Blue Lock,1,14539,8.3,64
tt0118421,Oz,5,14715,8.3,65
tt2234222,Orphan Black,3,13346,8.4,66
tt7431994,The Pit,4,8908,8.7,67
tt2234222,Orphan Black,4,11792,8.5,68
tt1520211,The Walking Dead,7,217676,7.7,69
tt7235466,9-1-1,3,14836,8.3,70
tt1534360,Ezel,2,7786,8.8,71
tt12197698,Leverage: Redemption,1,11506,8.4,72
tt1103987,Leverage,4,11488,8.4,73
tt11712058,Mayor of Kingstown,1,12105,8.4,74
tt1837576,Scandal,2,15079,8.2,75
tt1837642,Revenge,3,14871,8.2,76
tt1103987,Leverage,3,10754,8.4,77
