tconst,primaryTitle,seasonNumber,numVotes,averageRating,ranking
tt0185906,Band of Brothers,1,85511,9.0,1
tt0071075,The World at War,1,9840,8.7,2
tt0096548,Blackadder Goes Forth,1,6910,8.7,3
tt1877514,The Vietnam War,1,7455,8.6,4
tt2543328,TURN: Washington's Spies,3,3866,8.8,5
tt6473344,SEAL Team,2,11474,8.4,6
tt2543328,TURN: Washington's Spies,4,3304,8.8,7
tt2543328,TURN: Washington's Spies,2,4108,8.7,8
tt0098769,The Civil War,1,3241,8.6,9
tt12632132,Uyanis: Büyük Selcuklu,1,2912,8.6,10
tt0995832,Generation Kill,1,6461,8.3,11
tt7146600,Wolf,1,2443,8.7,12
tt9103932,Greatest Events of WWII in Colour,1,4732,8.3,13
tt6473344,SEAL Team,4,6150,8.3,14
tt1508238,Apocalypse: The Second World War,1,2274,8.6,15
tt6473344,SEAL Team,3,8116,8.2,16
tt0055666,Combat!,3,2740,8.5,17
tt0055666,Combat!,2,3033,8.4,18
tt2543328,TURN: Washington's Spies,1,5517,8.2,19
tt0068098,M*A*S*H,3,14451,8.1,20
tt0055666,Combat!,1,3604,8.3,21
tt6473344,SEAL Team,6,2938,8.4,22
tt0055666,Combat!,4,2474,8.5,23
tt15087526,Alparslan: The Great Seljuks,1,1916,8.5,24
tt2262456,The Hollow Crown,1,5513,8.1,25
tt1494191,The Untold History of the United States,1,2861,8.3,26
tt0068098,M*A*S*H,11,10481,8.0,27
tt0068098,M*A*S*H,2,14945,8.0,28
tt2548418,Jonathan Strange & Mr Norrell,1,3090,8.2,29
tt0996994,The War,1,1335,8.6,30
tt0069628,Seventeen Moments of Spring,1,1672,8.4,31
tt0081834,Das Boot,1,1132,8.6,32
tt2069688,World War II in Colour,1,3278,8.1,33
tt0055666,Combat!,5,1886,8.3,34
tt0859592,Army Wives,2,1120,8.5,35
tt7440274,Medal of Honor,1,999,8.5,36
tt0859592,Army Wives,1,1034,8.5,37
tt0092468,Tour of Duty,1,1654,8.2,38
tt0859592,Army Wives,6,1065,8.4,39
tt0086659,'Allo 'Allo!,1,2472,8.1,40
tt3673480,The Good Lord Bird,1,2888,8.0,41
tt0057793,12 O'Clock High,1,1664,8.2,42
tt0859592,Army Wives,3,861,8.5,43
tt0086659,'Allo 'Allo!,2,1761,8.2,44
tt0068098,M*A*S*H,8,12304,7.9,45
tt3638584,Apocalypse la 1ère Guerre mondiale,1,802,8.5,46
tt2262456,The Hollow Crown,2,1754,8.1,47
tt0096725,War and Remembrance,1,1109,8.3,48
tt0075579,Secret Army,1,981,8.4,49
tt1999065,The Neighbourhood's Gate,1,848,8.5,50
tt0086659,'Allo 'Allo!,3,1381,8.2,51
tt0068098,M*A*S*H,4,13061,7.9,52
tt0092468,Tour of Duty,3,1054,8.3,53
tt0446610,Auschwitz: Inside the Nazi State,1,1067,8.3,54
tt0068098,M*A*S*H,1,18131,7.8,55
tt0086659,'Allo 'Allo!,5,4550,7.9,56
tt1999065,The Neighbourhood's Gate,2,386,9.0,57
tt0046658,Victory at Sea,1,1587,8.1,58
tt0092468,Tour of Duty,2,1456,8.1,59
tt0140770,Vietnam,1,312,9.1,60
tt4338336,X Company,3,595,8.5,61
tt3231564,Manhattan,1,3137,7.9,62
tt1489097,WWII in HD,1,733,8.4,63
tt0094433,China Beach,1,792,8.3,64
tt8470384,Al Nadam,1,313,9.0,65
tt0859592,Army Wives,5,608,8.4,66
tt4015216,Home Fires,2,732,8.3,67
tt4338336,X Company,2,606,8.4,68
tt0426688,The First World War,1,727,8.3,69
tt0068098,M*A*S*H,7,11946,7.8,70
tt1955311,Bomb Girls,2,764,8.3,71
tt8190688,Valley of Tears,1,1507,8.0,72
tt0388189,Kurtulus,1,211,9.3,73
tt9604400,Tuntematon sotilas,1,380,8.6,74
tt0058812,Hogan's Heroes,2,5065,7.8,75
tt3315386,Roots,1,1634,8.0,76
tt15087526,Alparslan: The Great Seljuks,2,631,8.3,77
tt14779804,Destan,1,1914,7.9,78
tt12747876,Once Upon a Time in Iraq,1,330,8.7,79
tt0068059,Colditz,1,645,8.2,80
tt0057793,12 O'Clock High,2,1042,8.1,81
tt0859592,Army Wives,4,785,8.2,82
tt0068059,Colditz,2,478,8.4,83
tt0075579,Secret Army,2,665,8.2,84
tt0081944,Tenko,2,270,8.8,85
tt16752712,Ace Troops,1,287,8.7,86
tt0496191,The Revolution,1,242,8.9,87
tt0081944,Tenko,1,288,8.7,88
tt0057753,The Great War,1,378,8.4,89
tt0062552,Dad's Army,3,1982,7.9,90
tt3231564,Manhattan,2,1714,7.9,91
tt8335218,No Man's Land,1,792,8.1,92
tt0115418,The West,1,878,8.0,93
tt0075579,Secret Army,3,640,8.1,94
tt3419604,Our World War,1,428,8.3,95
tt15260794,Turning Point: 9/11 and the War on Terror,1,2148,7.9,96
tt0086659,'Allo 'Allo!,4,1256,8.0,97
tt0207885,Fall of Eagles,1,480,8.3,98
tt0071028,Otpisani,1,239,8.7,99
tt0065035,Stawka wieksza niz zycie,1,478,8.2,100
tt8392956,Konak kod Hilmije,1,153,9.2,101
tt0068098,M*A*S*H,5,12285,7.8,102
tt8372660,Hunting ISIS,1,195,8.8,103
tt4015216,Home Fires,1,840,8.0,104
tt0207907,The Nazis: A Warning from History,1,317,8.4,105
tt6473344,SEAL Team,5,5004,7.8,106
tt5830254,Das Boot,3,839,8.0,107
tt0094433,China Beach,2,608,8.1,108
tt7302168,Raafat Al Haggan,2,279,8.4,109
tt0191730,Slozna braca,1,117,9.3,110
tt8392956,Konak kod Hilmije,2,122,9.2,111
tt6473344,SEAL Team,1,14095,7.8,112
tt6740146,Morocco: Love in Times of War,1,625,8.0,113
tt0062552,Dad's Army,6,1002,7.9,114
tt0057793,12 O'Clock High,3,558,8.0,115
tt0250764,Secrets of War,1,228,8.5,116
tt0050061,The Silent Service,1,382,8.2,117
tt0074039,Povratak otpisanih,1,150,8.8,118
tt0401019,Island at War,1,426,8.1,119
tt0062552,Dad's Army,4,1805,7.8,120
tt5289208,Kerchi: Dakarguli Gmirebi,1,78,9.6,121
tt1999065,The Neighbourhood's Gate,3,99,9.2,122
tt0062552,Dad's Army,5,1575,7.8,123
tt4591834,Nobel,1,1478,7.8,124
tt4338336,X Company,1,1006,7.9,125
tt3494220,The Crimson Field,1,803,7.9,126
tt0185129,Vietnam: A Television History,1,157,8.6,127
tt0081944,Tenko,3,264,8.3,128
tt3543084,14 Tagebücher des Ersten Weltkriegs,1,151,8.6,129
tt0122818,Enemy at the Door,2,381,8.1,130
tt0859592,Army Wives,7,486,8.0,131
tt8690732,The Pacific War in Color,1,128,8.7,132
tt0094433,China Beach,4,513,8.0,133
tt7302168,Raafat Al Haggan,3,151,8.5,134
tt0062552,Dad's Army,8,927,7.9,135
tt1692202,The Promise,1,276,8.1,136
tt6941980,Savasci,2,64,9.4,137
tt0122818,Enemy at the Door,1,460,8.0,138
tt0094433,China Beach,3,674,7.9,139
tt0446241,Over There,1,898,7.9,140
tt2109059,Vietnam in HD,1,354,8.0,141
tt24249682,Incompetent Soldiers,1,67,9.2,142
tt3705688,El Mal We El Banon,1,145,8.4,143
tt2094220,Apocalypse: The Rise of Hitler,1,268,8.1,144
tt0058812,Hogan's Heroes,4,3936,7.8,145
tt0088479,Anzacs,1,101,8.6,146
tt3543006,The World Wars,1,340,8.0,147
tt6065848,Taking Fire,1,83,8.7,148
tt11507982,Legacy,1,132,8.3,149
tt0246430,Anne Frank: The Whole Story,1,91,8.6,150
tt1999065,The Neighbourhood's Gate,5,62,8.9,151
tt1855924,Third Reich: The Rise & Fall,1,107,8.4,152
tt0229883,Battlefield: Vietnam,1,87,8.5,153
tt0086659,'Allo 'Allo!,9,1019,7.8,154
tt0086659,'Allo 'Allo!,6,1348,7.8,155
tt3325692,Nazi Mega Weapons,1,469,7.9,156
tt18285002,Safar Berlik,1,75,8.5,157
tt8589702,APOCALYPSE War of Worlds 1945-1991,1,310,7.9,158
tt0164305,Wings,,60,8.7,159
tt0459723,Valter brani Sarajevo,1,28,9.8,160
tt0050061,The Silent Service,2,259,7.9,161
tt0432807,The Republic,1,31,9.4,162
tt6941980,Savasci,1,68,8.5,163
tt0085112,The Winds of War,1,956,7.8,164
tt0135738,Wish Me Luck,3,101,8.2,165
tt3325692,Nazi Mega Weapons,2,330,7.9,166
tt7302168,Raafat Al Haggan,1,209,7.9,167
tt9904522,Australia in Colour,1,76,8.3,168
tt0906873,Dogfights,1,309,7.9,169
tt0135738,Wish Me Luck,2,85,8.2,170
tt2708572,Bluestone 42,3,114,8.1,171
tt0083387,The Blue and the Gray,1,142,8.0,172
tt10343984,Passport to Freedom,1,150,8.0,173
tt0062552,Dad's Army,9,689,7.8,174
tt0092404,The Monocled Mutineer,1,48,8.5,175
tt0376899,Stalingrad,1,92,8.1,176
tt2708572,Bluestone 42,2,147,8.0,177
tt3325692,Nazi Mega Weapons,4,194,7.9,178
tt0078699,Testament of Youth,1,54,8.4,179
tt9540596,Nöbet,1,21,9.4,180
tt3280150,The Heavy Water War: Stopping Hitler's Atomic Bomb,1,1511,7.7,181
tt14475988,The Line,1,152,7.9,182
tt0081878,It Ain't Half Hot Mum,2,250,7.9,183
tt1999065,The Neighbourhood's Gate,4,28,8.9,184
tt0132659,The Revolutionary War,1,31,8.8,185
tt0292774,The Color of War,1,118,8.0,186
tt0120926,Battlefield,6,41,8.5,187
tt0055675,The Gallant Men,1,144,7.9,188
tt1194698,Battle 360,1,201,7.9,189
tt3469680,Britain's Great War,1,26,8.9,190
tt0283280,The Cazalets,1,146,7.9,191
tt7453862,Sankatmochan Mahabali Hanuman,1,20,9.2,192
tt0135738,Wish Me Luck,1,137,7.9,193
tt3908608,The Great War: The People's Story,1,54,8.3,194
tt1263711,2009: A True Story,1,21,9.1,195
tt5263734,APOCALYPSE the Battle of Verdun,,68,8.1,196
tt10694348,Nestali,2,36,8.5,197
tt0061254,Garrison's Gorillas,1,278,7.8,198
tt1514753,Three Kingdoms,1,17,9.2,199
tt5916838,Rush: Inspired by Battlefield,1,29,8.6,200
tt0424738,The War That Made America,1,48,8.2,201
tt5806964,My Fighting Season,1,55,8.1,202
tt4043088,Great War Diaries,1,22,8.8,203
tt0186762,Mino,1,29,8.5,204
tt13959762,Irak， destruction d'une nation,1,30,8.5,205
tt0275265,Civil War Combat: America's Bloodiest Battles,1,35,8.3,206
tt0089645,Mussolini and I,1,38,8.3,207
tt0081878,It Ain't Half Hot Mum,8,167,7.8,208
