tconst,primaryTitle,averageRating,numVotes,ranking
tt0944947,Game of Thrones,9.2,2171127,1
tt0417299,Avatar: The Last Airbender,9.3,333828,2
tt2560140,Attack on Titan,9.1,414928,3
tt1355642,Fullmetal Alchemist: Brotherhood,9.1,179869,4
tt11126994,Arcane,9.0,231294,5
tt3581920,The Last of Us,8.8,424121,6
tt1190634,The Boys,8.7,558305,7
tt8111088,The Mandalorian,8.7,548687,8
tt0388629,One Piece,8.9,147584,9
tt3322312,Daredevil,8.6,454559,10
tt2098220,Hunter x Hunter,9.0,112679,11
tt0103359,Batman: The Animated Series,9.0,109081,12
tt0213338,Cowboy Bebop,8.9,127542,13
tt2306299,Vikings,8.5,553417,14
tt0214341,Dragon Ball Z,8.8,137589,15
tt0384766,Rome,8.7,177429,16
tt4508902,One Punch Man,8.7,171419,17
tt0407362,Battlestar Galactica,8.7,170469,18
tt11198330,House of the Dragon,8.5,330488,19
tt6741278,Invincible,8.7,154862,20
tt0988824,Naruto: Shippuden,8.7,138468,21
tt5675620,The Punisher,8.5,248713,22
tt1442449,Spartacus,8.5,248191,23
tt0092455,Star Trek: The Next Generation,8.7,128136,24
tt1486217,Archer,8.6,159639,25
tt9335498,Demon Slayer: Kimetsu no Yaiba,8.7,122964,26
tt7221388,Cobra Kai,8.5,194317,27
tt1839578,Person of Interest,8.5,181759,28
tt0455275,Prison Break,8.3,553560,29
tt0121220,Dragon Ball Z,8.8,83158,30
tt4179452,The Last Kingdom,8.5,154719,31
tt9544034,The Family Man,8.7,91644,32
tt1758429,Spartacus: Gods of the Arena,8.5,141268,33
tt0285331,24,8.4,191686,34
tt1489428,Justified,8.6,106238,35
tt9561862,"Love, Death & Robots",8.4,180542,36
tt1305826,Adventure Time,8.6,102025,37
tt6468322,Money Heist,8.2,498183,38
tt9253284,Andor,8.4,140746,39
tt9140554,Loki,8.2,342881,40
tt0994314,Code Geass,8.7,73220,41
tt1695360,The Legend of Korra,8.4,127523,42
tt5180504,The Witcher,8.1,521483,43
tt0118276,Buffy the Vampire Slayer,8.3,152746,44
tt6077448,Sacred Games,8.5,90180,45
tt0409591,Naruto,8.4,112166,46
tt2017109,Banshee,8.4,110800,47
tt0458290,Star Wars: The Clone Wars,8.4,107762,48
tt5348176,Barry,8.4,105228,49
tt10233448,Vinland Saga,8.8,52403,50
tt0118480,Stargate SG-1,8.4,97273,51
tt0314979,Battlestar Galactica,8.5,77895,52
tt13146488,Peacemaker,8.3,122096,53
tt6473300,Mirzapur,8.5,76627,54
tt0112159,Neon Genesis Evangelion,8.5,76263,55
tt0374463,The Pacific,8.3,117450,56
tt0421357,Fullmetal Alchemist,8.5,73828,57
tt12343534,Jujutsu Kaisen,8.5,73637,58
tt0280249,Dragon Ball,8.6,62195,59
tt0060028,Star Trek: The Original Series,8.4,87952,60
tt0088509,Dragon Ball,8.6,61235,61
tt10919420,Squid Game,8.0,481371,62
tt0934814,Chuck,8.2,142519,63
tt4189022,Ash vs Evil Dead,8.4,77245,64
tt0423731,Samurai Champloo,8.6,51777,65
tt0318871,Berserk,8.7,44722,66
tt2375692,Black Sails,8.2,108459,67
tt0278238,Samurai Jack,8.5,56306,68
tt0275137,Justice League,8.6,48802,69
tt9288030,Reacher,8.1,141262,70
tt0187664,Spaced,8.5,56040,71
tt5114356,Legion,8.2,93748,72
