tconst,primaryTitle,averageRating,numVotes,ranking
tt14403508,Meru the Succubus,8.6,169,1
tt4229150,TS Seduction,9.2,85,2
tt9341024,Itadaki! Seieki,8.9,73,3
tt11709654,The Real Workout,8.3,101,4
tt3623074,The Whore of Wall Street,8.2,106,5
tt10958980,Peepoodo & The Super Fuck Friends,7.7,198,6
tt5946088,Vixen,8.0,106,7
tt7771836,Blacked,7.7,154,8
tt7817662,Girlsway Originals,8.1,64,9
tt4863818,Big Tits at School,7.9,71,10
tt13490144,Jimihen!! Jimiko o Kae Chau Jun Isei Kouyuu,7.6,98,11
tt9195990,Fantasy Flirt,7.9,65,12
tt7558652,Pure Taboo,7.5,112,13
tt12555040,Fire in His Fingertips,8.2,48,14
tt6230710,Tushy,7.5,91,15
tt4203604,Hot and Mean,7.6,76,16
tt0472645,Jo's Sexy College Diaries,8.3,36,17
tt4863852,Big Tits at Work,7.7,57,18
tt6061336,Big Wet Butts,7.6,60,19
tt10804418,Deeper,7.7,53,20
tt4598086,Czech Hunter,9.4,18,21
tt5822916,Playboy Plus,8.0,38,22
tt2527562,Public Disgrace,7.6,57,23
tt9480774,The Men,7.7,50,24
tt7420530,Tamashii: Insert,8.9,21,25
tt7309522,TransAngels,7.8,40,26
tt11477320,Czech Soles,9.2,17,27
tt7492564,The Obsession,7.6,49,28
tt6268790,Bang Bus,7.4,63,29
tt5028636,Moms Lick Teens,7.4,62,30
tt6286304,Mommy's Girl,7.4,61,31
tt15765156,Do the Wife,9.6,14,32
tt0369277,Bible Black,6.8,617,33
tt7466102,Vampires,7.4,60,34
tt0343312,Star Whores,7.6,46,35
tt9506058,Bratty Sis,7.8,37,36
tt7465320,Dr. Jekyll & Mrs. Hyde,7.8,37,36
tt0473320,Sophie's Wet Dreams,8.7,20,38
tt7557512,Playboy Cyber Girls,7.3,65,39
tt5166142,Xev Bellringer,7.9,32,40
tt6269222,Mommy Got Boobs,7.6,41,41
tt4861262,Babes,7.4,50,42
tt0250373,"F3: Frantic, Frustrated, & Female",7.2,68,43
tt4267270,Fake Taxi,7.1,81,44
tt14962432,Overflow,6.8,254,45
tt11142126,My Family Pies,8.0,25,46
tt4229076,Ultimate Surrender,8.1,23,47
tt9546144,Mistreated Bride,8.5,18,48
tt8170596,Cybergirl of the Year,7.3,51,49
tt7813168,All Girl Massage,7.5,38,50
tt4384468,I Know That Girl,7.3,46,51
tt8085744,Blacked Raw,7.0,82,52
tt7492150,The Mistress,7.0,80,53
tt6139658,Box Truck Sex,8.3,18,54
tt7466638,Christmas Spirit,7.5,34,55
tt8815210,Bel Ami,8.9,13,56
tt0369219,Immoral Sisters,6.9,102,57
tt3977910,Sex and Submission,7.1,59,58
tt3981852,Everything Butt,7.3,42,59
tt8618286,Nubile Films,7.2,48,60
tt0159517,Cream Lemon,7.3,40,61
tt15385960,Showtime! Uta no Onee-san Datte Shitai,7.6,28,62
tt2232889,Playboy TV Chat,9.1,11,63
tt5359400,Czech Casting,7.9,21,64
tt9170590,Private Penthouse,7.9,21,64
tt4381512,Moms Teach Sex,7.1,52,66
tt5646586,Riley Reid Official Site,7.7,24,67
tt6164272,Catwalk Poison,8.8,12,68
tt5917524,Lubed,7.2,42,69
tt7559140,Family Strokes,7.1,49,70
tt6026584,Moms Bang Teens,7.1,49,70
tt8501736,Colombia Fuck Fest,9.8,8,72
tt8768144,X-Art,7.9,19,73
tt7496546,Almost Caught,7.1,45,74
tt4855208,Naughty Office,7.4,28,75
tt2192408,Elite TV,9.2,9,76
tt11026604,Fun-Size Boys,8.9,10,77
tt3443142,She's Gonna Squirt,7.4,27,78
tt6800994,Teens Love Huge Cocks,7.2,35,79
tt12365802,Tiny Evil,7.8,18,80
tt4211484,Device Bondage,7.2,34,81
tt6497686,Public Agent,7.0,48,82
tt8619552,Shoujo ramune,7.1,39,83
tt13821744,Master Piece: the Animation,8.1,14,84
tt13304296,MetArt,8.9,9,85
tt8119462,Brazzers House 2,7.5,21,86
tt4229630,Bound Gangbangs,7.1,34,87
tt4863704,Teens Like It Big,7.3,25,88
tt9458840,Nubiles,9.0,8,89
tt6079746,Bukkake!,9.0,8,89
tt0296375,Marilyn,8.3,11,91
tt6064134,Brazzers Exxtra,6.8,63,92
tt12106904,True Lesbian,7.7,16,93
tt9471448,Love Her Feet,7.2,27,94
tt2881914,Tim Kruger's TimTales,8.2,11,95
tt6388080,Sineplex Classic,7.3,23,96
tt0428185,Wet Palms,7.4,20,97
tt5037250,Dancing Bear,7.5,18,98
tt4798554,Round and Brown,7.2,25,99
tt15121710,School Girl Uncut adda,8.5,9,100
tt9585268,Club Seventeen,7.6,16,101
tt7984756,Fellatio Japan,9.4,6,102
tt3981826,Whipped Ass,6.9,40,103
tt10644318,NextDoorStudios,7.7,14,104
tt13652202,Evolved Fights: Lesbian Edition,8.6,8,105
tt11223348,JustFor.Fans: Adam Russo and Jake Nicola,9.3,6,106
tt8281190,Trans500.com,8.0,11,107
tt10519874,Bratty Foot Girls,7.3,20,108
tt4229214,TS Pussy Hunters,6.9,37,109
tt9074714,Sean Cody,8.3,9,110
tt11495326,Giorgio Grandi,8.5,8,111
tt8817264,Freshmen,7.8,12,112
tt15562440,Slayed,7.6,14,113
tt6443140,Misstress T. Official Site,7.9,11,114
tt8285028,Hard X,7.2,21,115
tt11481408,LilHumpers,7.2,21,115
tt0318715,Stainless Night,6.8,43,117
tt8173952,Intergalactic Sluts,8.0,10,118
tt10394776,Stabbed in the Back,9.0,6,119
tt24043356,Harem Camp!,9.0,6,119
tt7683588,Mom Is Horny,7.1,23,121
tt4863936,Mr. Anal,7.0,27,122
tt11417728,VR Bangers,7.7,12,123
tt10213482,Defloration,7.6,13,124
tt1291914,Naughty Amateur Home Videos,7.8,11,125
tt5080682,House of Gord,7.5,14,126
tt11523198,My First Sex Teacher,7.0,26,127
tt9487454,Miss Shanti,9.2,5,128
tt15674700,Rance 01: Hikari wo Motomete the Animation,8.4,7,129
tt0249509,Fencer of Minerva,6.6,74,130
tt4203508,House of Taboo,6.8,35,131
tt10091988,Mea Melone Challenge,7.9,9,132
tt7228428,Brazil TGirls XXX,7.9,9,132
tt0309467,Cool Devices,6.5,140,134
tt4151188,Girl Next Door Bondage,7.1,19,135
tt9529682,Submissive Cuckolds,7.6,11,136
tt11190936,Backroom Casting Couch,7.6,11,136
tt12145724,Masqulin,7.5,12,138
tt4863792,Baby Got Boobs,6.7,44,139
tt16118418,Midnight Dew,9.0,5,140
tt10041972,Moms on Moms,7.1,18,141
tt8119456,The Exxxceptions,7.8,9,142
tt14208970,Helix Studios,7.8,9,142
tt16915350,Alexis Fawx Show,8.5,6,144
tt4229238,The Training of O,6.9,25,145
tt8590506,Sexart,6.8,30,146
tt13348354,Transfixed,7.4,12,147
tt11073568,Eroge! ~ H mo gemu mo kaihatsu zanmai ~,7.1,17,148
tt6214922,Evil Angel,6.8,28,149
tt0441946,Sandy: Agent Provocateur,7.1,16,150
tt8813294,Anal Teen Angels,7.8,8,151
tt2336651,CFNM Show,8.0,7,152
tt8586754,Step Siblings Caught,7.0,18,153
tt6215002,Real Wife Stories,6.6,50,154
tt0242043,Tokio Private Police,6.6,50,154
tt11178928,Shoujo Sect,7.1,15,156
tt7991870,Dark X,7.0,17,157
tt19812606,Mean Massage,7.7,8,158
tt6447956,XConfessions,6.9,20,159
tt4385078,Latina Sex Tapes,6.8,24,160
tt5812444,Toshi densetsu shirizu,7.4,10,161
tt0074025,Midnight Blue,6.7,31,162
tt4461794,Cum Perfection,7.1,14,163
tt0112948,The Elven Bride,6.6,44,164
tt11407660,Hot Legs and Feet,7.5,9,165
tt5706484,Plumper Pass,7.0,16,166
tt0858464,Naughty Nurses,7.0,16,166
tt6269178,Milfs Like It Big,6.8,23,168
tt7006488,Captive Chrissy Marie,7.6,8,169
tt14617030,Pornworld,8.0,6,170
tt9511868,Wake up 'n Fuck,6.9,18,171
tt13099214,Yubisaki kara honki no netsujo - osananajimi wa shobo-shi - [tsujo-ban],7.0,15,172
tt10203472,Araiya-san! Ore to Aitsu ga Onnayu de!?,6.5,68,173
tt11321374,Hyper Shinobi Animation: Shadow,7.7,7,174
tt21321872,Crooked Throne,7.7,7,174
tt0205886,Dragon Pink,6.5,64,176
tt6668776,Tranny Surprise,7.5,8,177
